,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE HELP;by Kathryn Stockett;17 weeks on the list,HIT LIST;by Laurell K. Hamilton;New this week,THE HELP;by Kathryn Stockett;10 weeks on the list,,,THE HELP;by Kathryn Stockett;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;20 weeks on the list,THE GREATER JOURNEY;by David McCullough;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;30 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;20 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;2 weeks on the list,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;New this week",HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"WONDER WOMAN: ODYSSEY, VOL. 1;by J. Michael Straczynski and Don Kramer;New this week",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;66 weeks on the list,"NARUTO, VOL. 51;by Masashi Kishimoto;New this week",THEODORE BOONE: THE ABDUCTION;by John Grisham;New this week,THEODORE BOONE: KID LAWYER;by John Grisham;6 weeks on the list,LEGO HARRY POTTER;by the DK staff;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;42 weeks on the list
2,HIT LIST;by Laurell K. Hamilton;New this week,THE KINGDOM;by Clive Cussler with Grant Blackwood;New this week,WATER FOR ELEPHANTS;by Sara Gruen;124 weeks on the list,,,HIT LIST;by Laurell K. Hamilton;,IN THE GARDEN OF BEASTS;by Erik Larson;5 weeks on the list,DEMONIC;by Ann Coulter;New this week,OUTLIERS;by Malcolm Gladwell;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;20 weeks on the list,THE DUKAN DIET;by Pierre Dukan;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;202 weeks on the list,THE GREATER JOURNEY;by David McCullough;,"BRIGHTEST DAY, VOL. 2;by Geoff Johns and Peter J. Tomasi;5 weeks on the list",SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;62 weeks on the list,"VAMPIRE KNIGHT, VOL. 12;by Matsuri Hino;New this week",THE THRONE OF FIRE;by Rick Riordan;6 weeks on the list,THE BOOK THIEF;by Markus Zusak;196 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;22 weeks on the list,DORK DIARIES;by Rachel Renée Russell;New this week
3,WATER FOR ELEPHANTS;by Sara Gruen;20 weeks on the list,STATE OF WONDER;by Ann Patchett;New this week,ROOM;by Emma Donoghue;6 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,MY HORIZONTAL LIFE;by Chelsea Handler;2 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;14 weeks on the list,BOSSYPANTS;by Tina Fey;10 weeks on the list,THE 17 DAY DIET;by Mike Moreno;13 weeks on the list,THE BELLY FAT CURE;by Jorge Cruise;42 weeks on the list,DEMONIC;by Ann Coulter;,"BATMAN & ROBIN, VOL. 3;by Grant Morrison and others;4 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;82 weeks on the list","BLEACH, VOL. 35;by Tite Kubo;New this week",WHAT HAPPENED TO GOODBYE;by Sarah Dessen;5 weeks on the list,MR. POPPER'S PENGUINS;by Richard Atwater and Florence Atwater;2 weeks on the list,"NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;3 weeks on the list",THE IMMORTALS;by Alyson Noël;23 weeks on the list
4,STATE OF WONDER;by Ann Patchett;New this week,DEAD RECKONING;by Charlaine Harris;6 weeks on the list,ONE DAY;by David Nicholls;15 weeks on the list,,,THE KINGDOM;by Clive Cussler with Grant Blackwood;,BOSSYPANTS;by Tina Fey;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;30 weeks on the list,LIFE;by Keith Richards with James Fox;6 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;5 weeks on the list,WE FIRST;by Simon Mainwaring;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;515 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;28 weeks on the list,GREEN LANTERN: SECRET ORIGIN;by Geoff Johns and Ivan Reis;2 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 25;by Hiromu Arakawa;New this week","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;58 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;10 weeks on the list,LEGO STAR WARS;by Simon Beecroft;76 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;126 weeks on the list
5,THE KINGDOM;by Clive Cussler with Grant Blackwood;New this week,SUMMER RENTAL;by Mary Kay Andrews;New this week,CUTTING FOR STONE;by Abraham Verghese;72 weeks on the list,,,STATE OF WONDER;by Ann Patchett;,UNBROKEN;by Laura Hillenbrand;20 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;2 weeks on the list,"THANK YOU NOTES;by Jimmy Fallon with the writers of ""Late Night"";3 weeks on the list",UNBROKEN;by Laura Hillenbrand;20 weeks on the list,GET RICH CLICK!;by Marc Ostrofsky;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;15 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;18 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;91 weeks on the list,"OURAN HIGH SCHOOL HOST CLUB, VOL. 16;by Bisco Hatori;New this week",TIGER'S QUEST;by Colleen Houck;New this week,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;98 weeks on the list,PRESS HERE;by Hervé Tullet;8 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;11 weeks on the list
6,BURIED PREY;by John Sandford;5 weeks on the list,DREAMS OF JOY;by Lisa See;2 weeks on the list,A VISIT FROM THE GOON SQUAD;by Jennifer Egan;12 weeks on the list,,,ROOM;by Emma Donoghue;,DEMONIC;by Ann Coulter;New this week,BOSSYPANTS;by Tina Fey;10 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;223 weeks on the list,DEMONIC;by Ann Coulter;New this week,LOVE WINS;by Rob Bell;13 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;34 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,"AMERICAN VAMPIRE, VOL. 2;by Scott Snyder and Rafael Albuquereque;2 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;52 weeks on the list,"BLUE EXORCIST, VOL. 2;by Kato Kazue;New this week",THE LOST HERO;by Rick Riordan;35 weeks on the list,NATIONAL GEOGRAPHIC KIDS ALMANAC 2012;by National Geographic Kids;2 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;29 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;205 weeks on the list
7,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;6 weeks on the list,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;6 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;105 weeks on the list,,,WORST CASE;by James Patterson and Michael Ledwidge;,THE GREATER JOURNEY;by David McCullough;3 weeks on the list,THOSE GUYS HAVE ALL THE FUN;by James Andrew Miller and Tom Shales;3 weeks on the list,WAR;by Sebastian Junger;4 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;5 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;26 weeks on the list,LIKEABLE SOCIAL MEDIA;by Dave Kerpen;New this week,BOSSYPANTS;by Tina Fey;,GREEN LANTERN CORPS: REVOLT OF THE ALPHA LANTERNS;by Tony Bedard and others;2 weeks on the list,"FABLES, VOL. 15;by Bill Willingham and Mark Buckingham;9 weeks on the list","BAKUMAN, VOL. 5;by Tsugumi Ohba;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;New this week,BEASTLY;by Alex Flinn;18 weeks on the list,CHARLIE THE RANCH DOG;by Ree Drummond. Illustrated by Diane DeGroat;7 weeks on the list,JUDY MOODY;by Megan McDonald. Illustrated by Peter H. Reynolds;2 weeks on the list
8,A GAME OF THRONES;by George R.R. Martin;9 weeks on the list,BURIED PREY;by John Sandford;5 weeks on the list,THE LION;by Nelson DeMille;New this week,,,A GAME OF THRONES;by George R.R. Martin;,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;2 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;5 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;5 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;2 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;103 weeks on the list,RADICAL;by David Platt;51 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE INFLUENCING MACHINE: BROOKE GLADSTONE ON THE MEDIA;by Brooke Gladstone and Josh Neufeld;New this week,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;55 weeks on the list,"ONE PIECE, VOL. 57;by Eiichiro Oda;New this week",DIVERGENT;by Veronica Roth;6 weeks on the list,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;10 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;19 weeks on the list,SEPTIMUS HEAP;by Angie Sage;21 weeks on the list
9,SOMETHING BORROWED;by Emily Giffin;9 weeks on the list,THE JEFFERSON KEY;by Steve Berry;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;180 weeks on the list,,,CREED'S HONOR;by Linda Lael Miller;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;5 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;6 weeks on the list,BORN TO RUN;by Christopher McDougall;11 weeks on the list,QUIET STRENGTH;by Tony Dungy with Nathan Whitaker;2 weeks on the list,THE BEST ADVICE I EVER GOT;by Katie Couric;7 weeks on the list,FORGOTTEN GOD;by Francis Chan with Danae Yankoski;3 weeks on the list,THOSE GUYS HAVE ALL THE FUN;by James Andrew Miller and Tom Shales;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;24 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;17 weeks on the list","MAXIMUM RIDE, VOL. 4;by James Patterson and NaRae Lee;7 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;22 weeks on the list,THE MAZE RUNNER;by James Dashner;16 weeks on the list,ME ... JANE;by Patrick McDonnell;6 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;25 weeks on the list
10,SUMMER SECRETS;by Barbara Freethy;2 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;55 weeks on the list,A DOG'S PURPOSE;by W. Bruce Cameron;3 weeks on the list,,,DEAD RECKONING;by Charlaine Harris;,THOSE GUYS HAVE ALL THE FUN;by James Andrew Miller and Tom Shales;3 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;5 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;36 weeks on the list,CHOOSING TO SEE;by Mary Beth Chapman and Ellen Vaughn;2 weeks on the list,KNOWING YOUR VALUE;by Mika Brzezinski;5 weeks on the list,MADE TO CRAVE;by Lysa TerKeurst;11 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BLACKEST NIGHT: GREEN LANTERN;by Geoff Johns and Doug Mahnke;14 weeks on the list,TRANSFORMERS: DARK OF THE MOON;by John Barber and Jorge Jimenez Moreno;New this week,"CLAYMORE, VOL. 18;by Norihiro Yagi;New this week",THE EMERALD ATLAS;by John Stephens;6 weeks on the list,FALLEN;by Lauren Kate;26 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;10 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;48 weeks on the list
