,Hardcover Fiction
1,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;16 weeks on the list
2,HEAT LIGHTNING;by John Sandford;New this week
3,THE GIVEN DAY;by Dennis Lehane;New this week
4,HOT MAHOGANY;by Stuart Woods;New this week
5,ONE FIFTH AVENUE;by Candace Bushnell;New this week
6,THE OTHER QUEEN;by Philippa Gregory;2 weeks on the list
7,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;2 weeks on the list
8,TSAR;by Ted Bell;New this week
9,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;9 weeks on the list
10,THE HOST;by Stephenie Meyer;21 weeks on the list
11,THE BOOK OF LIES;by Brad Meltzer;4 weeks on the list
12,AMERICAN WIFE;by Curtis Sittenfeld;4 weeks on the list
13,FAEFEVER;by Karen Marie Moning;2 weeks on the list
14,INDIGNATION;by Philip Roth;2 weeks on the list
15,ANATHEM;by Neal Stephenson;3 weeks on the list
