,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;17 weeks on the list,WICKED BUSINESS;by Janet Evanovich;New this week,FIFTY SHADES OF GREY;by E. L. James;15 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,AMATEUR;by Edward Klein;6 weeks on the list,AMATEUR;by Edward Klein;6 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;8 weeks on the list,WILD;by Cheryl Strayed;14 weeks on the list,THE SKINNY RULES;by Bob Harper with Greg Critser;6 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;4 weeks on the list,AMATEUR;by Edward Klein;,"BATWOMAN, VOL. 1;by J. H. Williams III and W. Haden Blackman;New this week","THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;New this week","FAIRY TAIL, VOL. 19;by Hiro Mashima;New this week",INSURGENT;by Veronica Roth;8 weeks on the list,DIVERGENT;by Veronica Roth;17 weeks on the list,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE;by William Joyce. Illustrated by William Joyce and Joe Bluhm;New this week,THE HUNGER GAMES;by Suzanne Collins;96 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,AMATEUR;by Edward Klein;
2,FIFTY SHADES DARKER;by E. L. James;17 weeks on the list,GONE GIRL;by Gillian Flynn;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;12 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,WILD;by Cheryl Strayed;10 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;68 weeks on the list,AMATEUR;by Edward Klein;6 weeks on the list,THE TOOLS;by Phil Stutz and Barry Michels;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;50 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;6 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;4 weeks on the list","GHOST IN THE SHELL: STAND ALONE COMPLEX, VOL. 3;by Yu Kinutani;New this week",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;7 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;5 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;38 weeks on the list",DORK DIARIES;by Rachel Renée Russell;38 weeks on the list,IMAGINE;by Jonah Lehrer;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
3,FIFTY SHADES FREED;by E. L. James;16 weeks on the list,CALICO JOE;by John Grisham;11 weeks on the list,FIFTY SHADES FREED;by E. L. James;12 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,UNBROKEN;by Laura Hillenbrand;74 weeks on the list,WILD;by Cheryl Strayed;10 weeks on the list,OUTLIERS;by Malcolm Gladwell;55 weeks on the list,UNBROKEN;by Laura Hillenbrand;74 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;14 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;567 weeks on the list,WILD;by Cheryl Strayed;,JOURNALISM;by Joe Sacco;New this week,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;15 weeks on the list","KAMISAMA KISS, VOL. 9;by Julietta Suzuki;New this week",THE FAULT IN OUR STARS;by John Green;24 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;3 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;180 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;
4,WICKED BUSINESS;by Janet Evanovich;New this week,MISSION TO PARIS;by Alan Furst;2 weeks on the list,BARED TO YOU;by Sylvia Day;2 weeks on the list,,,WICKED BUSINESS;by Janet Evanovich;,COWARDS;by Glenn Beck and Kevin Balfe;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;84 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;276 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;39 weeks on the list,AMERICAN GROWN;by Michelle Obama;4 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;19 weeks on the list",UNBROKEN;by Laura Hillenbrand;,"EYE OF THE WORLD, VOL. 3;by Chuck Dixon and Andie Tong;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;50 weeks on the list","BLEACH, VOL. 40;by Tite Kubo;3 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;55 weeks on the list,THE BOOK THIEF;by Markus Zusak;250 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;New this week,KANE CHRONICLES;by Rick Riordan;8 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;,DRIVE;by Daniel H. Pink;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,GONE GIRL;by Gillian Flynn;3 weeks on the list,CANADA;by Richard Ford;5 weeks on the list,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;17 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;38 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;39 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;84 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;10 weeks on the list,WHEAT BELLY;by William Davis;11 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;256 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN: DEATH BY DESIGN;by Chip Kidd and Dave Taylor;3 weeks on the list,FUN HOME;by Alison Bechdel;5 weeks on the list,"TENJO TENGE, VOL. 7;by Oh! Great Staff;New this week",THE GOLDEN LILY;by Richelle Mead;2 weeks on the list,BRAVE: THE JUNIOR NOVELIZATION;adapted by Irene Trimble;3 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;22 weeks on the list,FALLEN;by Lauren Kate;12 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","HOW TO BE RICHER, SMARTER, AND BETTER-LOOKING THAN YOUR PARENTS;by Zac Bissonnette;",COWARDS;by Glenn Beck and Kevin Balfe;
6,BARED TO YOU;by Sylvia Day;3 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;46 weeks on the list,THE ALCHEMIST;by Paulo Coelho;224 weeks on the list,,,BARED TO YOU;by Sylvia Day;,IN THE GARDEN OF BEASTS;by Erik Larson;43 weeks on the list,THE GREAT DESTROYER;by David Limbaugh;3 weeks on the list,BOSSYPANTS;by Tina Fey;25 weeks on the list,STEVE JOBS;by Walter Isaacson;35 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;3 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;68 weeks on the list,THE GREAT DESTROYER;by David Limbaugh;,ARE YOU MY MOTHER?;by Alison Bechdel;8 weeks on the list,NINJAGO: RISE OF THE SERPENTINE;by Greg Farshtey and Paul Lee;5 weeks on the list,"BLOODY MONDAY, VOL. 6;by Ryou Ryumon;New this week",THE SON OF NEPTUNE;by Rick Riordan;38 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;51 weeks on the list,THE LORAX;by Dr. Seuss;19 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;65 weeks on the list,CHARGE;by Brendon Burchard;,THE CHECKLIST MANIFESTO;by Atul Gawande;,THE GREAT DESTROYER;by David Limbaugh;
7,FIFTY SHADES TRILOGY;by E. L. James;10 weeks on the list,THE INNOCENT;by David Baldacci;10 weeks on the list,STATE OF WONDER;by Ann Patchett;7 weeks on the list,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,THE GREAT DESTROYER;by David Limbaugh;3 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;5 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;23 weeks on the list,MRS. ROBINSON’S DISGRACE;by Kate Summerscale;New this week,THE 17 DAY DIET;by Mike Moreno;58 weeks on the list,THE BOOK OF BURGER;by Rachael Ray;3 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,KICK-ASS 2;by Mark Millar and John Romita Jr.;2 weeks on the list,SMILE;by Raina Telgemeier;22 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 1;by Kazuki Takahashi, Shin Yoshida and Naohito Miyoshi;3 weeks on the list",WONDER;by R.J. Palacio;14 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;132 weeks on the list,PRESS HERE;by Hervé Tullet;53 weeks on the list,THE MAZE RUNNER;by James Dashner;28 weeks on the list,THE PRICE OF INEQUALITY;by Joseph E. Stiglitz;,RICH AND THE REST OF US;by Tavis Smiley and Cornel West;,THE PASSAGE OF POWER;by Robert A. Caro;
8,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;3 weeks on the list,THE STORM;by Clive Cussler and Graham Brown;4 weeks on the list,THE LAST BOYFRIEND;by Nora Roberts;8 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,BARACK OBAMA;by David Maraniss;New this week,BARACK OBAMA;by David Maraniss;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;222 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;2 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;15 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;82 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;,"DETECTIVE COMICS, VOL. 1;by Tony S. Daniel;2 weeks on the list","EMPOWERED, VOL. 7;by Adam Warren;2 weeks on the list","BLEACH, VOL. 41;by Tite Kubo;2 weeks on the list","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;12 weeks on the list",MATCHED;by Ally Condie;40 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;12 weeks on the list,THEODORE BOONE;by John Grisham;6 weeks on the list,SCREWED!;by Dick Morris and Eileen McGann;,MONEYBALL;by Michael Lewis;,CRONKITE;by Douglas Brinkley;
9,THE MARRIAGE BARGAIN;by Jennifer Probst;12 weeks on the list,THE THIRD GATE;by Lincoln Child;2 weeks on the list,MAINE;by J. Courtney Sullivan;4 weeks on the list,,,CALICO JOE;by John Grisham;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;5 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;2 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;4 weeks on the list,NOT TACO BELL MATERIAL;by Adam Carolla;2 weeks on the list,THE DUKAN DIET;by Pierre Dukan;27 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;37 weeks on the list,BARACK OBAMA;by David Maraniss;,"WONDER WOMAN, VOL. 1;by Brian Azzarello and Cliff Chiang;3 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;123 weeks on the list","OURAN HIGH SCHOOL HOST CLUB, VOL. 18;by Bisco Hatori;3 weeks on the list",CHOMP;by Carl Hiaasen;11 weeks on the list,THE LOST HERO;by Rick Riordan;12 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;28 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;61 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",THE BIG SHORT;by Michael Lewis;,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;
10,A GAME OF THRONES;by George R.R. Martin;35 weeks on the list,PORCH LIGHTS;by Dorothea Benton Frank;2 weeks on the list,THE DROP;by Michael Connelly;3 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,AMERICAN SON;by Marco Rubio;New this week,AMERICAN SON;by Marco Rubio;New this week,BORN TO RUN;by Christopher McDougall;65 weeks on the list,I HATE EVERYONE...STARTING WITH ME;by Joan Rivers;3 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;114 weeks on the list,"THANK YOU NOTES 2;by Jimmy Fallon with the writers of ""Late Night"";3 weeks on the list",UNINTENDED CONSEQUENCES;by Edward Conard;,TRINITY;by Jonathan Fetter-Vorm;2 weeks on the list,NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;10 weeks on the list,"NARUTO, VOL. 56;by Masashi Kishimoto;5 weeks on the list",CROSSED;by Ally Condie;10 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;7 weeks on the list,LADYBUG GIRL AND BINGO;by David Soman and Jacky Davis;8 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;19 weeks on the list,END THIS DEPRESSION NOW!;by Paul Krugman;,"I, STEVE;edited by George Beahm;",FEARLESS;by Eric Blehm;
