,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,EXTREME MEASURES;by Vince Flynn;New this week,THE SHACK;by William P. Young;23 weeks on the list,,AGAINST MEDICAL ADVICE;by James Patterson and Hal Friedman;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;91 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;29 weeks on the list,TWILIGHT;by Mark Cotta Vaz;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;80 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;39 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;8 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;64 weeks on the list
2,THE BRASS VERDICT;by Michael Connelly;2 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;19 weeks on the list,,THE SNOWBALL;by Alice Schroeder;4 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;119 weeks on the list,MARTHA STEWART’S COOKING SCHOOL;by Martha Stewart with Sarah Carey. Photographs by Marcus Nilsson and Ditte Isager;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;5 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;41 weeks on the list,THE BOOK THIEF;by Markus Zusak;59 weeks on the list,ABC3D;by Marion Bataille;2 weeks on the list,INHERITANCE;by Christopher Paolini;6 weeks on the list
3,THE LUCKY ONE;by Nicholas Sparks;4 weeks on the list,WORLD WITHOUT END;by Ken Follett;3 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;6 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;44 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;6 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;384 weeks on the list,THE MAZE OF BONES;by Rick Riordan;7 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;12 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;7 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;9 weeks on the list
4,BONES;by Jonathan Kellerman;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;8 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;11 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;92 weeks on the list",THE SECRET;by Rhonda Byrne;94 weeks on the list,SKINNY BITCH;by Kim Barnouin;68 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;4 weeks on the list,SLAM;by Nick Hornby;3 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;2 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;22 weeks on the list
5,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;20 weeks on the list,THE ROAD;by Cormac McCarthy;60 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;5 weeks on the list,MARLEY AND ME;by John Grogan;33 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;4 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;3 weeks on the list,FREE TO BE . . . YOU AND ME;by Marlo Thomas and Friends;New this week,KNUCKLEHEAD;by Jon Scieszka;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;50 weeks on the list,INKHEART;by Cornelia Funke;5 weeks on the list
6,ROUGH WEATHER;by Robert B. Parker;New this week,THE CHILDREN OF HÚRIN;by J. R. R. Tolkien. Edited by Christopher Tolkien. Illustrated by Alan Lee;New this week,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;7 weeks on the list","THE FORGOTTEN MAN: GRAPHIC EDITION;by Amity Shlaes, Paul Rivoche and Chuck Dixon;3 weeks on the list",LOVE YOUR LIFE;by Victoria Osteen;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;70 weeks on the list,PAPER TOWNS;by John Green;2 weeks on the list,JUST LISTEN;by Sarah Dessen;21 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;11 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;198 weeks on the list
7,A LION AMONG MEN;by Gregory Maguire;2 weeks on the list,LOVING FRANK;by Nancy Horan;28 weeks on the list,,HERE’S THE STORY;by Maureen McCormick;2 weeks on the list,A LONG WAY GONE;by Ishmael Beah;12 weeks on the list,MORE INFORMATION THAN YOU REQUIRE;by John Hodgman;New this week,A NEW EARTH;by Eckhart Tolle;39 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;7 weeks on the list,RULES;by Cynthia Lord;7 weeks on the list,TEA FOR RUBY;by Sarah Ferguson. Illustrated by Robin Preiss Glasser;5 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;31 weeks on the list
8,TESTIMONY;by Anita Shreve;New this week,THE ALCHEMIST;by Paulo Coelho;59 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;2 weeks on the list",THE DUCHESS;by Amanda Foreman;9 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;6 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;54 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;3 weeks on the list,THE ALCHEMYST;by Michael Scott;9 weeks on the list,HIP HOP SPEAKS TO CHILDREN;edited by Nikki Giovanni. Various illustrators;3 weeks on the list,HIGH SCHOOL MUSICAL;by various authors;New this week
9,A MOST WANTED MAN;by John le Carré;3 weeks on the list,NIGHTS IN RODANTHE;by Nicholas Sparks;12 weeks on the list,,THE LONGEST TRIP HOME;by John Grogan;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;105 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;46 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;New this week,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;3 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;12 weeks on the list,TOO MANY TOYS;written and illustrated by David Shannon;5 weeks on the list,REDWALL;by Brian Jacques;49 weeks on the list
10,DARK SUMMER;by Iris Johansen;New this week,THE WHITE TIGER;by Aravind Adiga;2 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;4 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;56 weeks on the list,SPAIN . . . A CULINARY ROAD TRIP;by Mario Batali with Gwyneth Paltrow;New this week,HUNGRY GIRL;by Lisa Lillien;23 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;81 weeks on the list,THE LUXE;by Anna Godbersen;4 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;5 weeks on the list",JUNIE B. JONES;by Barbara Park;180 weeks on the list
