,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,DIVINE JUSTICE;by David Baldacci;New this week,THE SHACK;by William P. Young;25 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;8 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;46 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;2 weeks on the list,TWILIGHT;by Mark Cotta Vaz;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;82 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;41 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;7 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;66 weeks on the list
2,SALVATION IN DEATH;by J. D. Robb;New this week,THE SECRET LIFE OF BEES;by Sue Monk Kidd;21 weeks on the list,,THE SNOWBALL;by Alice Schroeder;6 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;121 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;31 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;7 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;43 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;14 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;52 weeks on the list,INHERITANCE;by Christopher Paolini;8 weeks on the list
3,SWALLOWING DARKNESS;by Laurell K. Hamilton;New this week,REMEMBER ME?;by Sophie Kinsella;2 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;7 weeks on the list,CHANGE WE CAN BELIEVE IN;with a foreword by Barack Obama;4 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;2 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;New this week,THE MAZE OF BONES;by Rick Riordan;9 weeks on the list,THE BOOK THIEF;by Markus Zusak;61 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;9 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;25 weeks on the list
4,THE GATE HOUSE;by Nelson DeMille;2 weeks on the list,WORLD WITHOUT END;by Ken Follett;5 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;6 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;93 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;New this week,SOUL COMMUNICATION;by Zhi Gang Sha;2 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;6 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;New this week,SWING!;written and illustrated by Rufus Butler Seder;4 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;11 weeks on the list
5,EXTREME MEASURES;by Vince Flynn;3 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;10 weeks on the list,,AGAINST MEDICAL ADVICE;by James Patterson and Hal Friedman;3 weeks on the list,MARLEY AND ME;by John Grogan;35 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;8 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;386 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;9 weeks on the list,SLAM;by Nick Hornby;5 weeks on the list,ABC3D;by Marion Bataille;4 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;24 weeks on the list
6,THE LUCKY ONE;by Nicholas Sparks;6 weeks on the list,THE ROAD;by Cormac McCarthy;62 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;9 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;94 weeks on the list",THE SECRET;by Rhonda Byrne;96 weeks on the list,A NEW EARTH;by Eckhart Tolle;41 weeks on the list,IDENTICAL;by Ellen Hopkins;8 weeks on the list,THE LITTLEST PILGRIM;by Brandi Dougherty. Illustrated by Kirsten Richards;New this week,BARACK;by Jonah Winter. Illustrated by Ag Ford;New this week,INKHEART;by Cornelia Funke;7 weeks on the list
7,MIDNIGHT;by Sister Souljah;New this week,THE ALCHEMIST;by Paulo Coelho;61 weeks on the list,,THE AMERICAN JOURNEY OF BARACK OBAMA;by the editors of Life magazine;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;107 weeks on the list,MARTHA STEWART’S COOKING SCHOOL;by Martha Stewart with Sarah Carey. Photographs by Marcus Nilsson and Ditte Isager;3 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;5 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;5 weeks on the list,THANKS FOR THANKSGIVING;by Julie Markes;New this week,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;2 weeks on the list",BLUE BLOODS;by Melissa de la Cruz;2 weeks on the list
8,THE BRASS VERDICT;by Michael Connelly;4 weeks on the list,LOVING FRANK;by Nancy Horan;30 weeks on the list,,DREAMS FROM MY FATHER;by Barack Obama;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;58 weeks on the list,THE TEN ROADS TO RICHES;by Ken Fisher and Lara Hoffmans;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;72 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;82 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;14 weeks on the list,PETE AND PICKLES;written and illustrated by Berkeley Breathed;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;200 weeks on the list
9,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;22 weeks on the list,BAREFOOT;by Elin Hilderbrand;22 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;13 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;142 weeks on the list,REAL SEX FOR REAL WOMEN;by Laura Berman;New this week,THE POWER OF NOW;by Eckhart Tolle;56 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;5 weeks on the list,YES WE CAN;by Garen Thomas;New this week,PETER PAN;adapted and illustrated by Robert Sabuda;New this week,THE IT GIRL;by Cecily von Ziegesar;New this week
10,A GOOD WOMAN;by Danielle Steel;2 weeks on the list,THE WHITE TIGER;by Aravind Adiga;4 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;4 weeks on the list",THE ZOOKEEPER’S WIFE;by Diane Ackerman;9 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;6 weeks on the list,SKINNY BITCH;by Kim Barnouin;70 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;6 weeks on the list,PLUM FANTASTIC;by Whoopi Goldberg with Deborah Underwood. Illustrated by Maryn Roos;2 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;4 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;30 weeks on the list
