,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;12 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;New this week,FIFTY SHADES OF GREY;by E. L. James;49 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;20 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;24 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;3 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;New this week,LIFE CODE;by Phil McGraw;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;290 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;2 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;79 weeks on the list","SKIP BEAT, VOL. 30;by Yoshiki Nakamura;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;3 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;9 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;
2,A WEEK IN WINTER;by Maeve Binchy;New this week,GONE GIRL;by Gillian Flynn;37 weeks on the list,SAFE HAVEN;by Nicholas Sparks;22 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;New this week,MY BELOVED WORLD;by Sonia Sotomayor;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;17 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;33 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;7 weeks on the list,FROM MAMA'S TABLE TO MINE;by Bobby Deen;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"BATGIRL, VOL. 2;by Gail Simone and Ardian Syaf;New this week",DRAMA;by Raina Telgemeier;21 weeks on the list,"NEGIMA MAGISTER NEGI MAGI, VOL. 37;by Ken Akamatsu;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,TEA TIME WITH SOPHIA GRACE AND ROSIE;by Sophia Grace Brownlee and Rosie McClelland. Illustrated by Shelagh McNicholas;2 weeks on the list,BLOODLINES;by Richelle Mead;New this week,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,DRIVE;by Daniel H. Pink;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,GUILT;by Jonathan Kellerman;New this week,TENTH OF DECEMBER;by George Saunders;6 weeks on the list,FIFTY SHADES DARKER;by E. L. James;46 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,PROOF OF HEAVEN;by Eben Alexander;17 weeks on the list,COOLIDGE;by Amity Shlaes;New this week,QUIET;by Susan Cain;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;New this week,"THE LEGEND OF ZELDA, HYRULE HISTORIA;by Patrick Thorpe and Michael Gombos, et al.;3 weeks on the list",OBAMACARE SURVIVAL GUIDE;by Nick Tate;3 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,DEAD SPACE: LIBERATION;by Christopher Shy and Ian Edginton;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;19 weeks on the list","SAILOR MOON, VOL. 9;by Naoko Takeuchi;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;17 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;130 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,GROW REGARDLESS;by Joe Mechlinski;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
4,GONE GIRL;by Gillian Flynn;37 weeks on the list,GUILT;by Jonathan Kellerman;New this week,FIFTY SHADES FREED;by E. L. James;46 weeks on the list,,,GONE GIRL;by Gillian Flynn;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;New this week,FUTURE;by Al Gore;3 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;42 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;17 weeks on the list,WHEAT BELLY;by William Davis;43 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;600 weeks on the list,COOLIDGE;by Amity Shlaes;,LEGENDS OF THE DARK KNIGHT: ALAN DAVIS;by Alan Davis and others;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;142 weeks on the list","NARUTO, VOL. 60;by Masashi Kishimoto;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;72 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;214 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,WAIT FOR ME;by Elisabeth Naughton;New this week,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;6 weeks on the list,THE PARIS WIFE;by Paula McLain;12 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,MY BELOVED WORLD;by Sonia Sotomayor;5 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;20 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;54 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;20 weeks on the list,SLIM FOR LIFE;by Jillian Michaels;New this week,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;18 weeks on the list,QUIET;by Susan Cain;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;82 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;10 weeks on the list","BLEACH, VOL. 55;by Tite Kubo;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THE VERY FAIRY PRINCESS FOLLOWS HER HEART;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;5 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;71 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,BAILOUT;by Neil Barofsky;,FUTURE;by Al Gore;
6,FIFTY SHADES OF GREY;by E. L. James;51 weeks on the list,PRIVATE BERLIN;by James Patterson and Mark Sullivan;4 weeks on the list,LIFE OF PI;by Yann Martel;20 weeks on the list,,,GUILT;by Jonathan Kellerman;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;20 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;73 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;30 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;73 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;8 weeks on the list,BEATING OBAMACARE;by Betsy McCaughey;2 weeks on the list,FUTURE;by Al Gore;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;20 weeks on the list,AVENGERS VS. X-MEN: CONSEQUENCES;by Kieron Gillen and others;New this week,"STEPPING ON ROSES, VOL. 9;by Rinko Ueda;New this week",WONDER;by R.J. Palacio;295 weeks on the list,MY BROTHER'S BOOK;by Maurice Sendak;2 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;20 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,REBOOTING WORK;by Maynard Webb and Carlye Adler;,END THIS DEPRESSION NOW!;by Paul Krugman;,NO EASY DAY;by Mark Owen with Kevin Maurer;
7,RUSH;by Maya Banks;2 weeks on the list,SUSPECT;by Robert Crais;4 weeks on the list,THE HARBINGER;by Jonathan Cahn;59 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;72 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;118 weeks on the list,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;2 weeks on the list,MANOLOGY;by Tyrese Gibson and Rev Run;New this week,EAT TO LIVE;by Joel Fuhrman;83 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE BOOKS OF MAGIC: DELUXE EDITION;by Neil Gaiman and others;3 weeks on the list,"FABLES, VOL. 18;by Bill Willingham and Mark Buckingham;4 weeks on the list","POKEMON ADVENTURES, VOL. 7;by Hidenori Kusaka and Mato;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,CREEPY CARROTS!;by Aaron Reynolds. Illustrated by Peter Brown;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;281 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,BOOMERANG;by Michael Lewis;,COOLIDGE;by Amity Shlaes;
8,TOUCH AND GO;by Lisa Gardner;2 weeks on the list,TOUCH AND GO;by Lisa Gardner;2 weeks on the list,WORLD WAR Z;by Max Brooks;34 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,COOLIDGE;by Amity Shlaes;New this week,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;New this week,BOSSYPANTS;by Tina Fey;59 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;5 weeks on the list,"THE NORMAL BAR;by Chrisanna Northrup, Pepper Schwartz and James Witte;New this week",FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;15 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BUILDING STORIES;by Chris Ware;20 weeks on the list,SMILE;by Raina Telgemeier;51 weeks on the list,"ALICE IN THE COUNTRY OF JOKER, VOL. 1;by QuinRose;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;41 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;76 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;
9,BEAUTIFUL BASTARD;by Christina Lauren;New this week,THE DINNER;by Herman Koch;New this week,WARM BODIES;by Isaac Marion;4 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,QUIET;by Susan Cain;13 weeks on the list,LONG SHOT;by Mike Piazza with Lonnie Wheeler;New this week,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;New this week,NO EASY DAY;by Mark Owen with Kevin Maurer;24 weeks on the list,NIGELLISSIMA;by Nigella Lawson;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;100 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;17 weeks on the list","LEGO NINJAGO #6, WARRIORS OF STONE;by Greg Farshtey and Jolyton Yates;4 weeks on the list","FAIRY TAIL, VOL. 23;by Hiro Mashima;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PRESS HERE;by Hervé Tullet;79 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;47 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CHECKLIST MANIFESTO;by Atul Gawande;,THOMAS JEFFERSON;by Jon Meacham;
10,PRIVATE BERLIN;by James Patterson and Mark Sullivan;4 weeks on the list,THE NIGHT RANGER;by Alex Berenson;New this week,THE SILVER LININGS PLAYBOOK;by Matthew Quick;5 weeks on the list,,,THE PARIS WIFE;by Paula McLain;,FRANCONA;by Terry Francona and Dan Shaughnessy;4 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;24 weeks on the list,ARGO;by Antonio Mendez and Matt Baglio;2 weeks on the list,CUT;by Cathy Glass;3 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;13 weeks on the list",FOLLOW ME;by David Platt;2 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;97 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;13 weeks on the list","BLACK BUTLER, VOL. 12;by Yana Toboso;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,SLEEP LIKE A TIGER;by Mary Logue. Illustrated by Pamela Zagarenski.;New this week,CHEMICAL GARDEN;by  Lauren DeStefano;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,PREDICTABLY IRRATIONAL;by Dan Ariely;,A HIGHER CALL;by Adam Makos with Larry Alexander;
