,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,WALKING DISASTER;by Jamie McGuire;New this week,STARTING NOW;by Debbie Macomber;New this week,WALKING DISASTER;by Jamie McGuire;New this week,,,WALKING DISASTER;by Jamie McGuire;,LEAN IN;by Sheryl Sandberg with Nell Scovell;4 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;24 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;4 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;10 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;2 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;86 weeks on the list","SAILOR MOON, VOL. 10;by Naoko Takeuchi;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;137 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,SALT SUGAR FAT;by Michael Moss;
2,FEVER;by Maya Banks;New this week,MANUSCRIPT FOUND IN ACCRA;by Paulo Coelho;New this week,FEVER;by Maya Banks;New this week,,,STARTING NOW;by Debbie Macomber;,PROOF OF HEAVEN;by Eben Alexander;24 weeks on the list,GULP;by Mary Roach;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;8 weeks on the list,ANGELA'S ASHES;by Frank McCourt;New this week,THE FASTDIET;by Michael Mosley and Mimi Spencer;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;297 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"AMERICAN VAMPIRE, VOL. 5;by Scott Snyder and Rafael Albuquerque;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;26 weeks on the list","BLEACH, VOL. 56;by Tite Kubo;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;82 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;,QUIET;by Susan Cain;
3,STARTING NOW;by Debbie Macomber;New this week,LIFE AFTER LIFE;by Kate Atkinson;New this week,THE FORGOTTEN;by David Baldacci;2 weeks on the list,,,MANUSCRIPT FOUND IN ACCRA;by Paulo Coelho;,GULP;by Mary Roach;New this week,"CARRY ON, WARRIOR;by Glennon Doyle Melton;New this week",WILD;by Cheryl Strayed;2 weeks on the list,GULP;by Mary Roach;New this week,DARING GREATLY;by Brené Brown;8 weeks on the list,THE BEAUTY DETOX FOODS;by Kimberly Snyder;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,THE COMPLETE PEANUTS: 1987-1988;by Charles M. Schulz;New this week,DRAMA;by Raina Telgemeier;28 weeks on the list,"YU-GI-OH 5D'S, VOL. 4;by Masahiro Hikokubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;79 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;16 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,DRIVE;by Daniel H. Pink;,NO EASY DAY;by Mark Owen with Kevin Maurer;,THE POWER OF HABIT;by Charles Duhigg;
4,SIX YEARS;by Harlan Coben;3 weeks on the list,THE BURGESS BOYS;by Elizabeth Strout;2 weeks on the list,WORLD WAR Z;by Max Brooks;41 weeks on the list,,,FEVER;by Maya Banks;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;8 weeks on the list,GREAT DEFORMATION;by David Stockman;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;New this week",BRAIN ON FIRE;by Susannah Cahalan;7 weeks on the list,LIFE CODE;by Phil McGraw;8 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;607 weeks on the list,WILD;by Cheryl Strayed;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;89 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;13 weeks on the list","BLUE EXORCIST, VOL. 9;by Kazue Kato;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;24 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;221 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
5,THE HOST;by Stephenie Meyer;5 weeks on the list,SIX YEARS;by Harlan Coben;3 weeks on the list,THE WITNESS;by Nora Roberts;New this week,,,THE BEST OF ME;by Nicholas Sparks;,WILD;by Cheryl Strayed;41 weeks on the list,SECRETS OF SILICON VALLEY;by Deborah Perry Piscione;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;10 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;24 weeks on the list,THE TAPPING SOLUTION;by Nick Ortner;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;21 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;148 weeks on the list","FAIRY TAIL, VOL. 24;by Hiro Mashima;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;86 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;3 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
6,LIFE AFTER LIFE;by Kate Atkinson;New this week,GONE GIRL;by Gillian Flynn;44 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;56 weeks on the list,,,CALICO JOE;by John Grisham;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;27 weeks on the list,SALT SUGAR FAT;by Michael Moss;6 weeks on the list,QUIET;by Susan Cain;10 weeks on the list,EVERYTHING IS PERFECT WHEN YOU'RE A LIAR;by Kelly Oxford;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;14 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;21 weeks on the list,GULP;by Mary Roach;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;14 weeks on the list","HAWKEYE, VOL. 1;by Matt Fraction and David Aja;3 weeks on the list","A CERTAIN SCIENTIFIC RAILGUN, VOL. 7;by Kazuma Kamachi;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;52 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;219 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,PREDICTABLY IRRATIONAL;by Dan Ariely;,UNBROKEN;by Laura Hillenbrand;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,THE STORYTELLER;by Jodi Picoult;6 weeks on the list,LOVER AT LAST;by J. R. Ward;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;New this week,,,LIFE AFTER LIFE;by Kate Atkinson;,GREAT DEFORMATION;by David Stockman;New this week,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;New this week,BOSSYPANTS;by Tina Fey;66 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;27 weeks on the list,WHEAT BELLY;by William Davis;50 weeks on the list,EAT TO LIVE;by Joel Fuhrman;90 weeks on the list,"CARRY ON, WARRIOR;by Glennon Doyle Melton;","EARTH 2, VOL. 1;by James Robinson and Nicola Scott;3 weeks on the list","THE UNWRITTEN, VOL. 7;by Mike Carey and Peter Gross;New this week","MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 1;by Yoshikazu Yasuhiko and Hajime Yatate;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,OTIS AND THE PUPPY;by Loren Long;4 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;267 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A HIGHER CALL;by Adam Makos with Larry Alexander;,THE DRUNKEN BOTANIST;by Amy Stewart;
8,FALLING INTO YOU;by Jasinda Wilder;3 weeks on the list,THE STORYTELLER;by Jodi Picoult;6 weeks on the list,LIFE OF PI;by Yann Martel;27 weeks on the list,,,THE BURGESS BOYS;by Elizabeth Strout;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;New this week",MOM & ME & MOM;by Maya Angelou;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;125 weeks on the list,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;New this week,"MAKING GOOD HABITS, BREAKING BAD HABITS;by Joyce Meyer;New this week",THE HONEST LIFE;by Jessica Alba;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;28 weeks on the list,"THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;33 weeks on the list","DAWN OF THE ARCANA, VOL. 9;by Rei Toma;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,EMERALDALICIOUS;by Victoria Kann;10 weeks on the list,GONE;by Michael Grant;5 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,END THIS DEPRESSION NOW!;by Paul Krugman;,COOLIDGE;by Amity Shlaes;,THEORETICAL MINIMUM;by Leonard Susskind;
9,GONE GIRL;by Gillian Flynn;44 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;8 weeks on the list,FIFTY SHADES DARKER;by E. L. James;53 weeks on the list,,,SIX YEARS;by Harlan Coben;,ANGELA'S ASHES;by Frank McCourt;New this week,SUM IT UP;by Pat Head Summitt with Sally Jenkins;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;96 weeks on the list,GREAT DEFORMATION;by David Stockman;New this week,THE KEY IS LOVE;by Marie Osmond with Marcia Wilkie;New this week,CLEAN;by Alejandro Junger with Amely Greeven;8 weeks on the list,GREAT DEFORMATION;by David Stockman;,SUPERMAN: THE DEATH AND RETURN OF SUPERMAN OMNIBUS;by various;2 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;17 weeks on the list","BLOOD LAD, VOL. 2;by Yuuki Kodama;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;46 weeks on the list,DARKNESS RISING;by Kelley Armstrong;New this week,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
10,"ALEX CROSS, RUN;by James Patterson;7 weeks on the list",Z;by Therese Anne Fowler;2 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;New this week,,,THE HOST;by Stephenie Meyer;,EVERYTHING IS PERFECT WHEN YOU'RE A LIAR;by Kelly Oxford;New this week,CLEAN;by David Sheff;New this week,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;5 weeks on the list,BOSSYPANTS;by Tina Fey;89 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;107 weeks on the list,SECRETS OF SILICON VALLEY;by Deborah Perry Piscione;,"CHEW OMNIVORE EDITION, VOLUME 3;by John Layman and Rob Guillory;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;17 weeks on the list","ONE PIECE, VOL. 66;by Eiichiro Oda;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,EXCLAMATION MARK;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;2 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;3 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN ENTREPRENEUR;by Brant Cooper and Patrick Vlaskovits;,BAILOUT;by Neil Barofsky;,DETROIT;by Charlie LeDuff;,UNLEASH THE POWER OF THE FEMALE BRAIN;by Daniel G. Amen;
