,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,WHISKEY BEACH;by Nora Roberts;New this week,WHISKEY BEACH;by Nora Roberts;New this week,BEAUTIFUL RUINS;by Jess Walter;3 weeks on the list,,,WHISKEY BEACH;by Nora Roberts;,LEAN IN;by Sheryl Sandberg with Nell Scovell;6 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;26 weeks on the list,BOSSYPANTS;by Tina Fey;91 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;2 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"DETECTIVE COMICS, VOL. 2;by Tony S. Daniel and Ed Benes;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;88 weeks on the list","BLEACH, VOL. 56;by Tite Kubo;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;New this week",THE HUNGER GAMES;by Suzanne Collins;139 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GREAT DEFORMATION;by David Stockman;,BRAIN ON FIRE;by Susannah Cahalan;
2,DAMAGED;by H. M. Ward;2 weeks on the list,DADDY'S GONE A HUNTING;by Mary Higgins Clark;2 weeks on the list,WORLD WAR Z;by Max Brooks;43 weeks on the list,,,DADDY'S GONE A HUNTING;by Mary Higgins Clark;,BOSSYPANTS;by Tina Fey;51 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;New this week,WILD;by Cheryl Strayed;4 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;9 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;4 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;28 weeks on the list","YU-GI-OH 5D'S, VOL. 4;by Masahiro Hikokubo;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;4 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;84 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,OUTLIERS;by Malcolm Gladwell;,WAY OF THE KNIFE;by Mark Mazzetti;,GULP;by Mary Roach;
3,TAKING EVE;by Iris Johansen;New this week,LIFE AFTER LIFE;by Kate Atkinson;3 weeks on the list,THE BLACK BOX;by Michael Connelly;New this week,,,THE BEST OF ME;by Nicholas Sparks;,PROOF OF HEAVEN;by Eben Alexander;26 weeks on the list,GULP;by Mary Roach;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;10 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;2 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;,BUILDING STORIES;by Chris Ware;25 weeks on the list,"SWAMP THING, VOL. 2;by Scott Snyder and Yanick Paquette;New this week","SOUL EATER, VOL. 13;by Atsushi Ohkubo;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;81 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;223 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GIVE AND TAKE;by Adam Grant;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,QUIET;by Susan Cain;
4,THE BET;by Rachel Van Dyken;3 weeks on the list,GONE GIRL;by Gillian Flynn;46 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;58 weeks on the list,,,CALICO JOE;by John Grisham;,WILD;by Cheryl Strayed;43 weeks on the list,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;12 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;29 weeks on the list,MAN 2.0 - ENGINEERING THE ALPHA;by John Romaniello and Adam Bornstein;New this week,WILD;by Cheryl Strayed;,"100 BULLETS: DELUXE EDITION, BOOK FOUR;by Brian Azzarello and Eduardo Risso;New this week","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;19 weeks on the list","TIGER AND BUNNY, VOL. 1;by Masafumi Nishida and Mizuki Sakakibara;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;3 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;18 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,GREAT DEFORMATION;by David Stockman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,REAL;by Katy Evans;New this week,TAKING EVE;by Iris Johansen;New this week,THE FORGOTTEN;by David Baldacci;4 weeks on the list,,,LIFE AFTER LIFE;by Kate Atkinson;,BRAIN ON FIRE;by Susannah Cahalan;4 weeks on the list,WAY OF THE KNIFE;by Mark Mazzetti;2 weeks on the list,QUIET;by Susan Cain;12 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;26 weeks on the list,LIFE CODE;by Phil McGraw;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"ALL-NEW X-MEN, VOL. 1;by Brian Michael Bendis and Stuart Immonen;2 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;15 weeks on the list","SAILOR MOON, VOL. 10;by Naoko Takeuchi;4 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;26 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;78 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEADERSHIFT;by Orrin Woodward and Oliver DeMille;,HOW TO RETIRE HAPPY;by Stan Hinden;,MY BELOVED WORLD;by Sonia Sotomayor;,SALT SUGAR FAT;by Michael Moss;
6,BEAUTIFUL STRANGER;by Christina Lauren;New this week,THE BURGESS BOYS;by Elizabeth Strout;4 weeks on the list,THE WITNESS;by Nora Roberts;3 weeks on the list,,,BEAUTIFUL RUINS;by Jess Walter;,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;New this week,GIVE AND TAKE;by Adam Grant;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;3 weeks on the list",MY FOOT IS TOO BIG FOR THE GLASS SLIPPER;by Gabrielle Reece with Karen Karbo;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;26 weeks on the list,"WORLDS' FINEST, VOL. 1;by Paul Levitz and others;New this week","A CERTAIN SCIENTIFIC RAILGUN, VOL. 7;by Kazuma Kamachi;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;88 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;269 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,SALT SUGAR FAT;by Michael Moss;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",A HIGHER CALL;by Adam Makos with Larry Alexander;,CLEAN;by David Sheff;
7,SIX YEARS;by Harlan Coben;5 weeks on the list,DON'T GO;by Lisa Scottoline;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;55 weeks on the list,,,WORLD WAR Z;by Max Brooks;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;29 weeks on the list,UNBROKEN;by Laura Hillenbrand;126 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;127 weeks on the list,ANGELA'S ASHES;by Frank McCourt;3 weeks on the list,RELISH;by Daphne Oz;New this week,GULP;by Mary Roach;,"AMERICAN VAMPIRE, VOL. 5;by Scott Snyder and Rafael Albuquerque;2 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;18 weeks on the list","BLUE EXORCIST, VOL. 9;by Kazue Kato;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,EMERALDALICIOUS;by Victoria Kann;12 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;5 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;,OUTSOURCE SMART;by Daven Michaels;,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
8,GONE GIRL;by Gillian Flynn;46 weeks on the list,UNINTENDED CONSEQUENCES;by Stuart Woods;2 weeks on the list,LIFE OF PI;by Yann Martel;29 weeks on the list,,,GONE GIRL;by Gillian Flynn;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;29 weeks on the list,GREAT DEFORMATION;by David Stockman;3 weeks on the list,BOSSYPANTS;by Tina Fey;68 weeks on the list,THE GOOD NURSE;by Charles Graeber;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;2 weeks on the list,QUIET;by Susan Cain;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;30 weeks on the list,"HAWKEYE, VOL. 1;by Matt Fraction and David Aja;5 weeks on the list","DURARARA: SAIKA ARC, VOL. 1;by Ryohgo Narita;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;54 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;285 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE POWER OF HABIT;by Charles Duhigg;
9,DADDY'S GONE A HUNTING;by Mary Higgins Clark;2 weeks on the list,SIX YEARS;by Harlan Coben;5 weeks on the list,FIFTY SHADES FREED;by E. L. James;55 weeks on the list,,,TAKING EVE;by Iris Johansen;,GULP;by Mary Roach;3 weeks on the list,MY WAY;by Paul Anka with David Dalton;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;98 weeks on the list,WILD;by Cheryl Strayed;57 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;2 weeks on the list,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;,TAINT THE MEAT... IT'S THE HUMANITY! AND OTHER STORIES;by Jack Davis and others;2 weeks on the list,RELISH;by Lucy Knisley;2 weeks on the list,"SAILOR MOON, VOL. 9;by Naoko Takeuchi;7 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;7 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;28 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,START;by Jon Acuff;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
10,THE WANDERER;by Robyn Carr;4 weeks on the list,STARTING NOW;by Debbie Macomber;3 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;3 weeks on the list,,,THE BLACK BOX;by Michael Connelly;,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;3 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;29 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;31 weeks on the list,GULP;by Mary Roach;3 weeks on the list,WHEAT BELLY;by William Davis;2 weeks on the list,WAY OF THE KNIFE;by Mark Mazzetti;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;98 weeks on the list,PUNK ROCK JESUS;by Sean Murphy;2 weeks on the list,"BLOOD LAD, VOL. 2;by Yuuki Kodama;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;49 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;6 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,THE CHECKLIST MANIFESTO;by Atul Gawande;,DIRTY WARS;by Jeremy Scahill;,THE DRUNKEN BOTANIST;by Amy Stewart;
