,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,SECOND HONEYMOON;by James Patterson and Howard Roughan;New this week,INFERNO;by Dan Brown;7 weeks on the list,JOYLAND;by Stephen King;4 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;36 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;16 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;36 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;36 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;7 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;2 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;2 weeks on the list","MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 2;by Hajime Yatate and Hajime Yatate;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;94 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,DAMAGED 2;by H. M. Ward;New this week,SECOND HONEYMOON;by James Patterson and Howard Roughan;New this week,WORLD WAR Z;by Max Brooks;53 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;16 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;8 weeks on the list",OUTLIERS;by Malcolm Gladwell;108 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;12 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;3 weeks on the list","THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;4 weeks on the list","SPICE AND WOLF, VOL. 8;by Isuna Hasekura;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;New this week,THE HUNGER GAMES;by Suzanne Collins;149 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,INFERNO;by Dan Brown;7 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;6 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;4 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;8 weeks on the list",LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;10 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;318 weeks on the list,BOSSYPANTS;by Tina Fey;101 weeks on the list,YOUTILITY;by Jay Baer;New this week,"BATMAN AND ROBIN, VOL. 2;by Peter Tomasi and Patrick Gleason;3 weeks on the list","SWEET TOOTH, VOL. 6;by Jeff Lemire;New this week","ATTACK ON TITAN, VOL. 5;by Hajime Isayama;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;91 weeks on the list",DORK DIARIES;by Rachel Renée Russell;77 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,DRIVE;by Daniel H. Pink;,KEEP IT PITHY;by Bill O'Reilly;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
4,THE NEWCOMER;by Robyn Carr;New this week,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;13 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;10 weeks on the list,DAD IS FAT;by Jim Gaffigan;8 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;121 weeks on the list,THE DISAPPEARING SPOON;by Sam Kean;New this week,WHEAT BELLY;by William Davis;12 weeks on the list,"HELLBOY, VOL. 6;by Mike Mignola and others;New this week","THE GRAPHIC CANON, VOL. 3;by Russ Kick;New this week","NARUTO, VOL. 61;by Masashi Kishimoto;7 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;11 weeks on the list",MIDDLE SCHOOL;by James Patterson and others;4 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,COLLAPSE OF DIGNITY;by Napoleon Gomez;,TIPPING POINT;by Malcolm Gladwell;,THE UNWINDING;by George Packer;,THE HAPPINESS PROJECT;by Gretchen Rubin;
5,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;6 weeks on the list,BAD MONKEY;by Carl Hiaasen;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;68 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;6 weeks on the list,WILD;by Cheryl Strayed;14 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;16 weeks on the list,EAT TO LIVE;by Joel Fuhrman;8 weeks on the list,SOLO: THE DELUXE EDITION;by various;3 weeks on the list,PERSEPOLIS;by Marjane Satrapi;6 weeks on the list,"KINGDOM HEARTS, CHAIN OF MEMORIES;by Shiro Amano;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;295 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;,THE POWER OF HABIT;by Charles Duhigg;
6,BEAUTIFUL DAY;by Elin Hilderbrand;New this week,THE EYE OF GOD;by James Rollins;New this week,FLIGHT BEHAVIOR;by Barbara Kingsolver;4 weeks on the list,,,BOSSYPANTS;by Tina Fey;55 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;4 weeks on the list,QUIET;by Susan Cain;22 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;8 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;12 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;98 weeks on the list","PUELLA MAGI KAZUMI MAGICA: THE INNOCENT MALICE, VOL. 1;by Magica Quartet and others;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;64 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;28 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,FINERMAN'S RULES;by Karen Finerman;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
7,WORLD WAR Z;by Max Brooks;6 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;New this week,THE ALCHEMIST;by Paulo Coelho;259 weeks on the list,,,THE GLASS CASTLE;by Jeannette Walls;31 weeks on the list,UNBROKEN;by Laura Hillenbrand;135 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;22 weeks on the list,THE ASTRONAUT WIVES CLUB;by Lily Koppel;3 weeks on the list,THE 100;by Jorge Cruise;6 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;14 weeks on the list",SMILE;by Raina Telgemeier;65 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;36 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;233 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
8,THE EYE OF GOD;by James Rollins;New this week,GONE GIRL;by Gillian Flynn;56 weeks on the list,LIFE OF PI;by Yann Martel;39 weeks on the list,,,THE ASTRONAUT WIVES CLUB;by Lily Koppel;2 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;13 weeks on the list",DAD IS FAT;by Jim Gaffigan;8 weeks on the list,LIFE CODE;by Phil McGraw;12 weeks on the list,"SUPERMAN: THE GOLDEN AGE OMNIBUS, VOL. 1;by Jerry Siegel and Joe Shuster;3 weeks on the list",DRAMA;by Raina Telgemeier;37 weeks on the list,"PANDORA HEARTS, VOL. 16;by Jun Mochizuki;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;98 weeks on the list,THE MAZE RUNNER;by James Dashner;52 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FOR WHAT IT'S WORTH;by Les Gold;,PREDICTABLY IRRATIONAL;by Dan Ariely;,BUNKER HILL;by Nathaniel Philbrick;,WHAT DO WOMEN WANT? Adventures in the Science of Female Desire;by Daniel Bergner;
9,TWO OF A KIND;by Susan Mallery;New this week,THE HEIST;by Janet Evanovich and Lee Goldberg;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;13 weeks on the list",,,UNBROKEN;by Laura Hillenbrand;119 weeks on the list,THE ASTRONAUT WIVES CLUB;by Lily Koppel;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;137 weeks on the list,LITTLE PRISONERS;by Casey Watson;4 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;12 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;6 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;151 weeks on the list","YU-GI-OH! ZEXAL, VOL. 3;by Shin Yoshida and Naohito Miyoshi;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;8 weeks on the list,GIVER QUARTET;by Lois Lowry;14 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,YOUTILITY;by Jay Baer;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",COLLAPSE OF DIGNITY;by Napoleon Gomez;,SUBLIMINALLY EXPOSED;by Steven Dayan;
10,ENTWINED WITH YOU;by Sylvia Day;4 weeks on the list,THE SILVER STAR;by Jeannette Walls;3 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;13 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;7 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;13 weeks on the list,BOSSYPANTS;by Tina Fey;78 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;64 weeks on the list,DARING GREATLY;by Brené Brown;12 weeks on the list,A GAME OF THRONES;by George R.R. Martin;15 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;28 weeks on the list","ONE PIECE, VOL. 67;by Eiichiro Oda;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;14 weeks on the list,EMILY WINDSNAP;by Liz Kessler. Illustrated by Sarah Gibb;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,SMARTTRIBES;by Christine Comaford;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SIGNAL AND THE NOISE;by Nate Silver;
