,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,W IS FOR WASTED;by Sue Grafton;New this week,W IS FOR WASTED;by Sue Grafton;New this week,FIFTY SHADES OF GREY;by E. L. James;79 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;2 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;9 weeks on the list,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;New this week,THE SHIFT;by Tory Johnson;New this week,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;2 weeks on the list,PERSEPOLIS;by Marjane Satrapi;17 weeks on the list,"SAILOR MOON SHORT STORIES, VOL. 1;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;12 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;105 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,WHEAT BELLY;by William Davis;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
2,NEVER GO BACK;by Lee Child;2 weeks on the list,NEVER GO BACK;by Lee Child;2 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;8 weeks on the list,,,STILL FOOLIN' 'EM;by Billy Crystal;New this week,STILL FOOLIN' 'EM;by Billy Crystal;New this week,PROOF OF HEAVEN;by Eben Alexander;47 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;New this week,BEFORE HAPPINESS;by Shawn Achor;New this week,"AMAZING SPIDER-MAN OMNIBUS, VOL. 1;by Stan Lee and others;New this week",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;5 weeks on the list,"ONE PIECE, VOL. 68;by Eiichiro Oda;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,FROG TROUBLE;by Sandra Boynton;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;160 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,INFILTRATED;by Jay W. Richards;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
3,THE HUSBAND'S SECRET;by Liane Moriarty;6 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;9 weeks on the list,THE ALCHEMIST;by Paulo Coelho;270 weeks on the list,,,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;New this week,THE LIBERTY AMENDMENTS;by Mark R. Levin;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;132 weeks on the list,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;New this week,MASTERMINDS AND WINGMEN;by Rosalind Wiseman;New this week,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;13 weeks on the list,"ANIMAL MAN, VOL. 3;by Jeff Lemire and others;New this week","ATTACK ON TITAN, VOL. 6;by Hajime Isayama;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;102 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;306 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,THE SPORTS GENE;by David Epstein;
4,THE CUCKOO'S CALLING;by Robert Galbraith;9 weeks on the list,THE MAYAN SECRETS;by Clive Cussler and Thomas Perry;2 weeks on the list,THE RACKETEER;by John Grisham;3 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;9 weeks on the list,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;New this week,OUTLIERS;by Malcolm Gladwell;119 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;10 weeks on the list,E-SQUARED;by Pam Grout;9 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;101 weeks on the list,BOXERS;by Gene Luen Yang;New this week,"DEMON LOVE SPELL, VOL. 4;by Mayu Shinjo;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;6 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;12 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,THE LEADERSHIP CONTRACT;by Vince Molinaro;,DRIVE;by Daniel H. Pink;,LAWRENCE IN ARABIA;by Scott Anderson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,SECOND WATCH;by J. A. Jance;New this week,INFERNO;by Dan Brown;18 weeks on the list,FIFTY SHADES DARKER;by E. L. James;76 weeks on the list,,,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;New this week,ZEALOT;by Reza Aslan;9 weeks on the list,QUIET;by Susan Cain;33 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;30 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;23 weeks on the list,"THE FLASH, VOL. 2;by Francis Manapul, Brian Buccellato and Marcus To;4 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;38 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;14 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;109 weeks on the list,GIVER QUARTET;by Lois Lowry;24 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,COLLISION 2012;by Dan Balz;,THE HAPPINESS PROJECT;by Gretchen Rubin;
6,FIFTY SHADES OF GREY;by E. L. James;60 weeks on the list,ROBERT B. PARKER’S DAMNED IF YOU DO;by Michael Brandman;New this week,FIFTY SHADES FREED;by E. L. James;75 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;19 weeks on the list",LEAN IN;by Sheryl Sandberg with Nell Scovell;27 weeks on the list,WILD;by Cheryl Strayed;25 weeks on the list,FIVE DAYS AT MEMORIAL;by Sheri Fink;New this week,UNGLUED;by Lysa TerKeurst;New this week,ONCE UPON A TIME;by Daniel T. Thomsen and Corinna Bechko;2 weeks on the list,SAINTS;by Gene Luen Yang;New this week,"NARUTO, VOL. 62;by Masashi Kishimoto;6 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;75 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;243 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE POWER OF HABIT;by Charles Duhigg;,THE CHECKLIST MANIFESTO;by Atul Gawande;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
7,THE RACKETEER;by John Grisham;17 weeks on the list,SECOND WATCH;by J. A. Jance;New this week,THE SILENT WIFE;by A. S. A. Harrison;8 weeks on the list,,,ZEALOT;by Reza Aslan;9 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;19 weeks on the list",STEVE JOBS;by Walter Isaacson;New this week,THE WITNESS WORE RED;by Rebecca Musser with Bridget Cook;New this week,GUINNESS WORLD RECORDS 2014.;;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;95 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;119 weeks on the list,"NARUTO, VOL. 61;by Masashi Kishimoto;9 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;22 weeks on the list",DORK DIARIES;by Rachel Renée Russell;87 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
8,ROBERT B. PARKER’S DAMNED IF YOU DO;by Michael Brandman;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;17 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;24 weeks on the list,,,FIVE DAYS AT MEMORIAL;by Sheri Fink;New this week,WILSON;by A. Scott Berg;New this week,BRAIN ON FIRE;by Susannah Cahalan;6 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;19 weeks on the list",GREAT WORK;by David Sturt;2 weeks on the list,"FABLES: THE DELUXE EDITION, BOOK SEVEN;by Bill Willingham and Mark Buckingham;2 weeks on the list","CHEW, VOL 7;by John Layman and Rob Guillory;New this week","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;8 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;11 weeks on the list,THE MAZE RUNNER;by James Dashner;61 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE REASON I JUMP;by Naoki Higashida;
9,INFERNO;by Dan Brown;18 weeks on the list,SOMEONE;by Alice McDermott;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;24 weeks on the list",,,THE LIBERTY AMENDMENTS;by Mark R. Levin;5 weeks on the list,NOTHIN' TO LOSE;by Ken Sharp with Paul Stanley and Gene Simmons;New this week,HOW CHILDREN SUCCEED;by Paul Tough;11 weeks on the list,ZEALOT;by Reza Aslan;9 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;23 weeks on the list,"THE SANDMAN OMNIBUS, VOL. 1;by Neil Gaiman and others;2 weeks on the list",SMILE;by Raina Telgemeier;71 weeks on the list,"KINGDOM HEARTS II, VOL. 2;by Shiro Amano;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,JOURNEY;by Aaron Becker;4 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;18 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEY CODE;by Joe John Duran;,KEEP IT PITHY;by Bill O'Reilly;,THE CHECKLIST MANIFESTO;by Atul Gawande;
10,THE MILL RIVER RECLUSE;by Darcie Chan;12 weeks on the list,GONE GIRL;by Gillian Flynn;67 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;24 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;27 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;6 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;329 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;27 weeks on the list,YOU'LL GET THROUGH THIS;by Max Lucado;2 weeks on the list,BUILDING STORIES;by Chris Ware;27 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;13 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;2 weeks on the list,HARRY POTTER;by J.K. Rowling;294 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EATING ON THE WILD SIDE;by Jo Robinson;,CRAZY RICH;by Jerry Oppenheimer;,BOOMERANG;by Michael Lewis;,AMERICAN GUN;by Chris Kyle with William Doyle;,INSIDE OF A DOG;by Alexandra Horowitz;
