,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;New this week,SYCAMORE ROW;by John Grisham;New this week,DEAR LIFE;by Alice Munro;3 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;5 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;5 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;15 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;5 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;106 weeks on the list","MONSTER MUSUME, VOL. 1;by Okayado;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;18 weeks on the list,DIVERGENT;by Veronica Roth;New this week,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE GOLDFINCH;by Donna Tartt;New this week,THE GOLDFINCH;by Donna Tartt;New this week,FIFTY SHADES OF GREY;by E. L. James;85 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;New this week,DAVID AND GOLIATH;by Malcolm Gladwell;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;53 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;5 weeks on the list,THE POWER OF RIGHT BELIEVING;by Joseph Prince;New this week,GREEN LANTERN: RISE OF THE THIRD ARMY;by Geoff Johns and various;3 weeks on the list,"SMALLVILLE SEASON 11, VOL. 3;by Bryan Q. Miller and Jorge Jimenez;New this week","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;13 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;4 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;45 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,,,TIP AND THE GIPPER;by Chris Matthews;,THE REASON I JUMP;by Naoki Higashida;
3,ENDER'S GAME;by Orson Scott Card;15 weeks on the list,DOCTOR SLEEP;by Stephen King;5 weeks on the list,THE HIT;by David Baldacci;6 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;4 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;125 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;3 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;9 weeks on the list,THE WOMAN REBEL: THE MARGARET SANGER STORY;by Peter Bagge;2 weeks on the list,BATTLING BOY;by Paul Pope;3 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;20 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;108 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;111 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,EXTORTION;by Peter Schweizer;,THE CAN'T COOK BOOK;by Jessica Seinfeld;,,,UNBROKEN;by Laura Hillenbrand;,QUIET;by Susan Cain;
4,WE ARE WATER;by Wally Lamb;New this week,WE ARE WATER;by Wally Lamb;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;30 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;3 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;New this week,JESUS > RELIGION;by Jefferson Bethke;3 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;4 weeks on the list,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;4 weeks on the list,AVENGERS: ENDLESS WARTIME;by Warren Ellis and Mike McKone;4 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and others;2 weeks on the list","NO. 6, VOL. 3;by Atsuko Asano and Hinoki Kino;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"CLICK, CLACK, BOO!;by Doreen Cronin. Illustrated by Betsy Lewin;4 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;166 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EVERYTHING STORE;by Brad Stone;,WHEAT BELLY;by William Davis;,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,FOCUS;by Daniel Goleman;
5,THE HUSBAND'S SECRET;by Liane Moriarty;12 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;6 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;30 weeks on the list",,,JOHNNY CARSON;by Henry Bushkin;2 weeks on the list,40 CHANCES;by Howard G. Buffett and Howard W. Buffett;New this week,WILD;by Cheryl Strayed;31 weeks on the list,JOHNNY CARSON;by Henry Bushkin;2 weeks on the list,WHAT ARE YOU AFRAID OF?;by David Jeremiah;4 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;6 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;121 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;11 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,I'M A FROG!;by Mo Willems;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;312 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FOCUS;by Daniel Goleman;,THE 100;by Jorge Cruise;,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
6,DOCTOR SLEEP;by Stephen King;5 weeks on the list,IDENTICAL;by Scott Turow;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;82 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;New this week,THE REASON I JUMP;by Naoki Higashida;5 weeks on the list,QUIET;by Susan Cain;39 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;3 weeks on the list,E-SQUARED;by Pam Grout;15 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;3 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;3 weeks on the list,"BLEACH, VOL. 58;by Tite Kubo;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;115 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;151 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,HUNDRED PERCENTERS;by Mark Murphy;,THE ROMNEY FAMILY TABLE;by Ann Romney;,,,EXTORTION;by Peter Schweizer;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,THE TEMPTATION OF LILA AND ETHAN;by Jessica Sorensen;New this week,STORM FRONT;by John Sandford;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;81 weeks on the list,,,40 CHANCES;by Howard G. Buffett and Howard W. Buffett;New this week,JOHNNY CARSON;by Henry Bushkin;2 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;17 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;3 weeks on the list,FIGHT;by Craig Groeschel;New this week,"FANTASTIC FOUR BY JONATHAN HICKMAN, OMNIBUS VOL. 1;by Jonathan Hickman and various;2 weeks on the list",SMILE;by Raina Telgemeier;77 weeks on the list,"ATTACK ON TITAN, VOL. 4;by Hajime Isayama;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;81 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;249 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DO YOU SPEAK SHOE LOVER?;by Linda Meadow;,EAT MOVE SLEEP;by Tom Rath;,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
8,THE LONGEST RIDE;by Nicholas Sparks;6 weeks on the list,GONE;by James Patterson and Michael Ledwidge;4 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;14 weeks on the list,,,MY STORY;by Elizabeth Smart with Chris Stewart;3 weeks on the list,EXTORTION;by Peter Schweizer;New this week,BRAIN ON FIRE;by Susannah Cahalan;12 weeks on the list,SPELLING IT LIKE IT IS;by Tori Spelling with Hilary Liftin;New this week,GUINNESS WORLD RECORDS 2014.;;7 weeks on the list,"JUSTICE LEAGUE, VOL. 3;by Geoff Johns and Ivan Reis;4 weeks on the list","LAZARUS, VOL. 1;by Greg Rucka and Michael Lark;New this week","BLACK BIRD, VOL. 17;by Kanoko Sakurakouji;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;12 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;86 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CATERPILLAR WAY;by Craig T. Bouchard and James V. Koch;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,,,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,STORM FRONT;by John Sandford;3 weeks on the list,BRIDGET JONES: MAD ABOUT THE BOY;by Helen Fielding;2 weeks on the list,ME BEFORE YOU;by Jojo Moyes;13 weeks on the list,,,THE REASON I JUMP;by Naoki Higashida;4 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;30 weeks on the list",ORANGE IS THE NEW BLACK;by Piper Kerman;16 weeks on the list,BREAK OUT!;by Joel Osteen;4 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;18 weeks on the list",DRAMA;by Raina Telgemeier;47 weeks on the list,"ATTACK ON TITAN, VOL. 6;by Hajime Isayama;6 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,MR. WUFFLES!;by David Wiesner;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;92 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",EAT TO LIVE;by Joel Fuhrman;,,,THEY KILLED OUR PRESIDENT;by Jesse Ventura;,THE POWER OF HABIT;by Charles Duhigg;
10,IDENTICAL;by Scott Turow;2 weeks on the list,JUST ONE EVIL ACT;by Elizabeth George;2 weeks on the list,THE RACKETEER;by John Grisham;9 weeks on the list,,,EXTORTION;by Peter Schweizer;New this week,HUMANS OF NEW YORK;by Brandon Stanton;2 weeks on the list,FAR FROM THE TREE;by Andrew Solomon;4 weeks on the list,DEVIL IN THE GROVE;by Gilbert King;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;29 weeks on the list,"EARTH 2, VOL. 2;by James Robinson and Nicola Scott;2 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;11 weeks on the list,"NARUTO, VOL. 62;by Masashi Kishimoto;8 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE VERY FAIRY PRINCESS SPARKLES IN THE SNOW;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;New this week,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;32 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,,,COMMAND AND CONTROL;by Eric Schlosser;,THE STORY OF THE HUMAN BODY;by Daniel Lieberman;
