,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;9 weeks on the list,SYCAMORE ROW;by John Grisham;9 weeks on the list,DEAR LIFE;by Alice Munro;11 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;9 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;9 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;88 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;35 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;8 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;10 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;114 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;28 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;2 weeks on the list,DIVERGENT;by Veronica Roth;9 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE GOLDFINCH;by Donna Tartt;9 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;6 weeks on the list,DARK WITCH;by Nora Roberts;8 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;13 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;13 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;61 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;8 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;48 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;17 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;26 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;257 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,QUIET;by Susan Cain;
3,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;6 weeks on the list,THE GOLDFINCH;by Donna Tartt;9 weeks on the list,THE STORYTELLER;by Jodi Picoult;7 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;12 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;12 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;3 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;11 weeks on the list,GUINNESS WORLD RECORDS 2014.;;15 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;99 weeks on the list","THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;4 weeks on the list","ONE PIECE, VOL. 69;by Eiichiro Oda;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;116 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;174 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;3 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;93 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;7 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;133 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;12 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;13 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;9 weeks on the list,SMILE;by Raina Telgemeier;85 weeks on the list,"FAIRY TAIL, VOL. 33;by Hiro Mashima;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;50 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;53 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE REASON I JUMP;by Naoki Higashida;
5,CROSS MY HEART;by James Patterson;4 weeks on the list,DOCTOR SLEEP;by Stephen King;13 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;38 weeks on the list",,,THE BULLY PULPIT;by Doris Kearns Goodwin;7 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;7 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;23 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;9 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;7 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;108 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;19 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;15 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;4 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;119 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,"JAB, JAB, JAB, RIGHT HOOK;by Gary Vaynerchuk;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
6,DOCTOR SLEEP;by Stephen King;13 weeks on the list,CROSS MY HEART;by James Patterson;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;283 weeks on the list,,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;5 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;5 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;51 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;8 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;7 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;7 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;155 weeks on the list","DEMON LOVE SPELL, VOL. 5;by Mayu Shinjo;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,JOURNEY;by Aaron Becker;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;320 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,TAKEDOWN TWENTY;by Janet Evanovich;5 weeks on the list,TAKEDOWN TWENTY;by Janet Evanovich;5 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;38 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;5 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;11 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;91 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;7 weeks on the list,BREAK OUT!;by Joel Osteen;12 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;3 weeks on the list",BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;5 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;35 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;85 weeks on the list,HARRY POTTER;by J.K. Rowling;301 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,TWELVE YEARS A SLAVE;by Solomon Northup;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
8,THE GODS OF GUILT;by Michael Connelly;3 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;14 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;19 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;11 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;10 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;2 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;7 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;5 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;New this week,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;44 weeks on the list","NARUTO, VOL. 63;by Masashi Kishimoto;7 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;18 weeks on the list,SEA BREEZE;by Abbi Glines;3 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,KING AND MAXWELL;by David Baldacci;5 weeks on the list,INFERNO;by Dan Brown;27 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;18 weeks on the list,,,HUMANS OF NEW YORK;by Brandon Stanton;5 weeks on the list,LET ME OFF AT THE TOP!;by Ron Burgundy;5 weeks on the list,QUIET;by Susan Cain;47 weeks on the list,QUIET;by Susan Cain;48 weeks on the list,STAYING STRONG;by Demi Lovato;5 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;36 weeks on the list,DRAMA;by Raina Telgemeier;51 weeks on the list,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;6 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;11 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;33 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STEVE JOBS;by Walter Isaacson;,THE PIONEER WOMAN COOKS;by Ree Drummond;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE SPORTS GENE;by David Epstein;
10,INFERNO;by Dan Brown;22 weeks on the list,KING AND MAXWELL;by David Baldacci;5 weeks on the list,THE RACKETEER;by John Grisham;12 weeks on the list,,,LET ME OFF AT THE TOP!;by Ron Burgundy;4 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;16 weeks on the list,WILD;by Cheryl Strayed;39 weeks on the list,UNBROKEN;by Laura Hillenbrand;151 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;3 weeks on the list","JANE, THE FOX, AND ME;by Fanny Britt, Isabelle Arsenault and others;2 weeks on the list",BATTLING BOY;by Paul Pope;6 weeks on the list,"ATTACK ON TITAN, VOL. 9;by Hajime Isayama;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;34 weeks on the list",DORK DIARIES;by Rachel Renée Russell;95 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,LONG WALK TO FREEDOM;by Nelson Mandela;,THE SIGNAL AND THE NOISE;by Nate Silver;
