,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,THE CHANCE;by Robyn Carr;New this week,THE UNDEAD POOL;by Kim Harrison;New this week,ORPHAN TRAIN;by Christina Baker Kline;28 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;8 weeks on the list,THE FUTURE OF THE MIND;by Michio Kaku;New this week,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;11 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;21 weeks on the list,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;New this week,INFINITY;by Jonathan Hickman and others;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;56 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;38 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;36 weeks on the list,DIVERGENT;by Veronica Roth;19 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,DAVID AND GOLIATH;by Malcolm Gladwell;,SLOW GETTING UP;by Nate Jackson;
2,THE CHASE;by Janet Evanovich and Lee Goldberg;New this week,THE GOLDFINCH;by Donna Tartt;19 weeks on the list,WINTER'S TALE;by Mark Helprin;6 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;142 weeks on the list,UNBROKEN;by Laura Hillenbrand;159 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;98 weeks on the list,UNBROKEN;by Laura Hillenbrand;161 weeks on the list,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;6 weeks on the list,"LOCKE & KEY, VOL. 6;by Joe Hill and Gabriel Rodriguez;4 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;121 weeks on the list","ATTACK ON TITAN, VOL. 11;by Hajime Isayama;5 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,LOCOMOTIVE;by Brian Floca;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;184 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,QUIET;by Susan Cain;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,FRIENDS — AND THEN SOME;by Debbie Macomber;New this week,THE CHASE;by Janet Evanovich and Lee Goldberg;New this week,LIFE AFTER LIFE;by Kate Atkinson;8 weeks on the list,,,THE FUTURE OF THE MIND;by Michio Kaku;New this week,DAVID AND GOLIATH;by Malcolm Gladwell;22 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;71 weeks on the list,PHILOMENA;by Martin Sixsmith;2 weeks on the list,THE VIRGIN DIET COOKBOOK;by J. J. Virgin;2 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;105 weeks on the list","THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;11 weeks on the list","DEADMAN WONDERLAND, VOL. 1;by Jinsei Katoka and Kazuma Kondou;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,JOURNEY;by Aaron Becker;16 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;267 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
4,THE UNDEAD POOL;by Kim Harrison;New this week,PRIVATE L.A.;by James Patterson and Mark Sullivan;3 weeks on the list,COCKROACHES;by Jo Nesbo;3 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;12 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;23 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;172 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;8 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;23 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SEARCH;by Gene Luen Yang and others;4 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;52 weeks on the list","NARUTO, VOL. 64;by Masashi Kishimoto;8 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;126 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;129 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",DUTY;by Robert M. Gates;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,ORR;by Bobby Orr;
5,THE GOLDFINCH;by Donna Tartt;19 weeks on the list,CONCEALED IN DEATH;by J. D. Robb;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;103 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;15 weeks on the list,THE SIXTH EXTINCTION;by Elizabeth Kolbert;3 weeks on the list,WILD;by Cheryl Strayed;49 weeks on the list,THE STORY OF THE TRAPP FAMILY SINGERS;by Maria Augusta Trapp;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;47 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;New this week,SMILE;by Raina Telgemeier;94 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;22 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;12 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;52 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE DOCTOR'S DIET;by Travis Stork;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
6,PRIVATE L.A.;by James Patterson and Mark Sullivan;3 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;8 weeks on the list,ME BEFORE YOU;by Jojo Moyes;31 weeks on the list,,,PHILOMENA;by Martin Sixsmith;New this week,DUTY;by Robert M. Gates;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;143 weeks on the list,THE FUTURE OF THE MIND;by Michio Kaku;New this week,THE BODY BOOK;by Cameron Diaz with Sandra Bark;8 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;116 weeks on the list,DRAMA;by Raina Telgemeier;54 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 1;by Naoshi Komi;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;130 weeks on the list,I SURVIVED;by Lauren Tarshis;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,WHEAT BELLY;by William Davis;,THINGS THAT MATTER;by Charles Krauthammer;,THE POWER OF HABIT;by Charles Duhigg;,WOODEN;by Seth Davis;
7,TAKE A CHANCE;by Abbi Glines;New this week,BLACKBERRY PIE MURDER;by Joanne Fluke;New this week,DARK PLACES;by Gillian Flynn;34 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;23 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;19 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;8 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;45 weeks on the list,SUPER SHRED;by Ian K. Smith;9 weeks on the list,"GUARDIANS OF THE GALAXY, VOL. 2;by Brian Michael Bendis, Sara Pichelli and others;2 weeks on the list","LEGO NINJAGO #9, NIGHT OF THE NINDROIDS;by Greg Farshtey and Jolyon Yates;3 weeks on the list","KAMISAMA KISS, VOL. 14;by Julietta Suzuki;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;91 weeks on the list,ASCENDANCE TRILOGY;by Jennifer A. Nielsen;New this week,LORE;by Alexandra Bracken;18 weeks on the list,TRIPLE PACKAGE;by Amy Chua and Jed Rubenfeld;,THE VIRGIN DIET COOKBOOK;by J. J. Virgin;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE FUTURE OF THE MIND;by Michio Kaku;,THE KID;by Ben Bradlee Jr.;
8,CONCEALED IN DEATH;by J. D. Robb;2 weeks on the list,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;293 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;22 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;49 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;33 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;23 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;13 weeks on the list","GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;3 weeks on the list",APHRODITE: GODDESS OF LOVE;by George O'Connor;5 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;18 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;12 weeks on the list,THE MAZE RUNNER;by James Dashner;73 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DECIDE;by Steve McClatchy;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,MY AGE OF ANXIETY;by Scott Stossel;,MANNING;by Peyton Manning and Archie Manning with John Underwood;
9,THE HUSBAND'S SECRET;by Liane Moriarty;28 weeks on the list,ONE MORE THING;by B. J. Novak;4 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;8 weeks on the list,,,THE STORY OF THE TRAPP FAMILY SINGERS;by Maria Augusta Trapp;New this week,GLITTER AND GLUE;by Kelly Corrigan;4 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;12 weeks on the list,DEAR CARY;by Dyan Cannon;8 weeks on the list,I CAN SEE CLEARLY NOW;by Wayne W. Dyer;New this week,"FABLES: THE DELUXE EDITION, BOOK EIGHT;by Bill Willingham and Mark Buckingham;2 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;27 weeks on the list,"BLOOD LAD, VOL. 4;by Yuuki Kodama;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;41 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;330 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,DECODED COMPANY;by Leerom Segal and others;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,BORN TO RUN;by Christopher McDougall;
10,SYCAMORE ROW;by John Grisham;19 weeks on the list,SYCAMORE ROW;by John Grisham;19 weeks on the list,THE TRAITOR'S WIFE;by Allison Pataki;3 weeks on the list,,,THE SIXTH EXTINCTION;by Elizabeth Kolbert;3 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;17 weeks on the list,QUIET;by Susan Cain;57 weeks on the list,WILD;by Cheryl Strayed;90 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;43 weeks on the list,BEAUTIFUL DARKNESS;by Fabien Vehlmann and Kerascoët;New this week,BLUE IS THE WARMEST COLOR;by Julie Maroh;18 weeks on the list,"BLACK BUTLER, VOL. 16;by Yana Toboso;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;8 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;63 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,HRC;by Jonathan Allen and Amie Parnes;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,EAT AND RUN;by Scott Jurek with Steve Friedman;
