,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Food and Diet,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,FESTIVE IN DEATH;by J. D. Robb;New this week,PERSONAL;by Lee Child;2 weeks on the list,GONE GIRL;by Gillian Flynn;21 weeks on the list,,,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;New this week,WHAT IF?;by Randall Munroe;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;7 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;New this week,"ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;by Steve Harvey;New this week","THE WALKING DEAD, BOOK 10;by Robert Kirkman and Charlie Adlard;New this week",SISTERS;by Raina Telgemeier;4 weeks on the list,"YU-GI-OH! 5D'S, VOL. 6;by Masahiro Hikokubo and Masashi Sato;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,HORTON AND THE KWUGGERBUG AND MORE LOST STORIES;by Dr. Seuss;New this week,THE MAZE RUNNER;by James Dashner;101 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,OUTLIERS;by Malcolm Gladwell;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE GLASS CASTLE;by Jeannette Walls;,UNBROKEN;by Laura Hillenbrand;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,IN THE KINGDOM OF ICE;by Hampton Sides;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,PERSONAL;by Lee Child;2 weeks on the list,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;321 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;170 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;16 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;34 weeks on the list,WHAT I KNOW FOR SURE;by Oprah Winfrey;2 weeks on the list,FOREVER EVIL;by Geoff Johns and David Finch;New this week,"AMULET, VOL. 6;by Kazu Kibuishi;4 weeks on the list","ONE PIECE, VOL. 72;by Eiichiro Oda;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;64 weeks on the list,DIVERGENT;by Veronica Roth;47 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,A FRIEND LIKE HENRY;by Nuala Gardner;,THE PATH BETWEEN THE SEAS;by David McCullough;,TAKING THE LEAD;by Derek Hough;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,DARING GREATLY;by Brené Brown;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICA;by Dinesh D'Souza;,THE POWER OF NOW;by Eckhart Tolle;,QUIET;by Susan Cain;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,GONE GIRL;by Gillian Flynn;94 weeks on the list,FESTIVE IN DEATH;by J. D. Robb;New this week,ORPHAN TRAIN;by Christina Baker Kline;56 weeks on the list,,,WHAT IF?;by Randall Munroe;2 weeks on the list,WAKING UP;by Sam Harris;New this week,OUTLIERS;by Malcolm Gladwell;171 weeks on the list,BETWEEN HEAVEN AND GROUND ZERO;by Leslie Haskin;New this week,THE HAPPINESS OF PURSUIT;by Chris Guillebeau;New this week,SECONDS;by Bryan Lee O'Malley;9 weeks on the list,PERSEPOLIS;by Marjane Satrapi;38 weeks on the list,"MAYO CHIKI!, VOL. 7;by Hajime Asano and Neet;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,GUS & ME;by Keith Richards with Barnaby Harris and Bill Shapiro. Illustrated by Theodora Richards;New this week,GIVER QUARTET;by Lois Lowry;56 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NEVER TURN YOUR BACK ON AN ANGUS COW;by Jan Pol with David Fisher;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DEAR CARY;by Dyan Cannon;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,A SPY AMONG FRIENDS;by Ben Macintyre;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE HOT ZONE;by Richard Preston;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
4,THE WITCH WITH NO NAME;by Kim Harrison;New this week,THE CHILDREN ACT;by Ian McEwan;New this week,SYCAMORE ROW;by John Grisham;4 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;17 weeks on the list,WORLD ORDER;by Henry Kissinger;New this week,WILD;by Cheryl Strayed;77 weeks on the list,UNBROKEN;by Laura Hillenbrand;189 weeks on the list,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;2 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;19 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;50 weeks on the list","ATTACK ON TITAN, VOL. 13;by Hajime Isayama;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;154 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;22 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,WHEAT BELLY;by William Davis;,MY DRUNK KITCHEN;by Hannah Hart;,"I'VE NEVER BEEN TO VEGAS, BUT MY LUGGAGE HAS;by Mandy Hale;",HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,ONE NATION;by Ben Carson with Candy Carson;,JESUS > RELIGION;by Jefferson Bethke;,DAVID AND GOLIATH;by Malcolm Gladwell;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;,UGANDA BE KIDDING ME;by Chelsea Handler;
5,THE ALCHEMIST;by Paulo Coelho;2 weeks on the list,THE WITCH WITH NO NAME;by Kim Harrison;New this week,FIFTY SHADES OF GREY;by E. L. James;124 weeks on the list,,,WAKING UP;by Sam Harris;New this week,DIARY OF A MAD DIVA;by Joan Rivers;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;200 weeks on the list,WAKING UP;by Sam Harris;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;75 weeks on the list,KILL MY MOTHER;by Jules Feiffer;4 weeks on the list,THE WRENCHIES;by Farel Dalrymple;2 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 5;by Naoshi Komi;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;157 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;52 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FROM BAGHDAD TO AMERICA;by Jay Kopelman;,#GIRLBOSS;by Sophia Amoruso;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,MY DRUNK KITCHEN;by Hannah Hart;,BOSSYPANTS;by Tina Fey;,TATTOOS ON THE HEART;by Gregory Boyle;,HOW CHILDREN SUCCEED;by Paul Tough;,THE PATH BETWEEN THE SEAS;by David McCullough;,PROOF OF HEAVEN;by Eben Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEN HOGAN;by James Dodson;,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;
6,OUTLANDER;by Diana Gabaldon;7 weeks on the list,THE BONE CLOCKS;by David Mitchell;2 weeks on the list,DARK PLACES;by Gillian Flynn;59 weeks on the list,,,WORLD ORDER;by Henry Kissinger;New this week,UNPHILTERED;by Phil Robertson with Mark Schlabach;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;36 weeks on the list,THE IDIOT GIRL AND THE FLAMING TANTRUM OF DEATH;by Laurie Notaro;New this week,THE BEST YES;by Lysa TerKeurst;5 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;13 weeks on the list,SMILE;by Raina Telgemeier;118 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;66 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;108 weeks on the list,MICKEY BOLITAR;by Harlan Coben;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,100 DAYS OF REAL FOOD;by Lisa Leake;,HYPERBOLE AND A HALF;by Allie Brosh;,THE JOURNAL OF BEST PRACTICES;by David Finch;,ENRIQUE'S JOURNEY;by Sonia Nazario;,THE FIRST FAMILY DETAIL;by Ronald Kessler;,THE UNTETHERED SOUL;by Michael A. Singer;,THE POWER OF HABIT;by Charles Duhigg;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,A WALK IN THE WOODS;by Bill Bryson;
7,MEAN STREAK;by Sandra Brown;4 weeks on the list,THE SECRET PLACE;by Tana French;2 weeks on the list,OUTLANDER;by Diana Gabaldon;6 weeks on the list,,,DIARY OF A MAD DIVA;by Joan Rivers;3 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;17 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;58 weeks on the list,WILD;by Cheryl Strayed;112 weeks on the list,100 DAYS OF REAL FOOD;by Lisa Leake;3 weeks on the list,SHOPLIFTER;by Michael Cho;2 weeks on the list,DRAMA;by Raina Telgemeier;61 weeks on the list,"NORAGAMI, VOL. 1;by Adachitoka;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,OTIS AND THE SCARECROW;by Loren Long;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;344 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,HAATCHI AND LITTLE B;by Wendy Holden;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,TIBETAN PEACH PIE;by Tom Robbins;,THE DOCTOR'S DIET;by Travis Stork;,DIARY OF A MAD DIVA;by Joan Rivers;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,HARD CHOICES;by Hillary Rodham Clinton;,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,COCKPIT CONFIDENTIAL;by Patrick Smith;
8,BIG LITTLE LIES;by Liane Moriarty;7 weeks on the list,THE KING'S CURSE;by Philippa Gregory;New this week,THE BEST OF ME;by Nicholas Sparks;29 weeks on the list,,,BETWEEN HEAVEN AND GROUND ZERO;by Leslie Haskin;New this week,OFF THE SIDELINES;by Kirsten Gillibrand with Elizabeth Weil;New this week,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;2 weeks on the list,DIARY OF A MAD DIVA;by Joan Rivers;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;71 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;132 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;24 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;11 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;39 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;2 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,THE GARNER FILES;by James Garner and Jon Winokur;,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE SWEET POTATO QUEENS' BOOK OF LOVE;by Jill Conner Browne;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BLOOD FEUD;by Edward Klein;,WAKING UP IN HEAVEN;by Crystal McVea;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WHEN THE GAME STANDS TALL;by Neil Hayes;,NYC BASIC TIPS AND ETIQUETTE;by Nathan W. Pyle;
9,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;2 weeks on the list,THE EYE OF HEAVEN;by Clive Cussler and Russell Blake;2 weeks on the list,THIS IS WHERE I LEAVE YOU;by Jonathan Tropper;7 weeks on the list,,,WILD;by Cheryl Strayed;78 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;6 weeks on the list,ZEALOT;by Reza Aslan;New this week,WORLD ORDER;by Henry Kissinger;New this week,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;28 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;23 weeks on the list",EL DEAFO;by Cece Bell;New this week,"SKIP BEAT!, VOL. 33;by Yoshiki Nakamura;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;27 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;157 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;,BUSINESS ADVENTURES;by John Brooks;,I DIDN'T COME HERE TO MAKE FRIENDS;by Courtney Robertson with Deb Baer;,PRACTICAL PALEO;by Diane Sanfilippo;,HOW TO SURVIVE A SHARKNADO;by Andrew Shaffer;,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;",CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,ABSOLUTE MONARCHS;by John Julius Norwich;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,LUCKIEST MAN;by Jonathan Eig;,THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
10,THE KING'S CURSE;by Philippa Gregory;New this week,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;5 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;28 weeks on the list,,,UNPHILTERED;by Phil Robertson with Mark Schlabach;2 weeks on the list,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;New this week,THE BULLY PULPIT;by Doris Kearns Goodwin;New this week,JESUS ON TRIAL;by David Limbaugh;New this week,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;New this week","THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;7 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;39 weeks on the list","ALICE IN THE COUNTRY OF CLOVER: KNIGHT'S KNOWLEDGE, VOL. 2;by QuinRose and Sai Asai;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LADYBUG GIRL AND THE DRESS-UP DILEMMA;by Jacky Davis. Illustrated by David Soman;3 weeks on the list,LEGEND;by Marie Lu;11 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,JUST KIDS;by Patti Smith;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,UGANDA BE KIDDING ME;by Chelsea Handler;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,THE CONSCIOUS PARENT;by Shefali Tsabary;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,A YEAR OF BIBLICAL WOMANHOOD;by Rachel Held Evans;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,DEVIL AT MY HEELS;by Louis Zamperini and David Rensin;,THE EMERALD MILE;by Kevin Fedarko;
