,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,BLOOD MAGICK;by Nora Roberts;New this week,GRAY MOUNTAIN;by John Grisham;2 weeks on the list,BLOOD MAGICK;by Nora Roberts;New this week,,,YES PLEASE;by Amy Poehler;New this week,YES PLEASE;by Amy Poehler;New this week,UNBROKEN;by Laura Hillenbrand;14 weeks on the list,YES PLEASE;by Amy Poehler;New this week,MAKE IT AHEAD!;by Ina Garten;New this week,"POGO, VOL. 3;by Walt Kelly;New this week",SISTERS;by Raina Telgemeier;11 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 2;by Gun Snark, Hikaru Suruga and Hajime Isayama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;5 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;New this week,REALM BREAKER;by Victoria Aveyard;New this week,CATIFICATION;by Jackson Galaxy and Kate Benjamin;,THE INNOVATORS;by Walter Isaacson;,NOT THAT KIND OF GIRL;by Lena Dunham;,ORANGE IS THE NEW BLACK;by Piper Kerman;,AS YOU WISH;by Cary Elwes with Joe Layden;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THUG KITCHEN;by the staff of Thug Kitchen;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE HOT ZONE;by Richard Preston;,NOT THAT KIND OF GIRL;by Lena Dunham;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,AGENTS OF THE APOCALYPSE;by David Jeremiah;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,GRAY MOUNTAIN;by John Grisham;2 weeks on the list,THE SLOW REGARD OF SILENT THINGS;by Patrick Rothfuss;New this week,GONE GIRL;by Gillian Flynn;28 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;6 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;23 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;6 weeks on the list,"THE WORLD OF ICE AND FIRE;by George R. R. Martin, Elio M. García Jr. and Linda Antonsson;New this week",THE COMPLETE PEANUTS: 1991-1994;by Charles M. Schulz;New this week,"MS. MARVEL, VOL. 1;by G. Willow Wilson and Adrian Alphona;New this week","BLACK BUTLER, VOL. 18;by Yana Toboso;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;71 weeks on the list,THE MAZE RUNNER;by James Dashner;108 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,UNDERWATER PUPPIES;by Seth Casteel;,ZERO TO ONE;by Peter Thiel with Blake Masters;,NEIL PATRICK HARRIS: CHOOSE YOUR OWN AUTOBIOGRAPHY;by Neil Patrick Harris with David Javerbaum;,JUST MERCY;by Bryan Stevenson;,THE SENSE OF STYLE;by Steven Pinker;,HOW CHILDREN SUCCEED;by Paul Tough;,MAKE UP;by Michelle Phan;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",HASHIMOTO'S THYROIDITIS;by Izabella Wentz with Marta Nowosadzka;,AS YOU WISH;by Cary Elwes with Joe Layden;,GRACE'S GUIDE;by Grace Helbig;,THE CONSCIOUS PARENT;by Shefali Tsabary;,UNBROKEN;by Laura Hillenbrand;,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;,THE INNOVATORS;by Walter Isaacson;,THE BOYS IN THE BOAT;by Daniel James Brown;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;"
3,GONE GIRL;by Gillian Flynn;101 weeks on the list,PRINCE LESTAT;by Anne Rice;New this week,THE ALCHEMIST;by Paulo Coelho;328 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;177 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;5 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;New this week,THE LAST STAND OF THE TIN CAN SAILORS;by James D. Hornfischer;New this week,AGENTS OF THE APOCALYPSE;by David Jeremiah;4 weeks on the list,"WALT DISNEY’S UNCLE SCROOGE AND DONALD DUCK: THE DON ROSA LIBRARY, VOLS. 1 AND 2;by Don Rosa;New this week",SMILE;by Raina Telgemeier;125 weeks on the list,"NO GAME, NO LIFE, VOL. 1;by Yuu Kamiya and Mashiro Hiiragi;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;161 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;77 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GOOD DOG;by the editors of Garden and Gun Magazine;,HOW WE GOT TO NOW;by Steven Johnson;,NOT MY FATHER'S SON;by Alan Cumming;,TINSELTOWN;by William J. Mann;,THE MEANING OF HUMAN EXISTENCE;by Edward O. Wilson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,REFINERY29: STYLE STALKING;by Christine Barberich and Piera Gelardi;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MONSTER MANUAL;by Wizards RPG Team;,SMOKE GETS IN YOUR EYES;by Caitlin Doughty;,FOOD;by Jim Gaffigan;,DARING GREATLY;by Brené Brown;,HOW CHILDREN SUCCEED;by Paul Tough;,WORTHY FIGHTS;by Leon Panetta with Jim Newton;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,THE HOT ZONE;by Richard Preston;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,HUMANS OF NEW YORK;by Brandon Stanton;
4,THE SLOW REGARD OF SILENT THINGS;by Patrick Rothfuss;New this week,HAVANA STORM;by Clive Cussler;New this week,ORPHAN TRAIN;by Christina Baker Kline;63 weeks on the list,,,NOT THAT KIND OF GIRL;by Lena Dunham;5 weeks on the list,BEING MORTAL;by Atul Gawande;4 weeks on the list,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;3 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;41 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;New this week,BLACKSAD: AMARILLO;by Juan Diaz Canales and Juanjo Guarnido;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;137 weeks on the list","NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!,  VOL. 5;by Nico Tanigawa;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;164 weeks on the list,DIVERGENT;by Veronica Roth;54 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,TOP DOG;by Maria Goodavage;,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;,ROCKS;by Joe Perry with David Ritz;,BAD PAPER;by Jake Halpern;,BAD FEMINIST;by Roxane Gay;,DATACLYSM;by Christian Rudder;,ELEMENTS OF STYLE;by Erin Gates;,FOOD;by Jim Gaffigan;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,THE EBOLA SURVIVAL HANDBOOK;Joseph Alton;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,A HEARTBREAKING WORK OF STAGGERING GENIUS;by Dave Eggers;,STOP THE COMING CIVIL WAR;by Michael Savage;,JESUS ON TRIAL;by David Limbaugh;,WHAT IF?;by Randall Munroe;,THE BEST IN THE WORLD;by Chris Jericho with Peter Thomas Fornatale;,1000 DOT-TO-DOT: CITIES;by Thomas Pavitte;
5,HAVANA STORM;by Clive Cussler;New this week,LEAVING TIME;by Jodi Picoult;3 weeks on the list,DARK PLACES;by Gillian Flynn;66 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;24 weeks on the list,JETER UNFILTERED;by Derek Jeter with Anthony Bozza;New this week,WILD;by Cheryl Strayed;84 weeks on the list,UNBROKEN;by Laura Hillenbrand;196 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;13 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;26 weeks on the list,"THE WALKING DEAD, VOL. 21;by Robert Kirkman and Charlie Adlard;9 weeks on the list","KINGDOM HEARTS 358/2 DAYS, VOL. 4;by Shiro Amano;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LITTLE HUMANS;by Brandon Stanton;4 weeks on the list,SEA BREEZE;by Abbi Glines;8 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,CAT SENSE;by John Bradshaw;,THE POWER OF HABIT;by Charles Duhigg;,DANCING WITH MYSELF;by Billy Idol;,CATCH ME IF YOU CAN;by Frank W. Abagnale with Stan Redding;,NEWS SORORITY;by Sheila Weller;,THE ORGANIZED MIND;by Daniel J. Levitin;,AT HOME WITH MADAME CHIC;by Jennifer L. Scott;,PLENTY MORE;by Yotam Ottolenghi;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",FINAL EXAM;by Pauline W. Chen;,GRACE'S GUIDE;by Grace Helbig;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,HOW WE GOT TO NOW;by Steven Johnson;,WAKING UP;by Sam Harris;,HOW WE GOT TO NOW;by Steven Johnson;,READY TO RUN;by Kelly Starrett with T. J. Murphy;,WALKING HOME;by Sonia Choquette;
6,PRINCE LESTAT;by Anne Rice;New this week,THE HANDSOME MAN'S DE LUXE CAFÉ;by Alexander McCall Smith;New this week,SHARP OBJECTS;by Gillian Flynn;29 weeks on the list,,,BEING MORTAL;by Atul Gawande;4 weeks on the list,FOOD;by Jim Gaffigan;2 weeks on the list,THE HOT ZONE;by Richard Preston;54 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;5 weeks on the list,"YOU CAN, YOU WILL;by Joel Osteen;5 weeks on the list",THE COMPLETE PEANUTS: 1993-1994;by Charles M. Schulz;New this week,"HAWKEYE, VOL. 3;by Matt Fraction, Annie Wu and Javier Pulido;2 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;73 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,ONCE UPON AN ALPHABET;by Oliver Jeffers;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;110 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,HARLOW AND SAGE (AND INDIANA);by Brittni Vega;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,CORRUPTION IN AMERICA;by Zephyr Teachout;,"CREATIVITY, INC;by Ed Catmull with Amy Wallace;",HOW WE LEARN;by Benedict Carey;,TORY BURCH;by Tory Burch and Nandini Wolfe;,HOW TO COOK EVERYTHING FAST;by Mark Bittman;,PLAYER'S HANDBOOK;by Wizards RPG Team;,MIRACLES AND MAYHEM IN THE ER;by Brent Rock Russell;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,BAD FEMINIST;by Roxane Gay;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;,YOU CAN'T MAKE THIS STUFF UP;by Theresa Caputo with Kristina Grish;,QUIET;by Susan Cain;,ORR;by Bobby Orr;,TRAVEL UNSCRIPTED;by Mark Murphy;
7,LEAVING TIME;by Jodi Picoult;3 weeks on the list,PEGASUS;by Danielle Steel;New this week,THE BEST OF ME;by Nicholas Sparks;36 weeks on the list,,,JETER UNFILTERED;by Derek Jeter with Anthony Bozza;New this week,WHAT IF?;by Randall Munroe;9 weeks on the list,THE MAP OF HEAVEN;by Eben Alexander with Ptolemy Tompkins;2 weeks on the list,BEING MORTAL;by Atul Gawande;4 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;4 weeks on the list,"HARLEY QUINN, VOL. 1;by Jimmy Palmiotti, Amanda Conner and Chad Hardin;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;68 weeks on the list","ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR’S GAME, VOL. 6;by QuinRose and Mamenosuke Fujimaru;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,OCEAN;by Dan Kainen and Carol Kaufmann;New this week,DARKEST MINDS;by Alexandra Bracken;New this week,LORE;by Alexandra Bracken;18 weeks on the list,UNDERWATER DOGS;by Seth Casteel;,THIS CHANGES EVERYTHING;by Naomi Klein;,BOSSYPANTS;by Tina Fey;,THE GREAT NEW ORLEANS KIDNAPPING CASE;by Michael A. Ross;,EVEN THIS I GET TO EXPERIENCE;by Norman Lear;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",ONE POT;by the editors of Martha Stewart Living;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,ON IMMUNITY;by Eula Biss;,REVOLUTION;by Russell Brand;,AN INVISIBLE THREAD;by Laura L. Schroff;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,THE BEST YES;by Lysa TerKeurst;,THE SENSE OF STYLE;by Steven Pinker;,BUSHCRAFT 101;by Dave Canterbury;,COCKPIT CONFIDENTIAL;by Patrick Smith;
8,PEGASUS;by Danielle Steel;New this week,EDGE OF ETERNITY;by Ken Follett;7 weeks on the list,THE MARTIAN;by Andy Weir;New this week,,,THE LAST STAND OF THE TIN CAN SAILORS;by James D. Hornfischer;New this week,THE INNOVATORS;by Walter Isaacson;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;43 weeks on the list,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;New this week,ZERO TO ONE;by Peter Thiel with Blake Masters;7 weeks on the list,"THE GRAVEYARD BOOK, VOL. 2;by Neil Gaiman, P. Craig Russell and others;4 weeks on the list","AMULET, VOL. 6;by Kazu Kibuishi;11 weeks on the list","NARUTO, VOL. 67;by Masashi Kishimoto;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;44 weeks on the list,GIVER QUARTET;by Lois Lowry;63 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,ASK ANNA;by Dean Koontz;,OUTLIERS;by Malcolm Gladwell;,THE BEST IN THE WORLD;by Chris Jericho with Peter Thomas Fornatale;,THE BOSTON RAPHAEL;by Belinda Rathbone;,JOHNNY CARSON;by Henry Bushkin;,EXCELLENT SHEEP;by William Deresiewicz;,MARELLA AGNELLI;by Marella Agnelli and Marella Caracciolo Chia;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,THE CHECKLIST MANIFESTO;by Atul Gawande;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,LOVE DOES;by Bob Goff;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE WAY OF SERENITY;by Jonathan Morris;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SCRIBE;by Bob Ryan;,WAYFARING STRANGERS;by Fiona Ritchie and Doug Orr;
9,YOURS FOR CHRISTMAS;by Susan Mallery;New this week,THE PERIPHERAL;by William Gibson;New this week,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;New this week,,,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;New this week,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;New this week,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;3 weeks on the list,CHASING DAYLIGHT;by Eugene O'Kelly with Andrew Postman;New this week,"ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;by Steve Harvey;6 weeks on the list",THE BEST AMERICAN COMICS 2014;by Scott McCloud and others;4 weeks on the list,DRAMA;by Raina Telgemeier;68 weeks on the list,"FOOD WARS!, VOL. 2;by Yuto Tsukuda and Shun Saeki;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;32 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;295 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,A STREET CAT NAMED BOB;by James Bowen;,A PATH APPEARS;by Nicholas Kristof and Sheryl WuDunn;,SPECIAL DELUXE;by Neil Young;,MANSON;by Jeff Guinn;,MY FAVORITE THINGS;by Maira Kalman;,THINKING IN NUMBERS;by Daniel Tammet;,NANCY BRAITHWAITE: SIMPLICITY;by Nancy Braithwaite;,DANIELLE WALKER'S AGAINST ALL GRAIN: MEALS MADE SIMPLE;by Danielle Walker;,1000 DOT-TO-DOT: CITIES;by Thomas Pavitte;,THEN CAME LIFE;by Geralyn Lucas;,BOSSYPANTS;by Tina Fey;,LITTLE FAILURE;by Gary Shteyngart;,NO-DRAMA DISCIPLINE;by Daniel J. Siegel and Tina Payne Bryson;,REBEL YELL;by S. C. Gwynne;,THE MAP OF HEAVEN;by Eben Alexander with Ptolemy Tompkins;,THIS CHANGES EVERYTHING;by Naomi Klein;,SLOW GETTING UP;by Nate Jackson;,NEVER CAN SAY GOODBYE;edited by Sari Botton;
10,THE HANDSOME MAN'S DE LUXE CAFÉ;by Alexander McCall Smith;New this week,DEADLINE;by John Sandford;4 weeks on the list,THE ROSIE PROJECT;by Graeme Simsion;15 weeks on the list,,,THE INNOVATORS;by Walter Isaacson;4 weeks on the list,STOP THE COMING CIVIL WAR;by Michael Savage;4 weeks on the list,OUTLIERS;by Malcolm Gladwell;176 weeks on the list,WILD;by Cheryl Strayed;116 weeks on the list,PLENTY MORE;by Yotam Ottolenghi;3 weeks on the list,SECONDS;by Bryan Lee O'Malley;16 weeks on the list,"AMULET, VOL. 1;by Kazu Kibuishi;2 weeks on the list","DEADMAN WONDERLAND, VOL. 5;by Jinsei Kataoka;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MIX IT UP!;by Hervé Tullet;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;210 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,"CHASER;by John W. Pilley, Jr. with Hilary Hinzmann;",#GIRLBOSS;by Sophia Amoruso;,STILL FOOLIN' 'EM;by Billy Crystal;,MY BELOVED WORLD;by Sonia Sotomayor;,KNOWLEDGE IS BEAUTIFUL;by David McCandless;,WALK IN THEIR SHOES;by Jim Ziolkowski and James S. Hirsch;,"FIFTH AVENUE, 5 A.M;by Sam Wasson;",IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,EVERYBODY'S GOT SOMETHING;by Robin Roberts with Veronica Chambers;,THE UNDOCUMENTED MARK STEYN;by Mark Steyn;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE POWER OF HABIT;by Charles Duhigg;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,100 PLACES IN FRANCE EVERY WOMAN SHOULD GO;Marcia DeSanctis;
