,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,GONE GIRL;by Gillian Flynn;109 weeks on the list,GRAY MOUNTAIN;by John Grisham;10 weeks on the list,GONE GIRL;by Gillian Flynn;36 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;185 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;22 weeks on the list,UNBROKEN;by Laura Hillenbrand;204 weeks on the list,MAKE IT AHEAD!;by Ina Garten;9 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;34 weeks on the list,"SAGA, VOL. 4;by Brian K. Vaughan and Fiona Staples;2 weeks on the list","KINGDOM HEARTS II, VOL. 3;by Shiro Amano;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;13 weeks on the list,THE MAZE RUNNER;by James Dashner;116 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,LYING IN WAIT;by Ann Rule;,AS YOU WISH;by Cary Elwes with Joe Layden;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,DEEP DOWN DARK;Héctor Tobar;,DIY NAIL ART;by Catherine Rodgers;,MAKE IT AHEAD!;by Ina Garten;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,STARVATION HEIGHTS;by Gregg Olsen;,YES PLEASE;by Amy Poehler;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,THE ANDY COHEN DIARIES;by Andy Cohen;,THERE WAS A LITTLE GIRL;by Brooke Shields;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,WHAT IF?;by Randall Munroe;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;15 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;34 weeks on the list,THE ALCHEMIST;by Paulo Coelho;336 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;45 weeks on the list,41;by George W. Bush;7 weeks on the list,WILD;by Cheryl Strayed;92 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;59 weeks on the list,MONEY: MASTER THE GAME;by Tony Robbins;6 weeks on the list,HERE;by Richard McGuire;3 weeks on the list,SISTERS;by Raina Telgemeier;19 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;81 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;79 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;303 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,THE INNOVATORS;by Walter Isaacson;,THE ANDY COHEN DIARIES;by Andy Cohen;,STARVATION HEIGHTS;by Gregg Olsen;,THE BEATLES LYRICS;by Hunter Davies;,"WITHOUT YOU, THERE IS NO US;by Suki Kim;",ALAN TURING: THE ENIGMA;by Andrew Hodges;,IN THE KINGDOM OF ICE;by Hampton Sides;,THE WOMAN I WANTED TO BE;by Diane Von Furstenberg;,THUG KITCHEN;by the staff of Thug Kitchen;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",SOUL MIND BODY SCIENCE SYSTEM;by Zhi Gang Sha and Rulin Xiu;,THE ANDY COHEN DIARIES;by Andy Cohen;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,THE NEW JIM CROW;by Michelle Alexander;,SMALL VICTORIES;by Anne Lamott;,BEING MORTAL;by Atul Gawande;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,GRAY MOUNTAIN;by John Grisham;10 weeks on the list,HOPE TO DIE;by James Patterson;5 weeks on the list,THE MARTIAN;by Andy Weir;9 weeks on the list,,,WILD;by Cheryl Strayed;93 weeks on the list,YES PLEASE;by Amy Poehler;9 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;60 weeks on the list,WILD;by Cheryl Strayed;124 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;12 weeks on the list,SECONDS;by Bryan Lee O'Malley;24 weeks on the list,SMILE;by Raina Telgemeier;133 weeks on the list,"SWORD ART ONLINE: FAIRY DANCE, VOL. 2;by Reki Kawahara and Tsubasa Haduki;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;59 weeks on the list,DIVERGENT;by Veronica Roth;62 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,OUTLIERS;by Malcolm Gladwell;,NOT THAT KIND OF GIRL;by Lena Dunham;,THE SEARCH FOR ANNE PERRY;by Joanne Drayton;,HOW WE GOT TO NOW;by Steven Johnson;,F IN EXAMS;by Richard Benson;,A SPY AMONG FRIENDS;by Ben Macintyre;,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;",HOW TO TIE A SCARF;by the staff of Potter Style;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,ESSENTIAL OILS FOR BEGINNERS;by the staff of Althea Press;,NOT THAT KIND OF GIRL;by Lena Dunham;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,41;by George W. Bush;,JUST MERCY;by Bryan Stevenson;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE INNOVATORS;by Walter Isaacson;,YOU CAN'T MAKE THIS UP;by Al Michaels with L. Jon Wertheim;,PREPARE FOR ANYTHING (Outdoor Life);by Tim MacWelch;
4,HOPE TO DIE;by James Patterson;5 weeks on the list,REVIVAL;by Stephen King;7 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;71 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;14 weeks on the list,WHAT IF?;by Randall Munroe;17 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;31 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;49 weeks on the list,"THE WORLD OF ICE AND FIRE;by George R. R. Martin, Elio M. García Jr. and Linda Antonsson;9 weeks on the list",THE BEST AMERICAN COMICS 2014;by Scott McCloud and others;11 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;145 weeks on the list","NARUTO, VOL. 68;by Masashi Kishimoto;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;172 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;85 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,GOOD DOG;by the editors of Garden and Gun Magazine;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",JETER UNFILTERED;by Derek Jeter with Anthony Bozza;,DOC;by Jack Olsen;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,LETTERS OF NOTE;compiled by Shaun Usher;,WORTHY FIGHTS;by Leon Panetta with Jim Newton;,THE WILD TRUTH;by Carine McCandless;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",PLENTY MORE;by Yotam Ottolenghi;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",THE SOUND OF A WILD SNAIL EATING;by Elisabeth Tova Bailey;,AS YOU WISH;by Cary Elwes with Joe Layden;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,GRACE'S GUIDE;by Grace Helbig;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,CITIZEN;by Claudia Rankine;,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;",IN THE KINGDOM OF ICE;by Hampton Sides;,JETER UNFILTERED;by Derek Jeter with Anthony Bozza;,LOST IN TRANSLATION;by Ella Frances Sanders;
5,THE ESCAPE;by David Baldacci;6 weeks on the list,THE ESCAPE;by David Baldacci;6 weeks on the list,DARK PLACES;by Gillian Flynn;74 weeks on the list,,,YES PLEASE;by Amy Poehler;9 weeks on the list,UNBROKEN;by Laura Hillenbrand;188 weeks on the list,A BRIEF HISTORY OF TIME;by Stephen Hawking;5 weeks on the list,YES PLEASE;by Amy Poehler;9 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;9 weeks on the list,THE GIGANTIC BEARD THAT WAS EVIL;by Stephen Collins;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;74 weeks on the list","ASSASSINATION CLASSROOM, VOL. 1;by Yusei Matsui;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;49 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;9 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;,THE POWER OF HABIT;by Charles Duhigg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,JUST MERCY;by Bryan Stevenson;,THE WES ANDERSON COLLECTION;by Matt Zoller Seitz;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,THE GOOD SPY;by Kai Bird;,INTO THE WILD;by Jon Krakauer;,MAKE UP;by Michelle Phan;,FOOD;by Jim Gaffigan;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,ON IMMUNITY;by Eula Biss;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,IN GERONIMO'S FOOTSTEPS;by Corine Sombrun and Harlyn Geronimo;,BAD FEMINIST;by Roxane Gay;,DARTH VADER AND SON;by Jeffrey Brown;,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;,STRONG INSIDE;by Andrew Maraniss;,THE 13TH GIFT;by Joanne Huist Smith;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,THE KEEPER;by Tim Howard with Ali Benjamin;,THE HUNTING AND GATHERING SURVIVAL MANUAL;by Tim MacWelch;
6,BIG LITTLE LIES;by Liane Moriarty;16 weeks on the list,TOM CLANCY FULL FORCE AND EFFECT;by Mark Greaney;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;135 weeks on the list,,,41;by George W. Bush;7 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;26 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;73 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;14 weeks on the list,WHAT I KNOW FOR SURE;by Oprah Winfrey;12 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;23 weeks on the list,"THE WALKING DEAD, VOL. 22;by Robert Kirkman and Charlie Adlard;7 weeks on the list",UNOFFICIAL HATSUNE MIX;by KEI;3 weeks on the list,WONDER;by R.J. Palacio;295 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;169 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;218 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,A STREET CAT NAMED BOB;by James Bowen;,ZERO TO ONE;by Peter Thiel with Blake Masters;,SO ANYWAY . . .;by John Cleese;,ORANGE IS THE NEW BLACK;by Piper Kerman;,BOOM!;by Tom Brokaw;,WHAT WE SEE WHEN WE READ;by Peter Mendelsund;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",ADRIFT;by Steven Callahan;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,DR. MUTTER'S MARVELS;by Cristin O'Keefe Aptowicz;,SO ANYWAY . . .;by John Cleese;,NATION TO NATION;edited by Suzan Shown Harjo;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,YOU HAVE TO F*****G EAT;by Adam Mansbach. Illustrated by Owen Brozman;,THINGS THAT MATTER;by Charles Krauthammer;,MAYOR FOR LIFE;by Marion Barry Jr. and Omar Tyree;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,QUIET;by Susan Cain;,SPORTS ILLUSTRATED NFL QUARTERBACK;by the editors of Sports Illustrated;,POCKET ATLAS OF REMOTE ISLANDS;by Judith Schalansky;
7,REVIVAL;by Stephen King;7 weeks on the list,LEAVING TIME;by Jodi Picoult;11 weeks on the list,SHARP OBJECTS;by Gillian Flynn;37 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;32 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;13 weeks on the list,OUTLIERS;by Malcolm Gladwell;183 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;23 weeks on the list,PLENTY MORE;by Yotam Ottolenghi;6 weeks on the list,ROBERT MOSES: THE MASTER BUILDER OF NEW YORK CITY;by Pierre Christin and Olivier Balez;New this week,DRAMA;by Raina Telgemeier;76 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;43 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;118 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,UNDERWATER PUPPIES;by Seth Casteel;,HOW WE GOT TO NOW;by Steven Johnson;,THERE WAS A LITTLE GIRL;by Brooke Shields;,FOXCATCHER;by Mark Schultz with David Thomas;,LETTERS OF NOTE;compiled by Shaun Usher;,THE BEST AMERICAN INFOGRAPHICS 2014;by Gareth Cook;,SPYMISTRESS;by William Stevenson;,ASTORIA;by Peter Stark;,A YEAR IN THE LIFE OF DOWNTON ABBEY;by Jessica Fellowes;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE CHECKLIST MANIFESTO;by Atul Gawande;,FOOD;by Jim Gaffigan;,CODE TALKER;by Chester Nez with Judith Schiess Avila;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,VADER'S LITTLE PRINCESS;by Jeffrey Brown;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,TWELVE YEARS A SLAVE;by Solomon Northup;,PRAYER;by Timothy Keller;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,LONELY PLANET'S BEST IN TRAVEL 2015;by editors at Lonely Planet;
8,THE BURNING ROOM;by Michael Connelly;8 weeks on the list,REDEPLOYMENT;by Phil Klay;3 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;33 weeks on the list,,,WHAT IF?;by Randall Munroe;14 weeks on the list,BEING MORTAL;by Atul Gawande;12 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;6 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;9 weeks on the list,"YOU CAN, YOU WILL;by Joel Osteen;9 weeks on the list","THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;115 weeks on the list","AMULET, VOL. 6;by Kazu Kibuishi;17 weeks on the list","HE'S MY ONLY VAMPIRE, VOL. 1;by Aya Shouoto;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;30 weeks on the list,THE SELECTION;by Kiera Cass;20 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,FLASH BOYS;by Michael Lewis;,NEIL PATRICK HARRIS: CHOOSE YOUR OWN AUTOBIOGRAPHY;by Neil Patrick Harris with David Javerbaum;,PRACTICE TO DECEIVE;by Ann Rule;,BAD FEMINIST;by Roxane Gay;,"1,339 QUITE INTERESTING FACTS TO MAKE YOUR JAW DROP;by John Lloyd, John Mitchinson and James Harkin;",OPERATION PAPERCLIP;by Annie Jacobsen;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,BETTER THAN BEAUTY;by Helen Valentine and Alice Thompson;,THE BULLETPROOF DIET;by Dave Asprey;,HACKS FOR MINECRAFTERS;by Megan Miller;,EBOLA;by David Quammen;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,SONG OF DEWEY BEARD;by Philip Burnham;,THE EMPATHY EXAMS;by Leslie Jamison;,THE DEATH OF SANTINI;by Pat Conroy;,NO HERO;by Mark Owen with Kevin Maurer;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,UNWRAPPING THE GREATEST GIFT;by Ann Voskamp;,THE POWER OF HABIT;by Charles Duhigg;,THE GOLF BOOK;by Chris Millard;,WALKING HOME;by Sonia Choquette;
9,TOM CLANCY FULL FORCE AND EFFECT;by Mark Greaney;4 weeks on the list,THE BURNING ROOM;by Michael Connelly;8 weeks on the list,THE STORIED LIFE OF A. J. FIKRY;by Gabrielle Zevin;3 weeks on the list,,,NOT THAT KIND OF GIRL;by Lena Dunham;13 weeks on the list,AS YOU WISH;by Cary Elwes with Joe Layden;10 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;New this week,THE ANDY COHEN DIARIES;by Andy Cohen;5 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;8 weeks on the list,"SAGA: DELUXE EDITION, VOL. 1;by Brian K. Vaughan and Fiona Staples;5 weeks on the list","AMULET, VOL. 1;by Kazu Kibuishi;6 weeks on the list","SPICE AND WOLF, VOL. 10;by Isuna Hasekura and Keito Koume;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,ONCE UPON AN ALPHABET;by Oliver Jeffers;6 weeks on the list,GIVER QUARTET;by Lois Lowry;70 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,TOP DOG;by Maria Goodavage;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,BOSSYPANTS;by Tina Fey;,EMPIRE OF SIN;by Gary Krist;,"HISTORY OF THE WORLD IN 1,000 OBJECTS;by editors of Dorling Kindersley;",THE PROMISE OF A PENCIL;by Adam Braun with Carlye Adler;,WASHINGTON'S SPIES;by Alexander Rose;,THE RIVER OF DOUBT;by Candice Millard;,VOGUE AND THE METROPOLITAN MUSEUM OF ART COSTUME INSTITUTE;by Hamish Bowles;,PLENTY;by Yotam Ottolenghi;,MONSTER MANUAL;by Wizards RPG Team;,THE HOT ZONE;by Richard Preston;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,AN INFINITY OF NATIONS;by Michael Witgen;,CITIZEN;by Claudia Rankine;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,DEAR WHITE PEOPLE;by Justin Simien. Illustrated by Ian O'Phelan;,LIVE ORIGINAL;by Sadie Robertson with Beth Clark;,HOW WE GOT TO NOW;by Steven Johnson;,SPORTS ILLUSTRATED FOOTBALL'S GREATEST;by the editors of Sports Illustrated;,NATIONAL GEOGRAPHIC STUNNING PHOTOGRAPHS;by Annie Griffiths;
10,THE MARTIAN;by Andy Weir;2 weeks on the list,FLESH AND BLOOD;by Patricia Cornwell;7 weeks on the list,THE STRANGE LIBRARY;by Haruki Murakami;4 weeks on the list,,,BEING MORTAL;by Atul Gawande;12 weeks on the list,THE INNOVATORS;by Walter Isaacson;11 weeks on the list,BOSSYPANTS;by Tina Fey;119 weeks on the list,THE 13TH GIFT;by Joanne Huist Smith;2 weeks on the list,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;9 weeks on the list,SUPERMAN UNCHAINED: DELUXE EDITION;by Scott Snyder and Jim Lee;2 weeks on the list,EL DEAFO;by Cece Bell;12 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;17 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MIX IT UP!;by Hervé Tullet;12 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;161 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,A DOG NAMED LEAF;by Allen Anderson with Linda Anderson;,THIS CHANGES EVERYTHING;by Naomi Klein;,UNIVERSAL TONE;by Carlos Santana and Ashley Kahn;,MY BELOVED WORLD;by Sonia Sotomayor;,WHEN BOOKS WENT TO WAR;by Molly Guptill Manning;,THE ORGANIZED MIND;by Daniel J. Levitin;,GOOD HUNTING;by Jack Devine with Vernon Loeb;,LAST TRAIN TO PARADISE;by Les Standiford;,MADEMOISELLE;by Rhonda K. Garelick;,MEXICO: THE COOKBOOK;by Margarita Carrillo Arronte;,GUINNESS WORLD RECORDS 2015 GAMER'S EDITION;by the Guinness World Records editors;,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;,BOSSYPANTS;by Tina Fey;,VOICES OF THE WINDS;by Margot Edmonds and Ella E. Clark;,ASSHOLES;by Aaron James;,THE WILD TRUTH;by Carine McCandless;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE OTHER WES MOORE;by Wes Moore;,RAINBOW IN THE CLOUD;by Maya Angelou;,UNDENIABLE;by Bill Nye;,MR. HOCKEY;by Gordie Howe;,AMERICA'S GREAT HIKING TRAILS;by Karen Berger; photography by Bart Smith;
