,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,FRICTION;by Sandra Brown;New this week,GO SET A WATCHMAN;by Harper Lee;6 weeks on the list,THE MARTIAN;by Andy Weir;43 weeks on the list,,,IT IS ABOUT ISLAM;by Glenn Beck;New this week,PLUNDER AND DECEIT;by Mark R. Levin;3 weeks on the list,IT IS ABOUT ISLAM;by Glenn Beck;New this week,IT IS ABOUT ISLAM;by Glenn Beck;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;43 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;167 weeks on the list,"HAWKEYE, VOL. 4;by Matt Fraction, David Aja and Francesco Francavilla;New this week","TOKYO GHOUL, VOL. 2;by Sui Ishida;New this week",WONDER;by R.J. Palacio;2 weeks on the list,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;New this week,MAX;by Boaz Yakin and Sheldon Lettich;2 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;New this week,THE MAZE RUNNER;by James Dashner;150 weeks on the list,PAPER TOWNS;by John Green;2 weeks on the list,RED QUEEN;by Victoria Aveyard;2 weeks on the list,PAPER TOWNS;by John Green;2 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,OUTLIERS;by Malcolm Gladwell;,DOWN THE RABBIT HOLE;by Holly Madison;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,SECRET GARDEN;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,PLUNDER AND DECEIT;by Mark R. Levin;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,IT IS ABOUT ISLAM;by Glenn Beck;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,WILD;by Cheryl Strayed;
2,THE GIRL ON THE TRAIN;by Paula Hawkins;32 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;32 weeks on the list,GREY;by E. L. James;10 weeks on the list,,,PLUNDER AND DECEIT;by Mark R. Levin;3 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;6 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;65 weeks on the list,ETCHED IN SAND;by Regina Calcaterra;17 weeks on the list,FOR THE LOVE;by Jen Hatmaker;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;68 weeks on the list,FUN HOME;by Alison Bechdel;36 weeks on the list,"IS IT WRONG TO TRY TO PICK UP GIRLS IN A DUNGEON?, VOL. 3;by Fujino Omori and Suzuhito Yasuda;New this week",THE ISLE OF THE LOST;by Melissa de la Cruz;New this week,THE ISLE OF THE LOST;by Melissa de la Cruz;New this week,A LONG WALK TO WATER;by Linda Sue Park;2 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;4 weeks on the list,GIVER QUARTET;by Lois Lowry;91 weeks on the list,OFF THE PAGE;by Jodi Picoult and Samantha van Leer;New this week,ELEANOR AND PARK;by Rainbow Rowell;2 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;2 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,JUST MERCY;by Bryan Stevenson;,BAD FEMINIST;by Roxane Gay;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,DEAD WAKE;by Erik Larson;,THE FRENCH BEAUTY SOLUTION;by Mathilde Thomas;,THUG KITCHEN;by the staff of Thug Kitchen;,ENCHANTED FOREST;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,SELP-HELF;by Miranda Sings;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,FOR THE LOVE;by Jen Hatmaker;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,A WALK IN THE WOODS;by Bill Bryson;
3,THE MARTIAN;by Andy Weir;13 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;68 weeks on the list,GRAY MOUNTAIN;by John Grisham;New this week,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;6 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;16 weeks on the list,A WALK IN THE WOODS;by Bill Bryson;95 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;83 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;117 weeks on the list,BABA YAGA’S ASSISTANT;by Marika McCoola and Emily Carroll;2 weeks on the list,DRAMA;by Raina Telgemeier;108 weeks on the list,"MONSTER MUSUME, VOL. 7;by Okayado;2 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;2 weeks on the list,WONDER;by R.J. Palacio;2 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;2 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;113 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;337 weeks on the list,WHERE SHE WENT;by Gayle Forman;New this week,WE ALL LOOKED UP;by Tommy Wallach;2 weeks on the list,LOOKING FOR ALASKA;by John Green;2 weeks on the list,BEYOND WORDS;by Carl Safina;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE LAST LOVE SONG;by Tracy Daugherty;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,THE RESIDENCE;by Kate Andersen Brower;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,BLACKOUT;by Sarah Hepola;,YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,BORN TO RUN;by Christopher McDougall;,DARING GREATLY;by Brené Brown;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,IT IS ABOUT ISLAM;by Glenn Beck;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE OREGON TRAIL;by Rinker Buck;
4,GO SET A WATCHMAN;by Harper Lee;6 weeks on the list,FRICTION;by Sandra Brown;New this week,BIG LITTLE LIES;by Liane Moriarty;2 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;66 weeks on the list,BEING MORTAL;by Atul Gawande;46 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;297 weeks on the list,DEAD WAKE;by Erik Larson;24 weeks on the list,SELP-HELF;by Miranda Sings;5 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;18 weeks on the list,SMILE;by Raina Telgemeier;167 weeks on the list,"NARUTO, VOL. 71;by Masashi Kishimoto;3 weeks on the list",THE FINISHER;by David Baldacci;2 weeks on the list,AUGGIE & ME;by R.J. Palacio;New this week,COUNTING BY 7s;by Holly Goldberg Sloan;2 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;47 weeks on the list,TALES FROM THE SHADOWHUNTER ACADEMY;by Cassandra Clare and others;5 weeks on the list,ASYLUM;by Madeleine Roux;New this week,P. S. I STILL LOVE YOU;by Jenny Han;2 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;2 weeks on the list,TELL ME WHERE IT HURTS;by Nick Trout;,ELON MUSK;by Ashlee Vance;,SICK IN THE HEAD;by Judd Apatow;,ORANGE IS THE NEW BLACK;by Piper Kerman;,MARK TWAIN: MAN IN WHITE;by Michael Shelden;,"EVERYTHING'S AN ARGUMENT;by Andrea A. Lunsford, John J. Ruszkiewicz and Keith Walters;",OUR MAN IN CHARLESTON;by Christopher Dickey;,BARBARIAN DAYS;by William Finnegan;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,THE BLUE ZONES SOLUTION;by Dan Buettner;,SICK IN THE HEAD;by Judd Apatow;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,JESUS CALLING;by Sarah Young;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,BARBARIAN DAYS;by William Finnegan;
5,SMALL WARS;by Lee Child;New this week,ALERT;by James Patterson and Michael Ledwidge;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;368 weeks on the list,,,THE DEVIL IN THE WHITE CITY;by Erik Larson;9 weeks on the list,YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;2 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;12 weeks on the list,DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;New this week,DESTINY;by T. D. Jakes;3 weeks on the list,IN SEARCH OF LOST TIME: SWANN'S WAY;by Marcel Proust. Adapted and illustrated by Stéphane Heuet. Translated by Arthur Goldhammer;7 weeks on the list,PERSEPOLIS;by Marjane Satrapi;55 weeks on the list,"CITRUS, VOL. 3;by Saburouta;New this week",HITLER'S LAST DAYS;by Bill O'Reilly;2 weeks on the list,MAL'S SPELL BOOK;;New this week,OUT OF MY MIND;by Sharon M. Draper;2 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;83 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;371 weeks on the list,LOOKING FOR ALASKA;by John Green;2 weeks on the list,FANGIRL;by Rainbow Rowell;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;2 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,A SPY AMONG FRIENDS;by Ben Macintyre;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,HOW TO TIE A SCARF;by the staff of Potter Style;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MONSTER MANUAL;by Wizards RPG Team;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,BOSSYPANTS;by Tina Fey;,INDEPENDENCE LOST;by Kathleen DuVal;,H IS FOR HAWK;by Helen Macdonald;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE ROAD TO CHARACTER;by David Brooks;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,YES!;by Daniel Bryan and Craig Tello;,NINE LIVES;by Dan Baum;
6,THE MURDERER'S DAUGHTER;by Jonathan Kellerman;New this week,CIRCLING THE SUN;by Paula McLain;4 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;12 weeks on the list,,,DEAD WAKE;by Erik Larson;24 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;10 weeks on the list,OUTLIERS;by Malcolm Gladwell;201 weeks on the list,AUSCHWITZ;by Miklos Nyiszli;36 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;18 weeks on the list,HERE;by Richard McGuire;27 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;4 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;10 weeks on the list",,DESCENDANTS;adapted by Rico Green;New this week,THE FINISHER;by David Baldacci;2 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;203 weeks on the list",HARRY POTTER;by J.K. Rowling;335 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;2 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;2 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,BRINGING ADAM HOME;by Les Standiford with Joe Matthews;,THE LIVES OF THE MUSES;by Francine Prose;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE STORM OF THE CENTURY;by Al Roker;,RED;by Jacky Colliss Harvey;,THE BLUE ZONES SOLUTION;by Dan Buettner;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,YES PLEASE;by Amy Poehler;,,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,DESTINY;by T. D. Jakes;,ELON MUSK;by Ashlee Vance;,SABAN;by Monte Burke;,THE LOST ART OF READING NATURE'S SIGNS;by Tristan Gooley;
7,GRAY MOUNTAIN;by John Grisham;17 weeks on the list,THE MURDERER'S DAUGHTER;by Jonathan Kellerman;New this week,DARK PLACES;by Gillian Flynn;94 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;16 weeks on the list,DEAD WAKE;by Erik Larson;24 weeks on the list,JUST MERCY;by Bryan Stevenson;New this week,MY LOBOTOMY;by Howard Dully and Charles Fleming;New this week,BRAIN MAKER;by David Perlmutter with Kristin Loberg;13 weeks on the list,THE SCULPTOR;by Scott McCloud;25 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;16 weeks on the list,FOOD WARS! VOL. 7;by Yuto Tsukuda and Shun Saeki;2 weeks on the list,,MAL'S DIARY;;New this week,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;2 weeks on the list,PRESS HERE;by Hervé Tullet;206 weeks on the list,DIVERGENT;by Veronica Roth;96 weeks on the list,,SAINT ANYTHING;by Sarah Dessen;2 weeks on the list,THE FAULT IN OUR STARS;by John Green;2 weeks on the list,WAR OF THE WHALES;by Joshua Horwitz;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,TINSELTOWN;by William J. Mann;,DYLAN GOES ELECTRIC!;by Elijah Wald;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,THE GOOD SPY;by Kai Bird;,ASTORIA;by Peter Stark;,AUDREY AT HOME;by Luca Dotti;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,EAT TO LIVE;by Joel Fuhrman;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,CITIZEN;by Claudia Rankine;,H IS FOR HAWK;by Helen Macdonald;,THE NEW JIM CROW;by Michelle Alexander;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,THE POWER OF NOW;by Eckhart Tolle;,DAVID AND GOLIATH;by Malcolm Gladwell;,FRIDAY NIGHT LIGHTS;by H. G. Bissinger;,PIRATE HUNTERS;by Robert Kurson;
8,GREY;by E. L. James;10 weeks on the list,WHO DO YOU LOVE;by Jennifer Weiner;2 weeks on the list,READY PLAYER ONE;by Ernest Cline;9 weeks on the list,,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;10 weeks on the list,A FULL LIFE;by Jimmy Carter;6 weeks on the list,THE OTHER WES MOORE;by Wes Moore;37 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;39 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;95 weeks on the list,NOT FUNNY HA–HA: A Handbook for Something Hard;by Leah Hayes;New this week,SISTERS;by Raina Telgemeier;53 weeks on the list,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;3 weeks on the list",,HITLER'S LAST DAYS;by Bill O'Reilly;2 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;2 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;38 weeks on the list,DORK DIARIES;by Rachel Renée Russell;136 weeks on the list,,THE INFINITE SEA;by Rick Yancey;2 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;2 weeks on the list,THE SECOND-CHANCE DOG;by Jon Katz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,A WORK IN PROGRESS;by Connor Franta;,LYING IN WAIT;by Ann Rule;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,THE GIFT OF FAILURE;by Jessica Lahey;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",IN THE KINGDOM OF ICE;by Hampton Sides;,THE REASON FOR FLOWERS;by Stephen Buchmann;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE HORMONE RESET DIET;by Sara Gottfried;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,PRIMATES OF PARK AVENUE;by Wednesday Martin;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,BOUNDARIES;by Henry Cloud and John Townsend;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,THE BEST TEAM MONEY CAN BUY;by Molly Knight;,THE HUNTING AND GATHERING SURVIVAL MANUAL;by Tim MacWelch;
9,ALERT;by James Patterson and Michael Ledwidge;3 weeks on the list,SILVER LININGS;by Debbie Macomber;2 weeks on the list,THE GOLDFINCH;by Donna Tartt;20 weeks on the list,,,A WALK IN THE WOODS;by Bill Bryson;New this week,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;373 weeks on the list,"SEEKING ALLAH, FINDING JESUS;by Nabeel Qureshi;New this week",THE GIFTS OF IMPERFECTION;by Brené Brown;56 weeks on the list,SECONDS;by Bryan Lee O'Malley;53 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;55 weeks on the list","ONE PIECE, VOL. 75;by Eiichiro Oda;3 weeks on the list",,FISH IN A TREE;by Lynda Mullaly Hunt;2 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;2 weeks on the list,"IF YOU EVER WANT TO BRING AN ALLIGATOR TO SCHOOL, DONT!;by Elise Parsley;New this week",THE SCHOOL FOR GOOD AND EVIL;by Soman Chainani;3 weeks on the list,,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;New this week,THE 5TH WAVE;by Rick Yancey;2 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,"TEAM OF TEAMS;by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell;",DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,MISSOULA;by Jon Krakauer;,ON WRITING;by Stephen King;,THANK YOU FOR ARGUING;by Jay Heinrichs;,RED NOTICE;by Bill Browder;,SHADOW DIVERS;by Robert Kurson;,MADEMOISELLE;by Rhonda K. Garelick;,GOOD AND CHEAP;by Leanne Brown;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",AGING BACKWARDS;by Miranda Esmonde-White;,DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,,BAD FEMINIST;by Roxane Gay;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE BILLION DOLLAR SPY;by David E. Hoffman;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,VOICES IN THE OCEAN;by Susan Casey;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",UGANDA BE KIDDING ME;by Chelsea Handler;
10,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;49 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;29 weeks on the list,STATION ELEVEN;by Emily St. John Mandel;11 weeks on the list,,,ETCHED IN SAND;by Regina Calcaterra;4 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;19 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;99 weeks on the list,SISTER QUEENS;by Julia Fox;3 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;42 weeks on the list,THE ESSENTIAL DYKES TO WATCH OUT FOR;by Alison Bechdel;New this week,AMERICAN BORN CHINESE;by Gene Luen Yang;New this week,"JOJO'S BIZARRE ADVENTURE: PHANTOM BLOOD, VOL. 3;by Hirohiko Araki;3 weeks on the list",,BROWN GIRL DREAMING;by Jacqueline Woodson;2 weeks on the list,MINIONS: THE JUNIOR NOVEL;;New this week,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;63 weeks on the list",THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;11 weeks on the list,,SUICIDE NOTES FROM BEAUTIFUL GIRLS;by Lynn Weingarten;New this week,HOLLOW CITY;by Ransom Riggs;2 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THIS CHANGES EVERYTHING;by Naomi Klein;,IT'S A LONG STORY;by Willie Nelson with David Ritz;,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;,HOLD STILL;by Sally Mann;,BRAINSTORM;by Daniel J. Siegel;,OPERATION PAPERCLIP;by Annie Jacobsen;,PIRATE HUNTERS;by Robert Kurson;,MY PARIS DREAM;by Kate Betts;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",GUT;by Giulia Enders. Illustrations by Jill Enders;,HYPERBOLE AND A HALF;by Allie Brosh;,,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,THE GIFT OF FAILURE;by Jessica Lahey;,A FULL LIFE;by Jimmy Carter;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,THE GRATITUDE DIARIES;by Janice Kaplan;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;",THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
