,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,TRULY MADLY GUILTY;by Liane Moriarty;New this week,TRULY MADLY GUILTY;by Liane Moriarty;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;3 weeks on the list,,,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;5 weeks on the list,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;5 weeks on the list,IT GETS WORSE;by Shane Dawson;2 weeks on the list,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;5 weeks on the list,YOU ARE A BADASS;by Jen Sincero;29 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;215 weeks on the list,"SAGA, VOL. 6;by Fiona Staples and Brian K. Vaughan;4 weeks on the list","TOKYO GHOUL, VOL. 1;by Sui Ishida;56 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;13 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;New this week,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;4 weeks on the list,THE THANK YOU BOOK;by Mo Willems;13 weeks on the list,HARRY POTTER;by J.K. Rowling;384 weeks on the list,BROKEN PRINCE;by Erin Watt;New this week,GLASS SWORD;by Victoria Aveyard;25 weeks on the list,THE BOOK THIEF;by Markus Zusak;51 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,GRIT;by Angela Duckworth;,BOSSYPANTS;by Tina Fey;,JUST MERCY;by Bryan Stevenson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,100 DEADLY SKILLS;by Clint Emerson;,INTO THE WILD;by Jon Krakauer;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,HARRY POTTER COLORING BOOK;by various illustrators;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,IT GETS WORSE;by Shane Dawson;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,THE OREGON TRAIL;by Rinker Buck;
2,THE GIRL ON THE TRAIN;by Paula Hawkins;75 weeks on the list,THE BLACK WIDOW;by Daniel Silva;3 weeks on the list,AFTER YOU;by Jojo Moyes;2 weeks on the list,,,HILLARY'S AMERICA;by Dinesh D'Souza;2 weeks on the list,HILLARY'S AMERICA;by Dinesh D'Souza;2 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;42 weeks on the list,ARMAGEDDON;by Dick Morris and Eileen McGann;2 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;92 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;5 weeks on the list,"MONSTRESS, VOL. 1;by Marjorie Liu and Sana Takeda;2 weeks on the list","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;48 weeks on the list",INSIDE OUT AND BACK AGAIN;by Thanhha Lai;4 weeks on the list,RETURN TO THE ISLE OF THE LOST;by Melissa de la Cruz;10 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;48 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;5 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;45 weeks on the list,PAPER PRINCESS;by Erin Watt;14 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;21 weeks on the list,NERVE;by Jeanne Ryan;3 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,OUTLIERS;by Malcolm Gladwell;,YOU'LL GROW OUT OF IT;by Jessi Klein;,THE WAR ON COPS;by Heather Mac Donald;,TRIBE;by Sebastian Junger;,GRIT;by Angela Duckworth;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE WRIGHT BROTHERS;by David McCullough;,THE CURSE OF BEAUTY;by James Bone;,THUG KITCHEN;by the staff of Thug Kitchen;,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK;by various illustrators;,BEING MORTAL;by Atul Gawande;,BOSSYPANTS;by Tina Fey;,TRIBE;by Sebastian Junger;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS;by David Fisher;,JUST MERCY;by Bryan Stevenson;,THE POWER OF NOW;by Eckhart Tolle;,BEING MORTAL;by Atul Gawande;,SHOE DOG;by Phil Knight;,BARBARIAN DAYS;by William Finnegan;
3,THE BLACK WIDOW;by Daniel Silva;3 weeks on the list,THE GIRLS;by Emma Cline;7 weeks on the list,ME BEFORE YOU;by Jojo Moyes;86 weeks on the list,,,ARMAGEDDON;by Dick Morris and Eileen McGann;2 weeks on the list,ARMAGEDDON;by Dick Morris and Eileen McGann;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;114 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;164 weeks on the list,"DC COMICS: SECRET HERO SOCIETY, VOL. 1;by Derek Fridolfs and Dustin Nguyen;27 weeks on the list",PERSEPOLIS;by Marjane Satrapi;71 weeks on the list,"HAIKYU!!, VOL. 1;by Haruichi Furudate;4 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;18 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;13 weeks on the list,THE BFG;by Roald Dahl. Illustrated by Quentin Blake;8 weeks on the list,ARE WE THERE YET?;by Dan Santat;4 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;17 weeks on the list,RED QUEEN;by Victoria Aveyard;17 weeks on the list,ELEANOR AND PARK;by Rainbow Rowell;38 weeks on the list,RED QUEEN;by Victoria Aveyard;8 weeks on the list,DOG MEDICINE;by Julie Barton;,SHOE DOG;by Phil Knight;,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,BUT WHAT IF WE'RE WRONG?;by Chuck Klosterman;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE INFILTRATOR;by Robert Mazur;,DEAD WAKE;by Erik Larson;,PRETTY HAPPY;by Kate Hudson;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK;illustrated by Marjorie Sarnat;,THE GENE;by Siddhartha Mukherjee;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE NEW JIM CROW;by Michelle Alexander;,BOUNDARIES;by Henry Cloud and John Townsend;,GRUNT;by Mary Roach;,HOUSE OF NAILS;by Lenny Dykstra;,NOT WITHOUT MY FATHER;by Andra Watkins;
4,ILLUSION TOWN;by Jayne Castle;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;2 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;31 weeks on the list,,,IT GETS WORSE;by Shane Dawson;2 weeks on the list,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;16 weeks on the list,OUTLIERS;by Malcolm Gladwell;220 weeks on the list,HILLARY'S AMERICA;by Dinesh D'Souza;2 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;51 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;17 weeks on the list,DRAMA;by Raina Telgemeier;157 weeks on the list,"AKAME GA KILL!, VOL. 7;by Takahiro and Tetsuya Tashiro;New this week",RETURN TO THE ISLE OF THE LOST;by Melissa de la Cruz;10 weeks on the list,WONDER;by R.J. Palacio;51 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;51 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;128 weeks on the list,STAR WARS: JEDI ACADEMY;by Jeffrey Brown and Jarrett J. Krosoczka;5 weeks on the list,A COURT OF THORNS AND ROSES;by Sarah J. Maas;7 weeks on the list,A COURT OF MIST AND FURY;by Sarah J. Maas;13 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;44 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,CHAOS MONKEYS;by Antonio García Martínez;,SICK IN THE HEAD;by Judd Apatow;,A STOLEN LIFE;by Jaycee Dugard;,SEINFELDIA;by Jennifer Keishin Armstrong;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BILLION DOLLAR SPY;by David E. Hoffman;,THE OREGON TRAIL;by Rinker Buck;,THE SUBSTANCE OF STYLE;by Virginia Postrel;,REAL FOOD/FAKE FOOD;by Larry Olmsted;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,YOU'LL GROW OUT OF IT;by Jessi Klein;,YOU'LL GROW OUT OF IT;by Jessi Klein;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,HILLARY'S AMERICA;by Dinesh D'Souza;,THE WAR ON COPS;by Heather Mac Donald;,FERVENT;by Priscilla Shirer;,THE GENE;by Siddhartha Mukherjee;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
5,ME BEFORE YOU;by Jojo Moyes;26 weeks on the list,FIRST COMES LOVE;by Emily Giffin;5 weeks on the list,MILK AND HONEY;by Rupi Kaur;16 weeks on the list,,,ALEXANDER HAMILTON;by Ron Chernow;31 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;29 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;7 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;29 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;49 weeks on the list,COUSIN JOSEPH;by Jules Feiffer;New this week,SMILE;by Raina Telgemeier;216 weeks on the list,"PRISON SCHOOL, VOL. 4;by Akira Hiramoto;New this week",THE BFG;by Roald Dahl. Illustrated by Quentin Blake;8 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;New this week,STORY THIEVES;by James Riley;15 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;96 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;385 weeks on the list,COURT OF FIVES;by Kate Elliott;New this week,THIS IS WHERE IT ENDS;by Marieke Nijkamp;21 weeks on the list,LOOKING FOR ALASKA;by John Green;51 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,THE POWER OF HABIT;by Charles Duhigg;,MY LUCKY LIFE IN AND OUT OF SHOW BUSINESS;by Dick Van Dyke;,MANHUNT;by James L. Swanson;,SAPIENS;by Yuval Noah Harari;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,THE WINTER FORTRESS;by Neal Bascomb;,BARBARIAN DAYS;by William Finnegan;,THE RESIDENCE;by Kate Andersen Brower;,THE 20/20 DIET;by Phil McGraw;,LOST OCEAN;illustrated by Johanna Basford;,"EAT FAT, GET THIN;by Mark Hyman;",SEINFELDIA;by Jennifer Keishin Armstrong;,DARING GREATLY;by Brené Brown;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,ARMAGEDDON;by Dick Morris and Eileen McGann;,THE OTHER WES MOORE;by Wes Moore;,THE UNTETHERED SOUL;by Michael A. Singer;,THE WRIGHT BROTHERS;by David McCullough;,BARBARIAN DAYS;by William Finnegan;,EVERY FRENCHMAN HAS ONE;by Olivia De Havilland;
6,ROGUE LAWYER;by John Grisham;15 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;72 weeks on the list,ROGUE LAWYER;by John Grisham;New this week,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;29 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;55 weeks on the list,CLINTON CASH;by Peter Schweizer;New this week,ALEXANDER HAMILTON;by Ron Chernow;21 weeks on the list,CRAVINGS;by Chrissy Teigen with Adeena Sussman;23 weeks on the list,THE WHITE DONKEY: TERMINAL LANCE;by Maximilian Uriarte;12 weeks on the list,SISTERS;by Raina Telgemeier;98 weeks on the list,"MY HERO ACADEMIA, VOL. 4;by Kohei Horikoshi;5 weeks on the list",,THE MISADVENTURES OF MAX CRUMBLY: LOCKER HERO;by Rachel Renée Russell;8 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;7 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;162 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;282 weeks on the list,,AND I DARKEN;by Kiersten White;4 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;6 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",EVERY LITTLE STEP;by Bobby Brown with Nick Chiles;,ORANGE IS THE NEW BLACK;by Piper Kerman;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THING EXPLAINER;by Randall Munroe;,PLAYING TO THE EDGE;by Michael V. Hayden;,NOT WITHOUT MY FATHER;by Andra Watkins;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE FOOD LAB;by J. Kenji Lopez-Alt;,PLAYER'S HANDBOOK;by Wizards RPG Team;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,ESCAPE;by Carolyn Jessop;,ON BECOMING BABYWISE;by Gary Ezzo and Robert Buckram;,WAKE UP AMERICA;by Eric Bolling;,MY GRANDFATHER WOULD HAVE SHOT ME;by Jennifer Teege and Nikola Sellmair;,THE SECRET;by Rhonda Byrne;,QUIET;by Susan Cain;,THE THREE-YEAR SWIM CLUB;by Julie Checkoway;,THE HOUR OF LAND;by Terry Tempest Williams;
7,AFTER YOU;by Jojo Moyes;14 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;117 weeks on the list,"IN A DARK, DARK WOOD;by Ruth Ware;10 weeks on the list",,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;49 weeks on the list,BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS;by David Fisher;10 weeks on the list,JUST MERCY;by Bryan Stevenson;38 weeks on the list,AGONY AND ELOQUENCE;by Daniel L. Mallock;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;112 weeks on the list,STAR WARS: THE ORIGINAL TRILOGY;by the staff of the Lucas Film Book Group;14 weeks on the list,ROLLER GIRL;by Victoria Jamieson;31 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;34 weeks on the list",,THE ISLE OF THE LOST;by Melissa de la Cruz;29 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;51 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;45 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;398 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;33 weeks on the list,THE CELLAR;by Natasha Preston;5 weeks on the list,THE GENIUS OF BIRDS;by Jennifer Ackerman;,ORIGINALS;by Adam Grant;,FOLLOW ME;by Ricky Dillon;,THE MOST DANGEROUS ANIMAL OF ALL;by Gary L. Stewart with Susan Mustafa;,THE VIEW FROM THE CHEAP SEATS;by Neil Gaiman;,THANK YOU FOR ARGUING;by Jay Heinrichs;,THE SECRET WAR;by Max Hastings;,INTO THIN AIR;by Jon Krakauer;,RULES OF CIVILITY AND DECENT BEHAVIOR;by George Washington;,GREAT FOOD FAST;by Bob Warden and Christian Stella;,COLOR THE CLASSICS: THE WIZARD OF OZ;illustrated by Jae Eun Lee;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,SICK IN THE HEAD;by Judd Apatow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,WHITE TRASH;by Nancy Isenberg;,NOBODY;by Marc Lamont Hill;,THE POWER OF I AM;by Joel Osteen;,THE POWER OF HABIT;by Charles Duhigg;,WON FOR ALL;by Cleveland Plain Dealer;,TURN RIGHT AT MACHU PICCHU;by Mark Adams;
8,BOSSMAN;by Vi Keeland;2 weeks on the list,HEROES OF THE FRONTIER;by Dave Eggers;New this week,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;15 weeks on the list,,,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;15 weeks on the list,GRIT;by Angela Duckworth;13 weeks on the list,QUIET;by Susan Cain;141 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;106 weeks on the list,DARING GREATLY;by Brené Brown;64 weeks on the list,HOLLOW CITY;by Ransom Riggs and Cassandra Jean;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;62 weeks on the list,FAIRY TAIL ZERO;by Hiro Mashima;2 weeks on the list,,SERAFINA AND THE TWISTED STAFF;by Robert Beatty;3 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;50 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;224 weeks on the list",GIVER QUARTET;by Lois Lowry;124 weeks on the list,,THE SIREN;by Kiera Cass;17 weeks on the list,PAPER TOWNS;by John Green;51 weeks on the list,BEYOND WORDS;by Carl Safina;,CONTAGIOUS;by Jonah Berger;,EVERY FRENCHMAN HAS ONE;by Olivia De Havilland;,THE INFILTRATOR;by Robert Mazur;,THE CURSE OF BEAUTY;by James Bone;,KISS MY ASTERISK;by Jenny Baranick;,FUTURE CRIMES;by Marc Goodman;,WILD;by Cheryl Strayed;,ALL THE PRESIDENTS' GARDENS;by Marta McDowell;,"EAT FAT, GET THIN;by Mark Hyman;",ENCHANTED FOREST;illustrated by Johanna Basford;,UNBROKEN BRAIN;by Maia Szalavitz;,I'VE GOT SAND IN ALL THE WRONG PLACES;by Lisa Scottoline and Francesca Serritella;,F*CK FEELINGS;by Michael I. Bennett and Sarah Bennett;,H IS FOR HAWK;by Helen Macdonald;,TRIBE;by Sebastian Junger;,"JACKSON, 1964;by Calvin Trillin;",THE WAIT;by DeVon Franklin and Meagan Good with Tim Vandehey;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,CLEVELAND IS KING!;by Brendan Bowers;,TRIALS OF THE EARTH;by Mary Mann Hamilton;
9,FATAL IDENTITY;by Marie Force;New this week,MAGIC;by Danielle Steel;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;407 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;New this week,HILLBILLY ELEGY;by J.D. Vance;New this week,THE NEW JIM CROW;by Michelle Alexander;121 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;19 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;70 weeks on the list,"HOW TO TALK TO GIRLS AT PARTIES;by Neil Gaiman, Fábio Moon and Gabriel Bá;4 weeks on the list",THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE;by Ann M. Martin and Raina Telgemeier;19 weeks on the list,"MONSTER MUSUME: I HEART MONSTER GIRLS, VOL. 2;by various authors and artists;2 weeks on the list",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;25 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;51 weeks on the list,PRESS HERE;by Hervé Tullet;246 weeks on the list,DORK DIARIES;by Rachel Renée Russell;176 weeks on the list,,FANGIRL;by Rainbow Rowell;25 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;40 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DR. FEELGOOD;by Richard A. Lertzman and William J. Birnes;,FRAMED;by Robert F. Kennedy Jr;,"INVISIBLE MAN, GOT THE WHOLE WORLD WATCHING;by Mychal Denzel Smith;",TEACH LIKE A CHAMPION 2. 0;by Doug Lemov;,RED NOTICE;by Bill Browder;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,EMPIRE OF COTTON;by Sven Beckert;,PROJECT SMOKE;by Steven Raichlen;,ANIMORPHIA;illustrated by Kerby Rosanes;,THE HAPPINESS PROJECT;by Gretchen Rubin;,SELP-HELF;by Miranda Sings;,H IS FOR HAWK;by Helen Macdonald;,I'VE GOT SAND IN ALL THE WRONG PLACES;by Lisa Scottoline and Francesca Serritella;,JUST MERCY;by Bryan Stevenson;,"INVISIBLE MAN, GOT THE WHOLE WORLD WATCHING;by Mychal Denzel Smith;",MIRACLES FROM HEAVEN;by Christy Beam;,SAPIENS;by Yuval Noah Harari;,SUM IT UP;by Pat Head Summitt with Sally Jenkins;,A WALK IN THE WOODS;by Bill Bryson;
10,A MAN CALLED OVE;by Fredrik Backman;11 weeks on the list,END OF WATCH;by Stephen King;8 weeks on the list,THE LITTLE PARIS BOOKSHOP;by Nina George;14 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;114 weeks on the list,WHITE TRASH;by Nancy Isenberg;6 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;13 weeks on the list,CLINTON CASH;by Peter Schweizer;2 weeks on the list,BIG MAGIC;by Elizabeth Gilbert;22 weeks on the list,DARK NIGHT: A TRUE BATMAN STORY;by Paul Dini and Eduardo Risso;6 weeks on the list,DC SUPER HERO GIRLS: FINALS CRISIS;by Shea Fontana and Yancy Labat;2 weeks on the list,"TOKYO GHOUL, VOL. 7;by Sui Ishida;6 weeks on the list",,THE CROSSOVER;by Kwame Alexander;12 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;69 weeks on the list",5TH WAVE;by Rick Yancey;10 weeks on the list,,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;30 weeks on the list,THE FAULT IN OUR STARS;by John Green;34 weeks on the list,BEING A BEAST;by Charles Foster;,TIPPING POINT;by Malcolm Gladwell;,YES PLEASE;by Amy Poehler;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,THE HATRED OF POETRY;by Ben Lerner;,ON WRITING;by Stephen King;,WASHINGTON'S SPIES;by Alexander Rose;,TRIALS OF THE EARTH;by Mary Mann Hamilton;,HOW TO WEAR JEWELRY;by Jinnie Lee. Illustrated by Judith van den Hoek;,MEATHEAD;by Meathead Goldwyn with Greg Blonder;,ZENDOODLE COLORING: UPLIFTING INSPIRATIONS;illustrated by Justine Lustig;,BRAIN ON FIRE;by Susannah Cahalan;,YES PLEASE;by Amy Poehler;,HOW TO BE A PERSON IN THE WORLD;by Heather Havrilesky;,THE HAPPIEST BABY ON THE BLOCK;by Harvey Karp;,THE NEW JIM CROW;by Michelle Alexander;,WHITE RAGE;by Carol Anderson;,TEARS TO TRIUMPH;by Marianne Williamson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GAMES;by David Goldblatt;,"OH, FLORIDA!;by Craig Pittman;"
