,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,NEVER NEVER;by James Patterson and Candice Fox;New this week,NEVER NEVER;by James Patterson and Candice Fox;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;24 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;6 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;26 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;7 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;7 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;4 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;8 weeks on the list,HARRY POTTER;by J.K. Rowling;409 weeks on the list,CARVE THE MARK;by Veronica Roth;New this week,,TOOLS OF TITANS;by Tim Ferriss;,,,,,,,,,,,,,,,,,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;,
2,A DOG'S PURPOSE;by W. Bruce Cameron;7 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;24 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;56 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;26 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;2 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;67 weeks on the list,YOU ARE A BADASS;by Jen Sincero;54 weeks on the list,WONDER;by R.J. Palacio;76 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;20 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;410 weeks on the list,COURAGE TO SOAR;by Simone Biles with Michelle Burford;10 weeks on the list,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,,,,,,,,,,,,,,,,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,SHAKEN;by Tim Tebow;,
3,A MAN CALLED OVE;by Fredrik Backman;35 weeks on the list,TWO BY TWO;by Nicholas Sparks;16 weeks on the list,MILK AND HONEY;by Rupi Kaur;41 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;2 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;19 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;14 weeks on the list,"FOOD, HEALTH AND HAPPINESS;by Oprah Winfrey;3 weeks on the list",DOG MAN;by Dav Pilkey;21 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;120 weeks on the list,DORK DIARIES;by Rachel Renée Russell;191 weeks on the list,HEARTLESS;by Marissa Meyer;11 weeks on the list,,THE UNDOING PROJECT;by Michael Lewis;,,,,,,,,,,,,,,,,,THE UNDOING PROJECT;by Michael Lewis;,THE BOYS IN THE BOAT;by Daniel James Brown;,
4,FEVERSONG;by Karen Marie Moning;New this week,THE WHISTLER;by John Grisham;13 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;40 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;19 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;14 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;120 weeks on the list",THE LOSE YOUR BELLY DIET;by Travis Stork;4 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;26 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;69 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;70 weeks on the list,SCYTHE;by Neal Shusterman;6 weeks on the list,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,,,,,,,,,,,,,,,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,
5,EGOMANIAC;by Vi Keeland;New this week,THE MISTRESS;by Danielle Steel;3 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;28 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;14 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;14 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;145 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;184 weeks on the list,WORD OF MOUSE;by James Patterson and Chris Grabenstein. Illustrated by Joe Sutphin;6 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;153 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;141 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;12 weeks on the list,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,,,,,,,,,,,,,,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;,
6,THE GIRL ON THE TRAIN;by Paula Hawkins;100 weeks on the list,FEVERSONG;by Karen Marie Moning;New this week,THE GAMES;by James Patterson and Mark Sullivan;3 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;3 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;7 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;95 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;68 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;48 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;84 weeks on the list",THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;28 weeks on the list,CHILDREN OF EDEN;by Joey Graceffa;12 weeks on the list,,SHOE DOG;by Phil Knight;,,,,,,,,,,,,,,,,,CASE AGAINST SUGAR;by Gary Taubes;,WHAT DOESN’T KILL US;by Scott Carney;,
7,THE WHISTLER;by John Grisham;13 weeks on the list,CROSS THE LINE;by James Patterson;9 weeks on the list,THE WIDOW;by Fiona Barton;New this week,THE UNDOING PROJECT;by Michael Lewis;7 weeks on the list,THE PRINCESS DIARIST;by Carrie Fisher;4 weeks on the list,JUST MERCY;by Bryan Stevenson;61 weeks on the list,UNINVITED;by Lysa TerKeurst;18 weeks on the list,THE HAMMER OF THOR;by Rick Riordan;16 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;187 weeks on the list,BAD KITTY;by Nick Bruel;6 weeks on the list,MOON CHOSEN;by P. C. Cast;14 weeks on the list,,CASE AGAINST SUGAR;by Gary Taubes;,,,,,,,,,,,,,,,,,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,FURIOUS GEORGE;by George Karl with Curt Sampson;,
8,MILK AND HONEY;by Rupi Kaur;6 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;15 weeks on the list,SILENCE;by Shusaku Endo;2 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;56 weeks on the list,TEARS WE CANNOT STOP;by Michael Eric Dyson;New this week,TROUBLEMAKER;by Leah Remini and Rebecca Paley;2 weeks on the list,THE WHOLE30 COOKBOOK;by Melissa Hartwig;5 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;3 weeks on the list,"TAKE HEART, MY CHILD;by Ainsley Earhardt with Kathryn Cristaldi. Illustrated by Jaime Kim;10 weeks on the list",HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;New this week,WAYFARER;by Alexandra Bracken;3 weeks on the list,,THE POWER OF HABIT;by Charles Duhigg;,,,,,,,,,,,,,,,,,THE TELOMERE EFFECT;by Elizabeth Blackburn and Elissa Epel;,A LIFE WELL PLAYED;by Arnold Palmer;,
9,THE MISTRESS;by Danielle Steel;3 weeks on the list,BELOW THE BELT;by Stuart Woods;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;424 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;48 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;231 weeks on the list,THE ZERO SUGAR DIET;by David Zinczenko with Stephen Perrine;3 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;16 weeks on the list,PRESS HERE;by Hervé Tullet;249 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;18 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;35 weeks on the list,,GRIT;by Angela Duckworth;,,,,,,,,,,,,,,,,,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;,
10,THE UNDERGROUND RAILROAD;by Colson Whitehead;15 weeks on the list,THE CHEMIST;by Stephenie Meyer;11 weeks on the list,FIFTY SHADES DARKER;by E. L. James;112 weeks on the list,THE PRINCESS DIARIST;by Carrie Fisher;4 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;3 weeks on the list,QUIET;by Susan Cain;148 weeks on the list,THE LITTLE BOOK OF HYGGE;by Meik Wiking;New this week,THE HIDDEN ORACLE;by Rick Riordan;36 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;43 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;33 weeks on the list,ROSEBLOOD;by A. G. Howard;2 weeks on the list,,SPARK;by Angie Morgan;,,,,,,,,,,,,,,,,,QUIET;by Susan Cain;,BELICHICK AND BRADY;by Michael Holley;,
