,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,CAMINO ISLAND;by John Grisham;3 weeks on the list,CAMINO ISLAND;by John Grisham;3 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;11 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;48 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;379 weeks on the list,MAKE YOUR BED;by William H. McRaven;12 weeks on the list,WONDER;by R.J. Palacio;98 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;4 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;72 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;3 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PAPI;by David Ortiz with Michael Holley;
2,DANGEROUS MINDS;by Janet Evanovich;New this week,THE SILENT CORNER;by Dean Koontz;New this week,THE HANDMAID'S TALE;by Margaret Atwood;20 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;8 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;48 weeks on the list,ON TYRANNY;by Timothy Snyder;17 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;28 weeks on the list,THE DARK PROPHECY;by Rick Riordan;8 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;8 weeks on the list,HARRY POTTER;by J.K. Rowling;431 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,THE SILENT CORNER;by Dean Koontz;New this week,THE IDENTICALS;by Elin Hilderbrand;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;63 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;4 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;4 weeks on the list",NO IS NOT ENOUGH;by Naomi Klein;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;76 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;175 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;432 weeks on the list,THE HATE U GIVE;by Angie Thomas;17 weeks on the list,GRIT;by Angela Duckworth;,SAPIENS;by Yuval Noah Harari;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
4,THE IDENTICALS;by Elin Hilderbrand;2 weeks on the list,INTO THE WATER;by Paula Hawkins;8 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;12 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;2 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;2 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;47 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;206 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;91 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;14 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;5 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
5,THE HANDMAID'S TALE;by Margaret Atwood;14 weeks on the list,DANGEROUS MINDS;by Janet Evanovich;New this week,LILAC GIRLS;by Martha Hall Kelly;17 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;10 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;3 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;29 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;132 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;43 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;209 weeks on the list,DESCENDANTS;by Melissa de la Cruz;5 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TEAMMATE;by David Ross with Don Yaeger;
6,COME SUNDOWN;by Nora Roberts;4 weeks on the list,TOM CLANCY: POINT OF CONTACT;by Mike Maden;2 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;78 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;3 weeks on the list,THEFT BY FINDING;by David Sedaris;4 weeks on the list,JUST MERCY;by Bryan Stevenson;67 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;89 weeks on the list,DOG MAN;by Dav Pilkey;43 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;104 weeks on the list",MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;2 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;33 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,INTO THE WATER;by Paula Hawkins;8 weeks on the list,KISS CARLO;by Adriana Trigiani;New this week,THE COUPLE NEXT DOOR;by Shari Lapena;4 weeks on the list,THEFT BY FINDING;by David Sedaris;4 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;9 weeks on the list,THE OTHER WES MOORE;by Wes Moore;40 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;11 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;3 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;27 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;434 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;49 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,HOMO DEUS;by Yuval Noah Harari;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
8,THE WOMAN IN CABIN 10;by Ruth Ware;22 weeks on the list,DRAGON TEETH;by Michael Crichton;5 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;13 weeks on the list,HUE 1968;by Mark Bowden;3 weeks on the list,BILL O'REILLY'S LEGENDS AND LIES: THE CIVIL WAR;by David Fisher;3 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;341 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;6 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;25 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;48 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;92 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;11 weeks on the list,ORIGINALS;by Adam Grant;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,A LIFE WELL PLAYED;by Arnold Palmer;
9,BEACH HOUSE FOR RENT;by Mary Alice Monroe;New this week,COME SUNDOWN;by Nora Roberts;4 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;9 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;9 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;10 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;198 weeks on the list,UNINVITED;by Lysa TerKeurst;27 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;44 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;28 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;288 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;55 weeks on the list,LEADERS EAT LAST;by Simon Sinek;,THE POWER OF HABIT;by Charles Duhigg;,BUT SERIOUSLY;by John McEnroe;
10,MILK AND HONEY;by Rupi Kaur;24 weeks on the list,THE FORCE;by Don Winslow;New this week,THE ALCHEMIST;by Paulo Coelho;425 weeks on the list,HUNGER;by Roxane Gay;2 weeks on the list,HUE 1968;by Mark Bowden;3 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;80 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;19 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: LOCKER HERO;by Rachel Renée Russell;22 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;12 weeks on the list,DORK DIARIES;by Rachel Renée Russell;213 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;53 weeks on the list",GET YOUR ------ TOGETHER;by Sarah Knight;,QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
