,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Science,Sports and Fitness,Young Adult Paperback
1,BLOODY GENIUS;by John Sandford;New this week,THE WATER DANCER;by Ta-Nehisi Coates;2 weeks on the list,THE GREAT ALONE;by Kristin Hannah;2 weeks on the list,BLOWOUT;by Rachel Maddow;New this week,BLOWOUT;by Rachel Maddow;New this week,ON TYRANNY;by Timothy Snyder;56 weeks on the list,STILLNESS IS THE KEY;by Ryan Holiday;New this week,A TALE OF MAGIC...;by Chris Colfer;New this week,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;5 weeks on the list,DOG MAN;by Dav Pilkey;110 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;New this week,THE INSTITUTE;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARE TO LEAD;by Brené Brown;,GUTS;by Raina Telgemeier;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,,,SALT TO THE SEA;by Ruta Sepetys;
2,THE WATER DANCER;by Ta-Nehisi Coates;2 weeks on the list,THE INSTITUTE;by Stephen King;4 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;57 weeks on the list,THE BOOK OF GUTSY WOMEN;by Hillary Rodham Clinton and Chelsea Clinton;New this week,THE BOOK OF GUTSY WOMEN;by Hillary Rodham Clinton and Chelsea Clinton;New this week,BORN A CRIME;by Trevor Noah;34 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;2 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;26 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;205 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;15 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;New this week,THE TESTAMENTS;by Margaret Atwood;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE RECKONING;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,,,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
3,THE INSTITUTE;by Stephen King;4 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;57 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;105 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;4 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;4 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;50 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;147 weeks on the list,WONDER;by R.J. Palacio;217 weeks on the list,HEY GRANDUDE!;by Paul McCartney. Illustrated by Kathryn Durst;5 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;18 weeks on the list,WAYWARD SON;by Rainbow Rowell;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,CALL SIGN CHAOS;by Jim Mattis and Bing West;,ATOMIC HABITS;by James Clear;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,VINCE FLYNN: RED WAR;by Kyle Mills;,OUT OF MY MIND;by Sharon M. Draper;,,,LONG WAY DOWN;by Jason Reynolds;
4,WHERE THE CRAWDADS SING;by Delia Owens;56 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;2 weeks on the list,THE 18TH ABDUCTION;by James Patterson and Maxine Paetro;New this week,THE UNITED STATES OF TRUMP;by Bill O'Reilly;2 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;2 weeks on the list,JUST MERCY;by Bryan Stevenson;173 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;290 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;85 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;288 weeks on the list,HARRY POTTER;by J.K. Rowling;550 weeks on the list,THE HATE U GIVE;by Angie Thomas;136 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,INSIDE OUT;by Demi Moore;,WHAT IT TAKES;by Stephen A. Schwarzman;,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;",SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;,RESTART;by Gordon Korman;,,,SCYTHE;by Neal Shusterman;
5,THE DUTCH HOUSE;by Ann Patchett;2 weeks on the list,BLOODY GENIUS;by John Sandford;New this week,IT;by Stephen King;26 weeks on the list,INSIDE OUT;by Demi Moore;2 weeks on the list,INSIDE OUT;by Demi Moore;2 weeks on the list,SAPIENS;by Yuval Noah Harari;73 weeks on the list,YOU ARE A BADASS;by Jen Sincero;192 weeks on the list,ALIEN SUPERSTAR;by Henry Winkler and Lin Oliver;New this week,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;31 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;21 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;17 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,PERMANENT RECORD;by Edward Snowden;,OUTLIERS;by Malcolm Gladwell;,DRAMA;by Raina Telgemeier;,JUROR #3;by James Patterson and Nancy Allen;,FRONT DESK;by Kelly Yang;,,,DEAR MARTIN;by Nic Stone;
6,THE TESTAMENTS;by Margaret Atwood;4 weeks on the list,THE TESTAMENTS;by Margaret Atwood;4 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;20 weeks on the list,EDUCATED;by Tara Westover;85 weeks on the list,EDUCATED;by Tara Westover;85 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;65 weeks on the list,SUPER ATTRACTOR;by Gabrielle Bernstein;2 weeks on the list,THE WILD ROBOT;by Peter Brown;56 weeks on the list,WHO IS THE MYSTERY READER?;by Mo Willems;New this week,LEGEND;by Marie Lu;13 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;93 weeks on the list,VENDETTA IN DEATH;by J.D. Robb;,BECOMING;by Michelle Obama;,RANGE;by David Epstein;,PERSEPOLIS;by Marjane Satrapi;,TURNING POINT;by Danielle Steel;,WISH;by Barbara O'Connor;,,,TURTLES ALL THE WAY DOWN;by John Green;
7,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;2 weeks on the list,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;2 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;New this week,OVER THE TOP;by Jonathan Van Ness;2 weeks on the list,OVER THE TOP;by Jonathan Van Ness;2 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;New this week,"GIRL, WASH YOUR FACE;by Rachel Hollis;78 weeks on the list",THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;290 weeks on the list,DRAGONWATCH;by Brandon Mull. Illustrated by Brandon Dorman;New this week,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;44 weeks on the list,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,SMILE;by Raina Telgemeier;,HOT SHOT;by Fern Michaels;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,,,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,THE GREAT ALONE;by Kristin Hannah;19 weeks on the list,CILKA'S JOURNEY;by Heather Morris;New this week,A SPARK OF LIGHT;by Jodi Picoult;2 weeks on the list,CALL SIGN CHAOS;by Jim Mattis and Bing West;5 weeks on the list,PERMANENT RECORD;by Edward Snowden;3 weeks on the list,WINNERS TAKE ALL;by Anand Giridharadas;New this week,FAIR PLAY;by Eve Rodsky;New this week,REFUGEE;by Alan Gratz;75 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;14 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;191 weeks on the list,AMERICAN ROYALS;by Katharine McGee;5 weeks on the list,THE GOLDFINCH;by Donna Tartt;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PUMPKINHEADS;by Rainbow Rowell. Illustrated by Faith Erin Hicks;,CONNECTIONS IN DEATH;by J.D. Robb;,GHOST BOYS;by Jewell Parker Rhodes;,,,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
9,A MRS. MIRACLE CHRISTMAS;by Debbie Macomber;New this week,FULL THROTTLE;by Joe Hill;New this week,THE GOLDFINCH;by Donna Tartt;31 weeks on the list,PERMANENT RECORD;by Edward Snowden;3 weeks on the list,CALL SIGN CHAOS;by Jim Mattis and Bing West;5 weeks on the list,THESE TRUTHS;by Jill Lepore;New this week,DARE TO LEAD;by Brené Brown;37 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;25 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;22 weeks on the list,BROTHERBAND CHRONICLES;by John Flanagan;4 weeks on the list,FRANKLY IN LOVE;by David Yoon;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;,SAPIENS;by Yuval Noah Harari;,TOOLS AND WEAPONS;by Brad Smith and Carol Ann Browne;,BATMAN: DAMNED;by Brian Azzarello. Illustrated by Lee Bermejo;,THE GOLDFINCH;by Donna Tartt;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,,,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,CILKA'S JOURNEY;by Heather Morris;New this week,IMAGINARY FRIEND;by Stephen Chbosky;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;22 weeks on the list,ON TYRANNY;by Timothy Snyder;17 weeks on the list,KNOW MY NAME;by Chanel Miller;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;294 weeks on the list,EMBRACE YOUR WEIRD;by Felicia Day;New this week,MAX EINSTEIN: REBELS WITH A CAUSE;by James Patterson and Chris Grabenstein;4 weeks on the list,DR. SEUSS'S HORSE MUSEUM;by Dr. Seuss. Illustrated by Andrew Joyner;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;551 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;83 weeks on the list,THE SECRETS WE KEPT;by Lara Prescott;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",MIGHTY JACK AND ZITA THE SPACEGIRL;by Ben Hatke;,CRUCIBLE;by James Rollins;,I AM MALALA;by Malala Yousafzai with Patricia McCormick;,,,"EVERYTHING, EVERYTHING;by Nicola Yoon;"
11,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;55 weeks on the list,A MRS. MIRACLE CHRISTMAS;by Debbie Macomber;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;31 weeks on the list,KNOW MY NAME;by Chanel Miller;2 weeks on the list,FACE IT;by Debbie Harry;New this week,WHY WE SLEEP;by Matthew Walker;26 weeks on the list,,,,,,RUN AWAY;by Harlan Coben;,LIFESPAN;by David A. Sinclair and Matthew D. LaPlante;,,THE BATMAN WHO LAUGHS;by Scott Snyder. Illustrated by Jock;,COTTAGE BY THE SEA;by Debbie Macomber;,,,,
