,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,28 SUMMERS;by Elin Hilderbrand;2 weeks on the list,THE VANISHING HALF;by Brit Bennett;4 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;60 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;New this week,THE ROOM WHERE IT HAPPENED;by John Bolton;New this week,WHITE FRAGILITY;by Robin DiAngelo;95 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;34 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;8 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;11 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;236 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;14 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,WHITE FRAGILITY;by Robin DiAngelo;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,THE DARK SIDE;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
2,THE VANISHING HALF;by Brit Bennett;4 weeks on the list,28 SUMMERS;by Elin Hilderbrand;2 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;50 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;14 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;17 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;6 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;12 weeks on the list",LITTLE LEADERS;by Vashti Harrison;35 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;11 weeks on the list,HARRY POTTER;by J.K. Rowling;588 weeks on the list,THE HATE U GIVE;by Angie Thomas;174 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,DARE TO LEAD;by Brené Brown;,STRANGER PLANET;by Nathan W. Pyle;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
3,WHERE THE CRAWDADS SING;by Delia Owens;94 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;95 weeks on the list,CIRCE;by Madeline Miller;10 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;9 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;91 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;6 weeks on the list,DREAM BIG;by Bob Goff;New this week,WONDER;by R.J. Palacio;254 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;15 weeks on the list,DOG MAN;by Dav Pilkey;148 weeks on the list,I'M NOT DYING WITH YOU TONIGHT;by Kimberly Jones and Gilly Segal;New this week,HIDEAWAY;by Nora Roberts;,THE ROOM WHERE IT HAPPENED;by John Bolton;,THE RIDE OF A LIFETIME;by Robert Iger;,GUTS;by Raina Telgemeier;,BLUE MOON;by Lee Child;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,DEAR MARTIN;by Nic Stone;
4,THE GUARDIANS;by John Grisham;21 weeks on the list,CAMINO WINDS;by John Grisham;9 weeks on the list,NORMAL PEOPLE;by Sally Rooney;19 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;4 weeks on the list,UNTAMED;by Glennon Doyle;16 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;9 weeks on the list,ATOMIC HABITS;by James Clear;33 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;10 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;589 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;127 weeks on the list,THE VANISHING HALF;by Brit Bennett;,THE NEW JIM CROW;by Michelle Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","MY HERO ACADEMIA, VOL. 24;by Kohei Horikoshi;",LAST GIRL STANDING;by Lisa Jackson and Nancy Bush;,BROWN GIRL DREAMING;by Jacqueline Woodson;,THE BOOK THIEF;by Markus Zusak;
5,CAMINO WINDS;by John Grisham;9 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;3 weeks on the list,A MINUTE TO MIDNIGHT;by David Baldacci;3 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;6 weeks on the list,ME AND WHITE SUPREMACY;by Layla F. Saad;6 weeks on the list,JUST MERCY;by Bryan Stevenson;211 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;185 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;63 weeks on the list,YOU MATTER;by Christian Robinson;2 weeks on the list,THE BAD GUYS;by Aaron Blabey;84 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;118 weeks on the list,THE GUEST LIST;by Lucy Foley;,ME AND WHITE SUPREMACY;by Layla F. Saad;,OUTLIERS;by Malcolm Gladwell;,BECOMING BRIANNA;by Terri Libenson;,EVERY BREATH;by Nicholas Sparks;,A LONG WALK TO WATER;by Linda Sue Park;,LONG WAY DOWN;by Jason Reynolds;
6,WALK THE WIRE;by David Baldacci;9 weeks on the list,THE GUEST LIST;by Lucy Foley;4 weeks on the list,THE GUARDIANS;by John Grisham;2 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;67 weeks on the list,COUNTDOWN 1945;by Chris Wallace with Mitch Weiss;3 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;192 weeks on the list,YOU ARE A BADASS;by Jen Sincero;212 weeks on the list,REFUGEE;by Alan Gratz;100 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;16 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;537 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;8 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,WE WERE LIARS;by E. Lockhart;
7,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;3 weeks on the list,IF IT BLEEDS;by Stephen King;10 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;62 weeks on the list,UNTAMED;by Glennon Doyle;16 weeks on the list,BECOMING;by Michelle Obama;81 weeks on the list,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?;by Beverly Daniel Tatum;4 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;20 weeks on the list,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;13 weeks on the list,LAST STOP ON MARKET STREET;by Matt de la Peña. Illustrated by Christian Robinson;23 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;228 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;17 weeks on the list,28 SUMMERS;by Elin Hilderbrand;,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;,"HUSTLE HARDER, HUSTLE SMARTER;by Curtis ""50 Cent"" Jackson;","JACKY HA-HA;by James Patterson and Chris Grabenstein, adapted by Adam Rau and Betty C. Tang;",ENVY;by Sandra Brown;,RESTART;by Gordon Korman;,THE POET X;by Elizabeth Acevedo;
8,THE GUEST LIST;by Lucy Foley;4 weeks on the list,FAIR WARNING;by Michael Connelly;5 weeks on the list,PARTY OF TWO;by Jasmine Guillory;New this week,ME AND WHITE SUPREMACY;by Layla F. Saad;6 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;18 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;27 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;9 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;63 weeks on the list,THE UNDEFEATED;by Kwame Alexander. Illustrated by Kadir Nelson;8 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;124 weeks on the list,THE BETROTHED;by Kiera Cass;8 weeks on the list,FAIR WARNING;by Michael Connelly;,UNTAMED;by Glennon Doyle;,THE BUDDHA AND THE BADASS;by Vishen Lakhiani;,SISTERS;by Raina Telgemeier;,STEALING HOME;by Sherryl Woods;,OUT OF MY MIND;by Sharon M. Draper;,ALL THE BRIGHT PLACES;by Jennifer Niven;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;72 weeks on the list,THE LAST FLIGHT;by Julie Clark;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;58 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;4 weeks on the list,I'M STILL HERE;by Austin Channing Brown;3 weeks on the list,BORN A CRIME;by Trevor Noah;72 weeks on the list,MAKE YOUR BED;by William H. McRaven;92 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;16 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;4 weeks on the list,DORK DIARIES;by Rachel Renée Russell;324 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;30 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,BECOMING;by Michelle Obama;,GRIT;by Angela Duckworth;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE CHEF;by James Patterson and Max DiLallo;,WISH;by Barbara O'Connor;,JUST MERCY;by Bryan Stevenson;
10,THE LAST FLIGHT;by Julie Clark;New this week,AMERICAN DIRT;by Jeanine Cummins;23 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;95 weeks on the list,JUST MERCY;by Bryan Stevenson;35 weeks on the list,HOOD FEMINISM;by Mikki Kendall;2 weeks on the list,WHITE RAGE;by Carol Anderson;5 weeks on the list,BE THE BRIDGE;by Latasha Morrison;2 weeks on the list,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;14 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;240 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;41 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;23 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,I'M STILL HERE;by Austin Channing Brown;,THE DEFICIT MYTH;by Stephanie Kelton;,DRAMA;by Raina Telgemeier;,RISING FIRE;by William W. Johnstone and J.A. Johnstone;,THE WILD ROBOT;by Peter Brown;,PIECING ME TOGETHER;by Renée Watson;
11,FAIR WARNING;by Michael Connelly;5 weeks on the list,DEACON KING KONG;by James McBride;4 weeks on the list,BEACH READ;by Emily Henry;5 weeks on the list,COUNTDOWN 1945;by Chris Wallace with Mitch Weiss;3 weeks on the list,BREATH;by James Nestor;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;88 weeks on the list,,,,,,IF IT BLEEDS;by Stephen King;,BORN A CRIME;by Trevor Noah;,,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,DEEP HARBOR;by Fern Michaels;,,
