,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE VANISHING HALF;by Brit Bennett;6 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;97 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;62 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;3 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;3 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;97 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;14 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;10 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;242 weeks on the list,THE BAD GUYS;by Aaron Blabey;86 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;16 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,WHITE FRAGILITY;by Robin DiAngelo;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,THE DARK SIDE;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
2,28 SUMMERS;by Elin Hilderbrand;4 weeks on the list,THE VANISHING HALF;by Brit Bennett;6 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;52 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;11 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;19 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;8 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;36 weeks on the list",WONDER;by R.J. Palacio;256 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;238 weeks on the list,THE HATE U GIVE;by Angie Thomas;176 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,DARE TO LEAD;by Brené Brown;,STRANGER PLANET;by Nathan W. Pyle;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
3,DESOLATION ROAD;by Christine Feehan;New this week,28 SUMMERS;by Elin Hilderbrand;4 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;16 weeks on the list,ME AND WHITE SUPREMACY;by Layla F. Saad;8 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;11 weeks on the list,ATOMIC HABITS;by James Clear;35 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;65 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;13 weeks on the list,DOG MAN;by Dav Pilkey;150 weeks on the list,HAWK;by James Patterson;New this week,HIDEAWAY;by Nora Roberts;,THE ROOM WHERE IT HAPPENED;by John Bolton;,THE RIDE OF A LIFETIME;by Robert Iger;,GUTS;by Raina Telgemeier;,BLUE MOON;by Lee Child;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,DEAR MARTIN;by Nic Stone;
4,WHERE THE CRAWDADS SING;by Delia Owens;96 weeks on the list,A BEAUTIFULLY FOOLISH ENDEAVOR;by Hank Green;New this week,CIRCE;by Madeline Miller;12 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;63 weeks on the list,UNTAMED;by Glennon Doyle;18 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;8 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;187 weeks on the list,REFUGEE;by Alan Gratz;102 weeks on the list,LAST STOP ON MARKET STREET;by Matt de la Peña. Illustrated by Christian Robinson;25 weeks on the list,HARRY POTTER;by J.K. Rowling;590 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;129 weeks on the list,THE VANISHING HALF;by Brit Bennett;,THE NEW JIM CROW;by Michelle Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","MY HERO ACADEMIA, VOL. 24;by Kohei Horikoshi;",LAST GIRL STANDING;by Lisa Jackson and Nancy Bush;,BROWN GIRL DREAMING;by Jacqueline Woodson;,THE BOOK THIEF;by Markus Zusak;
5,THE GUEST LIST;by Lucy Foley;6 weeks on the list,CAMINO WINDS;by John Grisham;11 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;64 weeks on the list,ME AND WHITE SUPREMACY;by Layla F. Saad;8 weeks on the list,SEPARATED;by Jacob Soboroff;New this week,ALEXANDER HAMILTON;by Ron Chernow;110 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;11 weeks on the list,LITTLE LEADERS;by Vashti Harrison;37 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;14 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;591 weeks on the list,THE DAMNED;by Renée Ahdieh;New this week,THE GUEST LIST;by Lucy Foley;,ME AND WHITE SUPREMACY;by Layla F. Saad;,OUTLIERS;by Malcolm Gladwell;,BECOMING BRIANNA;by Terri Libenson;,EVERY BREATH;by Nicholas Sparks;,A LONG WALK TO WATER;by Linda Sue Park;,LONG WAY DOWN;by Jason Reynolds;
6,A BEAUTIFULLY FOOLISH ENDEAVOR;by Hank Green;New this week,THE GUEST LIST;by Lucy Foley;6 weeks on the list,THE GUARDIANS;by John Grisham;4 weeks on the list,UNTAMED;by Glennon Doyle;18 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;93 weeks on the list,JUST MERCY;by Bryan Stevenson;213 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;315 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;65 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;18 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;32 weeks on the list,I'M NOT DYING WITH YOU TONIGHT;by Kimberly Jones and Gilly Segal;3 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,WE WERE LIARS;by E. Lockhart;
7,THE GUARDIANS;by John Grisham;23 weeks on the list,SEX AND VANITY;by Kevin Kwan;2 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;47 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;8 weeks on the list,BECOMING;by Michelle Obama;83 weeks on the list,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?;by Beverly Daniel Tatum;6 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;22 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;20 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;79 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;539 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;19 weeks on the list,28 SUMMERS;by Elin Hilderbrand;,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;,"HUSTLE HARDER, HUSTLE SMARTER;by Curtis ""50 Cent"" Jackson;","JACKY HA-HA;by James Patterson and Chris Grabenstein, adapted by Adam Rau and Betty C. Tang;",ENVY;by Sandra Brown;,RESTART;by Gordon Korman;,THE POET X;by Elizabeth Acevedo;
8,CAMINO WINDS;by John Grisham;11 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;25 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;60 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;6 weeks on the list,BEGIN AGAIN;by Eddie S. Glaude Jr.;2 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;29 weeks on the list,YOU ARE A BADASS;by Jen Sincero;214 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;18 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;17 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;230 weeks on the list,THE BETROTHED;by Kiera Cass;10 weeks on the list,FAIR WARNING;by Michael Connelly;,UNTAMED;by Glennon Doyle;,THE BUDDHA AND THE BADASS;by Vishen Lakhiani;,SISTERS;by Raina Telgemeier;,STEALING HOME;by Sherryl Woods;,OUT OF MY MIND;by Sharon M. Draper;,ALL THE BRIGHT PLACES;by Jennifer Niven;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;74 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;5 weeks on the list,HUSH;by James Patterson and Candice Fox;6 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;6 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;20 weeks on the list,BORN A CRIME;by Trevor Noah;74 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;46 weeks on the list,CLEAN GETAWAY;by Nic Stone;8 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;13 weeks on the list,FIVE NIGHTS AT FREDDY'S: FAZBEAR FRIGHTS;by Scott Cawthon;New this week,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;32 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,BECOMING;by Michelle Obama;,GRIT;by Angela Duckworth;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE CHEF;by James Patterson and Max DiLallo;,WISH;by Barbara O'Connor;,JUST MERCY;by Bryan Stevenson;
10,SEX AND VANITY;by Kevin Kwan;2 weeks on the list,MEXICAN GOTHIC;by Silvia Moreno-Garcia;2 weeks on the list,A MINUTE TO MIDNIGHT;by David Baldacci;5 weeks on the list,SEPARATED;by Jacob Soboroff;New this week,COUNTDOWN 1945;by Chris Wallace with Mitch Weiss;5 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;194 weeks on the list,MAKE YOUR BED;by William H. McRaven;93 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;12 weeks on the list,"SOMETHING HAPPENED IN OUR TOWN;by Marianne Celano, Marietta Collins and Ann Hazzard. Illustrated by Jennifer Zivoin;New this week",VILLAINS;by Serena Valentino;New this week,CLAP WHEN YOU LAND;by Elizabeth Acevedo;10 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,I'M STILL HERE;by Austin Channing Brown;,THE DEFICIT MYTH;by Stephanie Kelton;,DRAMA;by Raina Telgemeier;,RISING FIRE;by William W. Johnstone and J.A. Johnstone;,THE WILD ROBOT;by Peter Brown;,PIECING ME TOGETHER;by Renée Watson;
11,AMERICAN DIRT;by Jeanine Cummins;25 weeks on the list,IF IT BLEEDS;by Stephen King;12 weeks on the list,LADY IN THE LAKE;by Laura Lippman;New this week,BEGIN AGAIN;by Eddie S. Glaude Jr.;2 weeks on the list,EDUCATED;by Tara Westover;125 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;90 weeks on the list,,,,,,IF IT BLEEDS;by Stephen King;,BORN A CRIME;by Trevor Noah;,,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,DEEP HARBOR;by Fern Michaels;,,
12,OUTSIDER;by Linda Castillo;New this week,FAIR WARNING;by Michael Connelly;7 weeks on the list,BEACH READ;by Emily Henry;7 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;69 weeks on the list,THE BEAUTY IN BREAKING;by Michele Harper;New this week,THE YELLOW HOUSE;by Sarah M. Broom;New this week,,,,,,LITTLE FIRES EVERYWHERE;by Celeste Ng;,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;,,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,THE YANKEE WIDOW;by Linda Lael Miller;,,
13,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;5 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;52 weeks on the list,THIS TENDER LAND;by William Kent Krueger;3 weeks on the list,JUST MERCY;by Bryan Stevenson;37 weeks on the list,BLITZ;by David Horowitz;3 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;16 weeks on the list,,,,,,THE GIVER OF STARS;by Jojo Moyes;,TALKING TO STRANGERS;by Malcolm Gladwell;,,SMILE;by Raina Telgemeier;,RUN AWAY;by Harlan Coben;,,
14,THEN SHE WAS GONE;by Lisa Jewell;3 weeks on the list,MEMOIRS AND MISINFORMATION;by Jim Carrey and Dana Vachon;New this week,NORMAL PEOPLE;by Sally Rooney;21 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;20 weeks on the list,I'M STILL HERE;by Austin Channing Brown;5 weeks on the list,SAPIENS;by Yuval Noah Harari;110 weeks on the list,,,,,,TOM CLANCY: FIRING POINT;by Mike Maden;,JUST MERCY;by Bryan Stevenson;,,STRANGE PLANET;by Nathan W. Pyle;,THE ORACLE;by Clive Cussler and Robin Burcell;,,
15,THE LOST AND FOUND BOOKSHOP;by Susan Wiggs;New this week,BIG SUMMER;by Jennifer Weiner;9 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;73 weeks on the list,BECOMING;by Michelle Obama;84 weeks on the list,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;43 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;14 weeks on the list,,,,,,THE LIES THAT BIND;by Emily Giffin;,UNITED STATES OF SOCIALISM;by Dinesh D'Souza;,,NAT ENOUGH;by Maria Scrivan;,MICHAEL CRICHTON: THE ANDROMEDA EVOLUTION;by Daniel H. Wilson;,,
