,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,ROYAL;by Danielle Steel;New this week,WHERE THE CRAWDADS SING;by Delia Owens;103 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;58 weeks on the list,UNTAMED;by Glennon Doyle;24 weeks on the list,UNTAMED;by Glennon Doyle;24 weeks on the list,JUST MERCY;by Bryan Stevenson;219 weeks on the list,DOESN'T HURT TO ASK;by Trey Gowdy;New this week,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;3 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;229 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;22 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,CASTE;by Isabel Wilkerson;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,CHILD'S PLAY;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,WHERE THE CRAWDADS SING;by Delia Owens;102 weeks on the list,ROYAL;by Danielle Steel;New this week,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;2 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;3 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;3 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;103 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;42 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;16 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;24 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;244 weeks on the list,THE HATE U GIVE;by Angie Thomas;182 weeks on the list,THE GUEST LIST;by Lucy Foley;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,EVIL GENIUSES;by Kurt Andersen;,GUTS;by Raina Telgemeier;,PARANOID;by Lisa Jackson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE JACKAL;by J.R. Ward;New this week,THE VANISHING HALF;by Brit Bennett;12 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;68 weeks on the list,CASTE;by Isabel Wilkerson;3 weeks on the list,CASTE;by Isabel Wilkerson;3 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;14 weeks on the list,ATOMIC HABITS;by James Clear;41 weeks on the list,WONDER;by R.J. Palacio;262 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;26 weeks on the list,DOG MAN;by Dav Pilkey;156 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;5 weeks on the list",WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,DOESN'T HURT TO ASK;by Trey Gowdy;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,GOLDEN IN DEATH;by J.D. Robb;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,THE VANISHING HALF;by Brit Bennett;12 weeks on the list,THE GUEST LIST;by Lucy Foley;12 weeks on the list,THIS TENDER LAND;by William Kent Krueger;9 weeks on the list,JUST MERCY;by Bryan Stevenson;39 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;6 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;34 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;321 weeks on the list,REFUGEE;by Alan Gratz;108 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;19 weeks on the list,THE BAD GUYS;by Aaron Blabey;92 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;135 weeks on the list,THE VANISHING HALF;by Brit Bennett;,LIVE FREE OR DIE;by Sean Hannity;,DARE TO LEAD;by Brené Brown;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,OUTFOX;by Sandra Brown;,BROWN GIRL DREAMING;by Jacqueline Woodson;,LONG WAY DOWN;by Jason Reynolds;
5,THE GUEST LIST;by Lucy Foley;12 weeks on the list,28 SUMMERS;by Elin Hilderbrand;10 weeks on the list,LOVECRAFT COUNTRY;by Matt Ruff;New this week,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;6 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;25 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;200 weeks on the list,THE END OF ALZHEIMER'S PROGRAM;by Dale E. Bredesen;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;71 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;173 weeks on the list,HARRY POTTER;by J.K. Rowling;596 weeks on the list,HAWK;by James Patterson;7 weeks on the list,CRITICAL MASS;by Craig Alanson;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE UMBRELLA ACADEMY: APOCALYPSE SUITE;by Gerard Way. Illustrated by Gabriel Bá;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
6,THEN SHE WAS GONE;by Lisa Jewell;8 weeks on the list,THE ORDER;by Daniel Silva;6 weeks on the list,THE LONG CALL;by Ann Cleeves;4 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;17 weeks on the list,LIVE IN LOVE;by Lauren Akins with Mark Dagostino;New this week,BORN A CRIME;by Trevor Noah;80 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;20 weeks on the list",LITTLE LEADERS;by Vashti Harrison;43 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;597 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;25 weeks on the list,THE SILENT WIFE;by Karin Slaughter;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,OUTLIERS;by Malcolm Gladwell;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,THE COWBOY'S LADY;by Debbie Macomber;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,28 SUMMERS;by Elin Hilderbrand;10 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;31 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;66 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;22 weeks on the list,THE ANSWER IS ...;by Alex Trebek;5 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;17 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;193 weeks on the list,FINISH THE FIGHT!;by Veronica Chambers and the staff of The New York Times;New this week,WAITING IS NOT EASY!;by Mo Willems;84 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;545 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;16 weeks on the list,PRETTY THINGS;by Janelle Brown;,BREATH;by James Nestor;,THE LAZY GENIUS WAY;by Kendra Adachi;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",REDEMPTION;by David Baldacci;,THE CROSSOVER;by Kwame Alexander;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
8,AMERICAN DIRT;by Jeanine Cummins;31 weeks on the list,THE JACKAL;by J.R. Ward;New this week,THE NIGHTINGALE;by Kristin Hannah;53 weeks on the list,LIVE IN LOVE;by Lauren Akins with Mark Dagostino;New this week,BECOMING;by Michelle Obama;89 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;96 weeks on the list,SUPERLIFE;by Darin Olien;4 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;71 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;12 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;37 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;83 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,WHITE FRAGILITY;by Robin DiAngelo;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PERSEPOLIS;by Marjane Satrapi;,THE TITANIC SECRET;by Clive Cussler and Jack Du Brul;,FISH IN A TREE;by Lynda Mullaly Hunt;,THEY BOTH DIE AT THE END;by Adam Silvera;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;80 weeks on the list,1ST CASE;by James Patterson and Chris Tebbetts;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;78 weeks on the list,BECOMING;by Michelle Obama;85 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;99 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;14 weeks on the list,LIFE IS IN THE TRANSITIONS;by Bruce Feiler;New this week,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;42 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;26 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;236 weeks on the list,THE BETROTHED;by Kiera Cass;16 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,TALKING TO STRANGERS;by Malcolm Gladwell;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,THE CORNWALLS VANISH;by James Patterson and Brendan DuBois;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;2 weeks on the list,MEXICAN GOTHIC;by Silvia Moreno-Garcia;7 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;8 weeks on the list,THE ANSWER IS ...;by Alex Trebek;3 weeks on the list,EDUCATED;by Tara Westover;131 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;2 weeks on the list,CAN'T HURT ME;by David Goggins;11 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;24 weeks on the list,KAMALA AND MAYA'S BIG IDEA;by Meena Harris. Illustrated by Ana Ramírez González;2 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;44 weeks on the list,RAYBEARER;by Jordan Ifueko;New this week,THE DUTCH HOUSE;by Ann Patchett;,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;,THE BIGGEST BLUFF;by Maria Konnikova;,THE UMBRELLA ACADEMY: DALLAS;by Gerard Way. Illustrated by Gabriel Bá;,LABYRINTH;by Catherine Coulter;,THE WILD ROBOT;by Peter Brown;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
