,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE EVENING AND THE MORNING;by Ken Follett;New this week,THE EVENING AND THE MORNING;by Ken Follett;New this week,THE INSTITUTE;by Stephen King;3 weeks on the list,RAGE;by Bob Woodward;New this week,RAGE;by Bob Woodward;New this week,WHITE FRAGILITY;by Robin DiAngelo;107 weeks on the list,THE HOME EDIT LIFE;by Clea Shearer and Joanna Teplin;New this week,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;7 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;6 weeks on the list,DOG MAN;by Dav Pilkey;160 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;26 weeks on the list,BATTLE GROUND;by Jim Butcher;,RAGE;by Bob Woodward;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,THE FAMILY LAWYER;by James Patterson;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,VINCE FLYNN: TOTAL POWER;by Kyle Mills;New this week,TROUBLED BLOOD;by Robert Galbraith;New this week,THEN SHE WAS GONE;by Lisa Jewell;62 weeks on the list,BLACKOUT;by Candace Owens;New this week,BLACKOUT;by Candace Owens;New this week,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;18 weeks on the list,SKINNYTASTE MEAL PREP;by Gina Homolka with Heather K. Jones;New this week,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;20 weeks on the list,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;12 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;233 weeks on the list,THE HATE U GIVE;by Angie Thomas;186 weeks on the list,DUNE;by Frank Herbert;,DISLOYAL;by Michael Cohen;,DOESN'T HURT TO ASK;by Trey Gowdy;,GUTS;by Raina Telgemeier;,TWISTED TWENTY-SIX;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,TROUBLED BLOOD;by Robert Galbraith;New this week,VINCE FLYNN: TOTAL POWER;by Kyle Mills;New this week,CILKA'S JOURNEY;by Heather Morris;2 weeks on the list,DISLOYAL;by Michael Cohen;2 weeks on the list,DISLOYAL;by Michael Cohen;2 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;100 weeks on the list,THINK LIKE A MONK;by Jay Shetty;2 weeks on the list,WONDER;by R.J. Palacio;266 weeks on the list,CREEPY CARROTS!;by Aaron Reynolds. Illustrated by Peter Brown;5 weeks on the list,HARRY POTTER;by J.K. Rowling;600 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;139 weeks on the list,THE EVENING AND THE MORNING;by Ken Follett;,THE AUTOBIOGRAPHY OF MALCOLM X;as told to Alex Haley;,THE DYNASTY;by Jeff Benedict;,TEEN TITANS: BEAST BOY;by Kami Garcia. Illustrated by Gabriel Picolo;,BLOODY GENIUS;by John Sandford;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,TO SLEEP IN A SEA OF STARS;by Christopher Paolini;New this week,TO SLEEP IN A SEA OF STARS;by Christopher Paolini;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;72 weeks on the list,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;2 weeks on the list,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;2 weeks on the list,JUST MERCY;by Bryan Stevenson;223 weeks on the list,THE HOME EDIT;by Clea Shearer and Joanna Teplin;3 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;75 weeks on the list,WILD SYMPHONY;by Dan Brown. Illustrated by Susan Batori;3 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;45 weeks on the list,GROWN;by Tiffany D. Jackson;New this week,TROUBLED BLOOD;by Robert Galbraith;,BLACKOUT;by Candace Owens;,HOW TO LEAD;by David M. Rubenstein;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,ONE GOOD DEED;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
5,SHADOWS IN DEATH;by J.D. Robb;2 weeks on the list,THE VANISHING HALF;by Brit Bennett;16 weeks on the list,HOMEGOING;by Yaa Gyasi;7 weeks on the list,CASTE;by Isabel Wilkerson;7 weeks on the list,CASTE;by Isabel Wilkerson;7 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;38 weeks on the list,DOESN'T HURT TO ASK;by Trey Gowdy;4 weeks on the list,THREE KEYS;by Kelly Yang;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;249 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;601 weeks on the list,LEGENDBORN;by Tracy Deonn;New this week,HEAVEN'S RIVER;by Dennis E. Taylor;,CASTE;by Isabel Wilkerson;,NO RULES RULES;by Reed Hastings and Erin Meyer;,FANGS;by Sarah Andersen;,TRUTH AND JUSTICE;by Fern Michaels;,OUT OF MY MIND;by Sharon M. Draper;,LONG WAY DOWN;by Jason Reynolds;
6,ANXIOUS PEOPLE;by Fredrik Backman;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;107 weeks on the list,I'M THINKING OF ENDING THINGS;by Iain Reid;2 weeks on the list,COMPROMISED;by Peter Strzok;2 weeks on the list,COMPROMISED;by Peter Strzok;2 weeks on the list,BORN A CRIME;by Trevor Noah;84 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;79 weeks on the list,REFUGEE;by Alan Gratz;112 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;30 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;41 weeks on the list,THE LOST BOOK OF THE WHITE;by Cassandra Clare and Wesley Chu;3 weeks on the list,THE GUEST LIST;by Lucy Foley;,MELANIA AND ME;by Stephanie Winston Wolkoff;,DARE TO LEAD;by Brené Brown;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,FISH IN A TREE;by Lynda Mullaly Hunt;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,THE VANISHING HALF;by Brit Bennett;16 weeks on the list,THE HARBINGER II;by Jonathan Cahn;3 weeks on the list,WHAT HAPPENS IN PARADISE;by Elin Hilderbrand;New this week,UNTAMED;by Glennon Doyle;28 weeks on the list,UNTAMED;by Glennon Doyle;28 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;21 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;325 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;75 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;28 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;248 weeks on the list,PUNCHING THE AIR;by Ibi Zoboi and Yusef Salaam;3 weeks on the list,VINCE FLYNN: TOTAL POWER;by Kyle Mills;,UNTAMED;by Glennon Doyle;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE HORRIFYINGLY HAUNTED HACK-A-WEEN;by Meredith Rusu;,OUTFOX;by Sandra Brown;,RESTART;by Gordon Korman;,SADIE;by Courtney Summers;
8,ALL THE DEVILS ARE HERE;by Louise Penny;3 weeks on the list,SHADOWS IN DEATH;by J.D. Robb;2 weeks on the list,THIS TENDER LAND;by William Kent Krueger;12 weeks on the list,SPEAKING FOR MYSELF;by Sarah Huckabee Sanders;2 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;7 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;18 weeks on the list,WELCOME HOME;by Myquillyn Smith;New this week,THE SILVER ARROW;by Lev Grossman;2 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;22 weeks on the list,THE BAD GUYS;by Aaron Blabey;96 weeks on the list,CEMETERY BOYS;by Aiden Thomas;2 weeks on the list,ALL THE DEVILS ARE HERE;by Louise Penny;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",WILDFLOWER RIDGE;by Sherryl Woods;,GHOST BOYS;by Jewell Parker Rhodes;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
9,PIRANESI;by Susanna Clarke;New this week,PIRANESI;by Susanna Clarke;New this week,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;6 weeks on the list,EVERYTHING BEAUTIFUL IN ITS TIME;by Jenna Bush Hager;2 weeks on the list,SPEAKING FOR MYSELF;by Sarah Huckabee Sanders;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;204 weeks on the list,ATOMIC HABITS;by James Clear;45 weeks on the list,LITTLE LEADERS;by Vashti Harrison;47 weeks on the list,I AM EVERY GOOD THING;by Derrick Barnes. Illustrated by Gordon C. James;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;549 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;18 weeks on the list,SHADOWS IN DEATH;by J.D. Robb;,MYTHOS;by Stephen Fry;,LIVES OF THE STOICS;by Ryan Holiday and Stephen Hanselman;,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1;by Koyoharu Gotouge;",CHILD'S PLAY;by Danielle Steel;,THE WILD ROBOT;by Peter Brown;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
10,ONE BY ONE;by Ruth Ware;2 weeks on the list,ONE BY ONE;by Ruth Ware;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;3 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;7 weeks on the list,EVERYTHING BEAUTIFUL IN ITS TIME;by Jenna Bush Hager;2 weeks on the list,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?;by Beverly Daniel Tatum;12 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;46 weeks on the list",A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;46 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;20 weeks on the list,I SURVIVED;by Lauren Tarshis;60 weeks on the list,HAWK;by James Patterson;10 weeks on the list,THRAWN ASCENDANCY: CHAOS RISING;by Timothy Zahn;,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;,HOW I BUILT THIS;by Guy Raz;,INVESTIGATORS: TAKE THE PLUNGE;by John Patrick Green;,FINDING YOU AGAIN;by Debbie Macomber;,FRONT DESK;by Kelly Yang;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
