,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LOST SYMBOL;by Dan Brown;4 weeks on the list,SAY YOU'RE ONE OF THEM;by Uwem Akpan;4 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;2 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;106 weeks on the list,"POSTSECRET: CONFESSIONS ON LIFE, DEATH, AND GOD;by Frank Warren;New this week",NEW MOON;by Mark Cotta Vaz;New this week,"BLOOM COUNTY: THE COMPLETE LIBRARY, VOL. 1;by Berkeley Breathed;New this week",THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;New this week,NARUTO 46;by Masashi Kishimoto;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;57 weeks on the list,THE BOOK THIEF;by Markus Zusak;109 weeks on the list,WHERE THE WILD THINGS ARE;by Barb Bersche and Michelle Quint;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;114 weeks on the list
2,A TOUCH OF DEAD;by Charlaine Harris;New this week,THE SHACK;by William P. Young;73 weeks on the list,,"ARGUING WITH IDIOTS;written and edited by Glenn Beck, Kevin Balfe and others;3 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;141 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;9 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;432 weeks on the list,"FABLES - THE DELUXE EDITION BOOK SIX;by Bill Willingham, Mark Buckingham and others;New this week","LOGICOMIX - AN EPIC SEARCH FOR TRUTH;by Apostolos Doxiadis, Christos H. Papadimitriou, Alecos Papadatos and Annie Di Donna;2 weeks on the list","ROSARIO   VAMPIRE, VOL. 9;by Akihisa Ikeda;New this week",CATCHING FIRE;by Suzanne Collins;6 weeks on the list,DARK VISIONS;by L. J. Smith;5 weeks on the list,LEGO STAR WARS;by Simon Beecroft;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;39 weeks on the list
3,THE HELP;by Kathryn Stockett;28 weeks on the list,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;17 weeks on the list,,TRUE COMPASS;by Edward M. Kennedy;4 weeks on the list,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;18 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;37 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;115 weeks on the list,"ABSOLUTE PROMETHEA, VOL. 1;by Alan Moore and J. H. Williams;New this week","BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 5;by various;New this week","CHIBI VAMPIRE, VOL. 14;by Yuna Kagesaki;New this week",RETURN TO THE HUNDRED ACRE WOOD;by David Benedictus. Illustrated by Mark Burgess;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;38 weeks on the list,"JULIE ANDREWS’S COLLECTION OF POEMS, SONGS, AND LULLABIES;by Emma Walton Hamilton and Julie Andrews. Illustrated by James McMullan.;New this week",BLUE BLOODS;by Melissa de la Cruz;8 weeks on the list
4,THE PROFESSIONAL;by Robert B. Parker;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;16 weeks on the list,,WHERE MEN WIN GLORY;by Jon Krakauer;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;147 weeks on the list,GUINNESS WORLD RECORDS 2010;edited by Craig Glenday;4 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;55 weeks on the list,BATMAN: CACOPHONY;by Kevin Smith and Walter Flanagan;3 weeks on the list,"THE CARTOON HISTORY OF THE MODERN WORLD, VOL. 2;by Larry Gonick;New this week","FULLMETAL ALCHEMIST, VOL. 20;by Hiromu Arakawa;4 weeks on the list",FIRE;by Kristin Cashore;New this week,GRACELING;by Kristin Cashore;2 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;4 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;118 weeks on the list
5,THE LAST SONG;by Nicholas Sparks;5 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;18 weeks on the list,,THE MURDER OF KING TUT;by James Patterson and Martin Dugard;2 weeks on the list,TIPPING POINT;by Malcolm Gladwell;262 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;24 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;26 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;4 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;33 weeks on the list,"VAMPIRE KISSES VOL. 3, BLOOD RELATIVES;by Ellen Schreiber, Elisa Kwon and  Rem;New this week",LEVIATHAN;by Scott Westerfeld. Illustrated by Keith Thompson;New this week,BLUE MOON;by Alyson Noël;14 weeks on the list,PIGS MAKE ME SNEEZE!;by Mo Willems;New this week,VAMPIRE DIARIES;by L. J. Smith;24 weeks on the list
6,EVIDENCE;by Jonathan Kellerman;New this week,PUSH;by Sapphire;7 weeks on the list,,THE TIME OF MY LIFE;by Patrick Swayze and Lisa Niemi;2 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;7 weeks on the list,HOW TO RAISE THE PERFECT DOG;by Cesar Millan with Melissa Jo Peltier;New this week,RICH DAD'S CONSPIRACY OF THE RICH;by Robert T. Kiyosaki;3 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;23 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;9 weeks on the list,"SKIP BEAT!, VOL. 19;by Yoshiki Nakamura;New this week",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;5 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;28 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;4 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;New this week
7,HALF BROKE HORSES;by Jeannette Walls;New this week,OLIVE KITTERIDGE;by Elizabeth Strout;25 weeks on the list,,OUTLIERS;by Malcolm Gladwell;47 weeks on the list,BLINK;by Malcolm Gladwell;104 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;79 weeks on the list,SKINNY BITCH;by Kim Barnouin;117 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;31 weeks on the list,"THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;9 weeks on the list","ONE PIECE: HOPE, VOL. 22;by Eiichiro Oda;New this week",TRICKS;by Ellen Hopkins;7 weeks on the list,THIRST NO. 1;by Christopher Pike;10 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;37 weeks on the list,THE 39 CLUES;by various authors;23 weeks on the list
8,AN ECHO IN THE BONE;by Diana Gabaldon;3 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;23 weeks on the list,,THE GREATEST SHOW ON EARTH;by Richard Dawkins;3 weeks on the list,MY LIFE IN FRANCE;by Julia Child with Alex Prud’homme;15 weeks on the list,FLAT BELLY DIET! COOKBOOK;by Liz Vaccariello with Cynthia Sass;4 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;63 weeks on the list,MERCY THOMPSON: HOMECOMING;by Patricia Briggs and David Lawrence;7 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;8 weeks on the list,SHUGO CHARA! 7;by  Peach-Pit;New this week,L.A. CANDY;by Lauren Conrad;16 weeks on the list,CLOUDY WITH A CHANCE OF MEATBALLS: JUNIOR NOVELIZATION;by Stacia Deutsch and Rhody Cohon;4 weeks on the list,DEWEY;by Vicki Myron with Bret Witter;6 weeks on the list,SEPTIMUS HEAP;by Angie Sage;22 weeks on the list
9,ROUGH COUNTRY;by John Sandford;2 weeks on the list,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;5 weeks on the list,,THE NATIONAL PARKS;by Dayton Duncan and Ken Burns;2 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;19 weeks on the list,GOOD EATS;by Alton Brown;New this week,THE VORTEX;by Esther and Jerry Hicks;5 weeks on the list,STITCHES: A MEMOIR;by David Small;3 weeks on the list,"FABLES, VOL. 12;by Bill Willingham, Mike Allred and Mark Buckingham;8 weeks on the list","WILD ONES, VOL. 8;by Kiyo Fujiwara;New this week",SHIVER;by Maggie Stiefvater;11 weeks on the list,EVERMORE;by Alyson Noël;36 weeks on the list,THE RUNAWAY MUMMY;by Michael Rex;New this week,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;59 weeks on the list
10,HER FEARFUL SYMMETRY;by Audrey Niffenegger;2 weeks on the list,HANDLE WITH CARE;by Jodi Picoult;4 weeks on the list,,HALF THE SKY;by Nicholas D. Kristof and Sheryl WuDunn;3 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;141 weeks on the list",THE SECRET;by Rhonda Byrne;144 weeks on the list,THE CAKE MIX DOCTOR RETURNS!;by Anne Byrn;2 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;17 weeks on the list",BATMAN: HUSH;by Jeph Loeb and Jim Lee;8 weeks on the list,"YOTSUBA&!, VOL. 6;by Kiyohiko Azuma;3 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;50 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;45 weeks on the list,OTIS;written and illustrated by Loren Long;3 weeks on the list,NIGHT WORLD;by L. J. Smith;37 weeks on the list
11,THE GHOST KING;by R. A. Salvatore;New this week,SARAH’S KEY;by Tatiana de Rosnay;35 weeks on the list,,HIGH ON ARRIVAL;by Mackenzie Phillips with HIlary Liftin;3 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;50 weeks on the list,HOW TO RULE THE WORLD FROM YOUR COUCH;by Laura Day;,"THE BIGGEST LOSER 30-DAY JUMP START;by Cheryl Forberg, Melissa Roberson, Lisa Wheeler and others;",,,,,,,
